rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
271.42,53669,395.23776502,88,605,680,-94.80111332702637,53360,0.001,32.33859161758423,,
258.89,53927,380.6967139600001,88,609,684,-95.13452079079367,53816,0.001,37.92243891954422,,
237.3,54422,363.3083223000001,88,613,688,-95.20618090422258,54236,0.001,25.55880957064421,,
220.86,54959,349.53696177999996,88,618,692,-95.39296281602648,54851,0.001,32.27164920700921,,
,55000,,,,,-96.42046737670898,54874,0.001,50.10296558297199,178.35,363.6013860076666
224.84,55702,358.59966826000004,88,628,696,-95.516695059982,55416,0.001,29.446202769137845,,
217.87,56484,355.29875045999995,88,636,700,-96.7879861684946,56252,0.001,32.52591103544602,,
215.21,57340,355.15001286000006,89,644,704,-96.47133284807205,57062,0.001,37.040935250824575,,
,57500,,,,,-96.2552843093872,57255,0.001,28.141335121708213,193.35,397.8181028217077
212.79,58178,356.35650711,88,656,708,-96.74194809242532,57900,0.001,32.598967563222956,,
209.06,58808,352.28565874000014,88,662,712,-97.38782812047887,58588,0.001,28.77783161680275,,
206.34,59332,349.50302967999994,88,667,716,-97.38510305231267,59178,0.001,38.585022129175314,,
203.59,59878,347.6920750399999,89,672,720,-97.9901569366455,59663,0.001,37.80611730019252,,
,60000,,,,,-97.08009866567758,59793,0.001,36.03366855841416,227.15,437.23669759631156
200.71,60788,345.70328194,88,686,724,-98.67503255208334,60473,0.001,37.86873683475313,,
198.92,61589,345.9099078699999,88,693,728,-98.99347834153609,61327,0.001,28.76086316405043,,
197.3,62374,346.01932005000003,89,700,732,-100.07413993914103,62094,0.001,32.89776029735032,,
,62500,,,,,-100.0012082758638,62289,0.001,33.72226602114164,188.6,394.6667340248823
199.46,63159,353.1369850599999,88,711,736,-101.52518262361225,62870,0.001,36.32290358013577,,
196.2,63914,351.78986481,88,718,740,-101.84670754764856,63635,0.001,31.789766665943507,,
198.5,64689,359.60587461,89,725,744,-103.38265204675419,64417,0.001,31.520346083591892,,
,65000,,,,,-103.96473630269368,64796,0.001,38.476855931182705,196.9,419.7671489536762
195.01,65534,358.69983224000003,88,738,748,-104.69890525817871,65191,0.001,37.41951653718948,,
198.89,66566,366.39660236000003,89,747,752,-106.11523964291527,66146,0.001,41.323479071496024,,
,67500,,,,,-107.3446677327156,67285,0.001,34.55036966902737,227.0,417.26106901466846
194.67,67608,365.49856247,88,764,756,,,,,,
185.76,68318,357.95265884,88,770,760,-108.65694376627604,67980,0.001,27.383478196461997,,
187.55,68940,360.69035518,88,777,764,-108.72286987304688,68702,0.001,39.88309680714327,,
192.32,69884,368.48597547000014,89,784,768,-110.21323795005924,69547,0.001,34.4342114701563,,
,70000,,,,,-110.98112439352369,69799,0.001,43.35922593162174,237.6,450.09671577513217
195.58,70696,372.79816317000007,88,800,772,-111.51801417424129,70527,0.001,35.78039959210616,,
197.0,71614,376.95229416,88,807,776,-112.60126065807182,71301,0.001,36.61996184432856,,
,72500,,,,,-113.29233278047055,72207,0.001,44.03672138196693,218.4,447.9426908493042
188.43,72512,371.4717957100001,88,822,780,,,,,,
194.97,73424,385.85157404999995,88,830,784,-113.98798911027082,73127,0.001,32.71023164583942,,
198.48,74270,393.96531582000006,88,837,788,-114.37258439497514,73927,0.001,34.0085163268176,,
,75000,,,,,-114.76103190718025,74895,0.001,33.44302006836595,261.7,489.04444626271726
202.83,75242,403.0259282899999,88,853,792,,,,,,
206.29,76331,408.24255091,88,864,796,-115.11360321897368,75996,0.001,33.43835188423455,,
208.17,77301,412.11981627,88,873,800,-114.74383659885355,76941,0.001,33.66853695862914,,
,77500,,,,,-115.0163164553435,77216,0.001,27.733784743222323,279.9,521.9957676678896
221.72,79512,423.95619955,88,901,804,-117.45478030854622,79019,0.001,34.172584373339085,,
,80000,,,,,-117.48275615985577,79868,0.001,24.025349514301006,406.8,519.0735655665397
230.28,81206,431.03636804,87,924,808,-117.67218447488452,80121,0.001,29.007297039031982,,
,82500,,,,,-118.8761339040903,82378,0.001,27.918510290292595,395.8,590.9614757806063
239.38,82746,443.0462687400001,86,957,812,,,,,,
239.04,83236,442.59863136,86,964,816,-117.68617248535156,83124,0.001,63.66415936371376,,
240.82,83960,447.60441418000005,86,969,820,-119.47489872685185,83644,0.001,28.341109305435086,,
238.99,84687,446.4787618600001,86,975,824,-119.2568291442035,84433,0.001,35.4530429872748,,
,85000,,,,,-119.00365090075834,84765,0.001,23.63899510038411,162.05,398.6238135963678
237.33,85322,445.81462393999993,86,987,828,-119.28494227209757,85099,0.001,33.61338816132656,,
236.09,85983,445.4493463399999,86,993,832,-119.6685622215271,85745,0.001,38.68775952972981,,
234.44,86603,444.17953328000004,86,999,836,-119.39640452067057,86345,0.001,44.51607037226359,,
232.65,87179,442.50276254,86,1004,840,-119.63897084554037,86959,0.001,26.5685414536794,,
,87500,,,,,-119.27801425215127,87369,0.001,35.045198879653604,139.4,399.0435851037502
230.45,87734,441.21377465999996,86,1014,844,-120.08538415091378,87508,0.001,40.5708820047996,,
227.52,88286,439.33560522000005,86,1019,848,-120.03662109375,88074,0.001,33.216097154115374,,
223.5,88916,437.0184141100001,86,1025,852,-120.21353950029538,88667,0.001,26.452680353738046,,
219.07,89515,433.91780255,86,1031,856,-120.41850802264636,89277,0.001,35.44496558447304,,
,90000,,,,,-120.61974108219147,89823,0.001,22.933093472044597,115.7,292.5234555512667
217.04,90022,433.51873802,86,1039,860,,,,,,
217.02,90642,437.3623081799999,86,1044,864,-120.98975793938888,90394,0.001,26.468238912670817,,
213.92,91276,435.89599321000003,86,1050,868,-120.92242411563271,91031,0.001,32.61129162981619,,
211.98,91894,437.04538118000005,86,1056,872,-121.22773825155723,91650,0.001,34.80313874740858,,
,92500,,,,,-122.06350499107724,92289,0.001,28.913574601922715,158.6,414.4949632376432
209.15,92529,435.06088112,86,1067,876,,,,,,
206.13,93125,432.55270077999995,86,1073,880,-121.93714141845703,92896,0.001,33.76778257282731,,
202.87,93711,429.3503259199999,86,1078,884,-122.90718755587726,93475,0.001,36.806788004361664,,
200.11,94281,427.03543426000005,86,1083,888,-123.28218403984519,94050,0.001,35.05087078669492,,
196.11,94853,423.74785685,87,1089,892,-123.1969927935533,94626,0.001,37.23603589822215,,
,95000,,,,,-123.44442953190334,94911,0.001,36.5645668923438,141.3,373.4386303812265
190.91,95422,419.39249474,86,1099,896,-123.77813484299351,95195,0.001,44.66300740880026,,
187.07,96008,416.23203754,86,1104,900,-124.45868398030599,95778,0.001,34.57360915819804,,
170.65,96577,402.58443939000006,87,1109,904,-123.17945743614519,96352,0.001,33.2527318220612,,
159.28,97134,394.0905514600001,87,1114,908,-123.4179511692213,96904,0.001,36.9898652508311,,
,97500,,,,,-125.36366815436376,97335,0.001,37.254229000636506,139.25,375.34919309318065
149.97,97743,387.32306804,86,1123,912,-124.62660228030782,97476,0.001,32.46508646856808,,
151.01,98337,395.24773292,87,1129,916,-124.78369013468425,98109,0.001,43.315189209713296,,
148.75,98835,392.09938585,87,1134,920,-125.33053035362094,98608,0.001,26.11276409672756,,
146.71,99358,389.0156543500001,87,1138,924,-124.73928760837865,99146,0.001,39.76669659485688,,
144.81,99803,383.88721707999997,87,1142,928,-125.95429077148438,99604,0.001,18.313821630740385,,
,100000,,,,,-125.77394161948675,99876,0.001,46.28592996054058,152.8,397.5594479829073
144.65,100448,386.73027877999994,87,1151,932,-126.66193455825618,100206,0.001,45.329282662014904,,
144.39,101042,387.6925072899999,87,1157,936,-126.8023154598543,100797,0.001,45.73520899636405,,
144.99,101678,390.61851123,87,1162,940,-127.18190544529965,101436,0.001,41.220941789892336,,
145.92,102326,393.5411579,87,1168,944,-126.78050830696202,102077,0.001,22.719510270070426,,
,102500,,,,,-126.44582704816546,102381,0.001,30.79708342892783,136.8,398.4085751950741
146.05,102891,394.47846300000015,87,1177,948,-126.90126350598457,102664,0.001,31.289608551905705,,
145.61,103477,394.54506788000015,87,1182,952,-127.45025162469773,103246,0.001,34.03320621109009,,
145.47,104062,395.69138375999995,87,1187,956,-127.51956958535277,103840,0.001,32.47032050908722,,
147.27,104749,401.43925019,87,1193,960,-128.17512792470504,104495,0.001,33.52706642320313,,
,105000,,,,,-127.40511728261973,104818,0.001,39.637922438708216,164.6,463.50952459573745
