train/actor_loss,train/critic_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-103.99822425842285,8.097358189344407,496,122,0.001,936.14,451909,1823.8828404800004,450909,3701,,
-104.29023027795506,8.042311071410893,500,122,0.001,925.97,454227,1812.9928098799999,453227,3715,,
-104.957246383667,8.623494471073151,,,0.001,,455000,,454227,,925.0,2029.5447938937345
-106.0463974609375,8.754492270946503,504,122,0.001,920.85,457715,1804.4218821100003,456715,3746,,
-106.67757444763184,8.905708078622817,,,0.001,,460000,,459715,,1000.0,2235.302952352009
-107.13622160339355,8.299545879364013,508,122,0.001,930.61,461715,1843.50326922,460715,3782,,
-107.7858468322754,8.436784520387649,,,0.001,,465000,,464715,,947.4,2206.3319580543553
,,512,121,,930.61,465715,1861.54299422,,3817,,
-109.19230049133301,8.503211555957794,516,122,0.001,930.61,469715,1888.03572823,468715,3842,,
-109.40501849365235,8.758896734476089,,,0.001,,470000,,469715,,909.9,2017.2476536185945
-109.90130392456055,9.300215317487716,520,122,0.001,933.18,473715,1898.9553882700002,472715,3877,,
-110.23850304739815,8.496912267473009,,,0.001,,475000,,474742,,913.2,2124.518257281644
-110.54142561340332,8.670889029741288,524,122,0.001,923.45,476742,1916.0448301300003,475742,3906,,
-111.76778485107423,8.566623404979707,,,0.001,,480000,,479742,,824.5,1740.0549332878204
,,528,122,,923.45,480742,1930.8884666499998,,3937,,
-112.43595942687988,9.399389770030975,532,122,0.001,927.4,484201,1966.7381957800003,483201,3958,,
-112.85119770812989,8.985738840579987,,,0.001,,485000,,484201,,903.1,2015.1739202477504
-113.02502418518067,9.382297048568725,536,122,0.001,923.69,487830,1975.77359479,486830,3990,,
-114.22786027526855,9.682487375259399,,,0.001,,490000,,489830,,1000.0,2467.3784426892757
-114.5306314086914,9.574652953863144,540,122,0.001,923.69,491830,1999.11020897,490830,4026,,
-114.80768246994805,11.60904679101767,544,122,0.001,905.83,494044,1953.77651833,494024,4045,,
-113.45108184814453,10.351898622512817,,,0.001,,495000,,494044,,1000.0,2383.8551010970646
-115.12975212097167,9.748434455156326,548,122,0.001,911.83,498044,1984.17525406,497044,4075,,
-115.7301118774414,9.589658299684524,,,0.001,,500000,,499978,,904.1,2249.645902850646
,,552,122,,904.63,500978,1985.1069720199998,,4103,,
-116.65968411254883,9.39328278684616,556,122,0.001,904.63,504978,1999.6218967700001,503978,4128,,
-116.44796397399902,9.586099116802215,,,0.001,,505000,,504978,,1000.0,2538.1378846995185
-116.7244870300293,10.433752252578735,560,122,0.001,897.72,508287,2043.60441495,507287,4160,,
