rollout/ep_len_mean,train/std,train/value_loss,train/learning_rate,time/fps,train/explained_variance,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/total_timesteps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
22.62,1.0396709442138672,24.370344161987305,0.0007,222,0.6924055814743042,-77.7087631225586,316400,25.848658850000003,7119,316399,1582000,-16.260831832885742,,
23.62,1.039660930633545,2.0716264247894287,0.0007,222,0.5197703838348389,3.325758457183838,316500,27.169662049999996,7121,316499,1582500,-16.259504318237305,,
23.28,1.0432238578796387,0.10327466577291489,0.0007,222,0.9595461003482342,1.9367996454238892,316600,26.304934869999993,7123,316599,1583000,-16.298675537109375,,
23.42,1.0419728755950928,1.5262686014175415,0.0007,222,0.8761861622333527,-18.851308822631836,316700,26.297251389999996,7125,316699,1583500,-16.271625518798828,,
23.17,1.0412123203277588,12.985644340515137,0.0007,222,0.9375166706740856,-57.441261291503906,316800,25.74326032,7126,316799,1584000,-16.264036178588867,,
23.18,1.043253779411316,1.621444582939148,0.0007,222,0.22961586713790894,-6.131580352783203,316900,25.749624060000002,7128,316899,1584500,-16.276580810546875,,
,1.0431466102600098,0.4016517698764801,0.0007,,0.8084185421466827,-2.922856092453003,,,,316999,1585000,-16.285192489624023,22.8,26.001623754715546
22.78,,,,222,,,317000,24.73533027,7131,,1585000,,,
21.67,1.0413274765014648,0.1126183494925499,0.0007,222,0.9939338569529355,-4.359172344207764,317100,23.54249985,7133,317099,1585500,-16.270353317260742,,
22.96,1.0392178297042847,8.97521686553955,0.0007,222,0.14179354906082153,43.68636703491211,317200,24.777999590000004,7135,317199,1586000,-16.243988037109375,,
24.08,1.0350797176361084,1.2948979139328003,0.0007,222,0.8382832854986191,16.223264694213867,317300,26.157564790000002,7137,317299,1586500,-16.202716827392578,,
23.15,1.0371994972229004,2.5074462890625,0.0007,222,0.4744228720664978,15.980353355407715,317400,24.926047450000006,7139,317399,1587000,-16.224897384643555,,
23.41,1.0330449342727661,1.088740587234497,0.0007,222,0.9528758376836777,13.716963768005371,317500,25.656380079999998,7141,317499,1587500,-16.18171501159668,,
24.57,1.034646987915039,5.873237133026123,0.0007,222,0.9850816475227475,-30.426315307617188,317600,27.296235589999995,7143,317599,1588000,-16.18192481994629,,
24.22,1.0392229557037354,0.16266943514347076,0.0007,222,0.9971385702956468,0.4153675138950348,317700,26.869156079999996,7145,317699,1588500,-16.22968864440918,,
23.89,1.0402710437774658,4.634883880615234,0.0007,222,0.7767169177532196,-36.450923919677734,317800,26.888923189999996,7147,317799,1589000,-16.232019424438477,,
24.34,1.0428768396377563,5.777081489562988,0.0007,222,0.6003441512584686,34.49256134033203,317900,27.426875769999995,7149,317899,1589500,-16.23700523376465,,
,1.0439480543136597,0.43496909737586975,0.0007,,0.960599735379219,-10.112764358520508,,,,317999,1590000,-16.24240493774414,22.8,25.999718294944614
23.36,,,,222,,,318000,25.823509740000006,7152,,1590000,,,
23.57,1.0419540405273438,0.5407783389091492,0.0007,222,0.8086729794740677,-9.7219820022583,318100,25.825855660000002,7154,318099,1590500,-16.231618881225586,,
23.96,1.0407211780548096,3.2243294715881348,0.0007,222,-0.016422629356384277,17.521713256835938,318200,26.60758796,7156,318199,1591000,-16.225513458251953,,
23.22,1.0388612747192383,3.8308587074279785,0.0007,222,0.9233820512890816,27.896650314331055,318300,25.301067940000006,7158,318299,1591500,-16.21884536743164,,
23.2,1.0374619960784912,0.8865048289299011,0.0007,222,0.8044375777244568,-11.707806587219238,318400,25.67392487,7160,318399,1592000,-16.212486267089844,,
23.74,1.0355124473571777,5.570060729980469,0.0007,222,0.9730238579213619,-35.8239860534668,318500,26.86564909,7162,318499,1592500,-16.207691192626953,,
23.53,1.041908621788025,0.6285421252250671,0.0007,222,0.9840841945260763,3.1950995922088623,318600,26.769270840000004,7163,318599,1593000,-16.26649284362793,,
23.56,1.0438053607940674,3.161060333251953,0.0007,222,0.380399227142334,-24.55141258239746,318700,26.798384240000004,7165,318699,1593500,-16.292057037353516,,
24.19,1.0468602180480957,5.589019775390625,0.0007,222,0.8885789290070534,41.898494720458984,318800,27.259521569999997,7167,318799,1594000,-16.334617614746094,,
24.54,1.042060375213623,0.24352292716503143,0.0007,222,0.993477325886488,7.543070316314697,318900,27.22223866,7169,318899,1594500,-16.280893325805664,,
