time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
145000,-71.35173797607422,0.0003,-0.7755499482154846,4.779224395751953,,,0.014964636415243149,,144899,,,1088.2252684007167,716.6
145470,-70.68550109863281,0.0003,-0.13548967242240906,4.252060413360596,74,296,0.014938990585505962,624.78298033,145369,553.46,1959,,
147881,-73.34907531738281,0.0003,-1.10932195186615,4.157986640930176,74,300,0.014978521503508091,627.56185287,147780,544.67,1987,,
150000,-72.66899108886719,0.0003,-0.8994540572166443,3.976785659790039,,,0.01495323795825243,,149899,,,712.4122132247605,588.1
151881,-77.06037902832031,0.0003,-0.15319514274597168,5.647459030151367,74,304,0.015154967084527016,660.57994783,151780,574.31,2041,,
153605,-73.02449035644531,0.0003,0.3638191819190979,3.166057586669922,74,308,0.014924152754247189,652.46478874,153504,564.0,2061,,
155000,-76.48396301269531,0.0003,-0.552912712097168,4.155707359313965,,,0.015330377966165543,,154899,,,1374.1389048125566,771.1
156463,-78.02143859863281,0.0003,0.19055792689323425,4.284292221069336,74,312,0.01503447163850069,677.6628471500001,156362,576.69,2105,,
159337,-78.57293701171875,0.0003,1.306808590888977,6.703210830688477,74,316,0.015024589374661446,684.76400998,159236,581.49,2138,,
160000,-83.06449127197266,0.0003,0.6730604767799377,8.00267219543457,,,0.015098562464118004,,159899,,,910.1817902493771,681.4
162478,-79.26812744140625,0.0003,-0.3407752215862274,5.379288673400879,74,320,0.014959699474275112,687.8547705999999,162377,588.5,2185,,
164496,-81.19288635253906,0.0003,-0.4243708848953247,5.427038669586182,74,324,0.015231464058160782,686.8212176899998,164395,577.73,2208,,
165000,-77.86951446533203,0.0003,-1.83539879322052,4.122859954833984,,,0.014966812916100025,,164899,,,956.4613641546224,782.4
167743,-78.80963134765625,0.0003,-1.7401833534240723,3.941587209701538,74,328,0.01517210341989994,709.12185124,167642,594.5,2258,,
170000,-85.82844543457031,0.0003,0.016346603631973267,9.512615203857422,,,0.015311851166188717,,169899,,,854.2849013223022,880.9
170881,-82.46656799316406,0.0003,-0.23820918798446655,11.20933723449707,74,332,0.015394321642816067,716.6273445399999,170780,598.0,2308,,
174586,-84.0866928100586,0.0003,-0.4565891623497009,5.814096927642822,74,336,0.015128499828279018,740.1457059500001,174485,619.32,2351,,
175000,-83.52360534667969,0.0003,0.3906428813934326,7.042864799499512,,,0.015067549422383308,,174899,,,1077.0295745808749,755.5
177830,-81.33929443359375,0.0003,-0.9640272259712219,6.566276550292969,74,340,0.015030788257718086,749.33522026,177729,624.63,2399,,
179692,-84.31370544433594,0.0003,-1.2994158267974854,4.170387268066406,74,344,0.015188781544566154,769.72557748,179591,639.02,2420,,
180000,-84.05577850341797,0.0003,0.1813768744468689,5.3401079177856445,,,0.014831303618848324,,179899,,,966.0552803771919,703.3
182633,-82.01701354980469,0.0003,-0.44989219307899475,5.958168983459473,74,348,0.015058658085763454,784.33418056,182532,637.77,2465,,
185000,-88.18486022949219,0.0003,-0.6992068290710449,7.060572147369385,,,0.015077482908964157,,184899,,,1009.9558051321073,941.0
185144,-86.64556121826172,0.0003,0.5922503471374512,5.805542945861816,73,352,0.015148631297051907,783.45489426,185043,633.73,2515,,
187954,-84.91500854492188,0.0003,-0.8366392850875854,6.30867862701416,73,356,0.015322981402277946,814.57066632,187853,645.88,2548,,
190000,-85.97350311279297,0.0003,0.48646122217178345,6.58181095123291,,,0.015109365805983543,,189899,,,1175.3004461254925,673.0
191322,-84.50990295410156,0.0003,0.43602094054222107,5.291440963745117,73,360,0.015191366896033287,843.13874,191221,655.14,2597,,
192544,-95.26874542236328,0.0003,1.2864800691604614,6.724368095397949,73,364,0.015144428238272667,850.57389294,192443,657.39,2611,,
195000,-93.04173278808594,0.0003,0.6357436776161194,4.320095062255859,,,0.01531174872070551,,194899,,,1153.6366353962571,648.9
195456,-88.6615982055664,0.0003,-0.6387394666671753,5.870199203491211,73,368,0.01526598073542118,850.0159653300001,195355,655.63,2656,,
199029,-89.51722717285156,0.0003,-0.6088891625404358,9.137226104736328,73,372,0.015013652853667736,876.1035035599999,198928,668.85,2697,,
200000,-89.88414764404297,0.0003,-0.04126632213592529,6.061915397644043,,,0.015176475048065186,,199899,,,916.1531804041355,636.3
201969,-92.96165466308594,0.0003,-1.038497805595398,7.335603713989258,73,376,0.01535042840987444,906.58332589,201868,683.33,2740,,
205000,-92.47855377197266,0.0003,1.4755889177322388,5.977982521057129,,,0.015123002231121063,,204899,,,732.2509801428241,538.8
205969,-90.44713592529297,0.0003,1.5459840297698975,28.854000091552734,73,380,0.014949837699532509,947.5578689800001,205868,707.75,2795,,
208433,-100.12203979492188,0.0003,0.4603193998336792,7.300779342651367,73,384,0.015170114114880562,967.9333649800002,208332,718.95,2824,,
210000,-91.20669555664062,0.0003,-1.4187779426574707,9.107756614685059,,,0.015324048697948456,,209899,,,849.9766970927594,743.8
212433,-88.92816925048828,0.0003,0.42146623134613037,5.210538864135742,73,388,0.015548357740044594,967.3798628899999,212332,726.77,2883,,
215000,-98.86309814453125,0.0003,-0.28448668122291565,7.659302711486816,,,0.015156811103224754,,214899,,,1515.176632375041,870.9
216208,-92.29495239257812,0.0003,-0.4130537807941437,5.407554626464844,73,392,0.015357742086052895,966.6121761600001,216107,731.74,2942,,
218626,-100.4104232788086,0.0003,0.9237198829650879,7.540840148925781,73,396,0.01509941928088665,983.99977625,218525,731.56,2970,,
220000,-94.25507354736328,0.0003,-1.8314716815948486,6.897956848144531,,,0.015230280347168446,,219899,,,727.8321195029072,659.6
221076,-92.2923355102539,0.0003,-1.588539719581604,5.2098870277404785,73,400,0.015352975577116013,976.88368378,220975,731.95,3010,,
223588,-99.16729736328125,0.0003,0.0018936991691589355,7.301646709442139,73,404,0.015274252742528915,968.3490995599999,223487,717.07,3039,,
225000,-91.76271057128906,0.0003,-1.6673552989959717,6.224930763244629,,,0.015293433330953121,,224899,,,1043.6161211264202,814.9
226279,-96.59527587890625,0.0003,-1.1501106023788452,5.262622356414795,73,408,0.015436263754963875,982.87660334,226178,726.74,3081,,
227947,-104.49383544921875,0.0003,2.5694851875305176,7.85782527923584,73,412,0.015343205071985722,976.53703258,227846,714.84,3100,,
230000,-95.54449462890625,0.0003,-0.9759281873703003,5.149144172668457,,,0.015669776126742363,,229899,,,809.9211737127974,543.0
231053,-99.17422485351562,0.0003,0.09815502166748047,12.81451416015625,73,416,0.015168523415923119,979.7470636700002,230952,717.16,3143,,
234011,-99.37959289550781,0.0003,1.2125686407089233,6.6496992111206055,73,420,0.01535165123641491,993.0408272600001,233910,715.33,3175,,
235000,-103.29478454589844,0.0003,1.0260183811187744,8.867520332336426,,,0.015593456104397774,,234899,,,1812.1975764019182,915.0
236106,-100.57267761230469,0.0003,1.6568338871002197,11.252187728881836,73,424,0.015329062938690186,984.37311624,236005,716.1,3212,,
238601,-104.42001342773438,0.0003,1.4331130981445312,13.10788631439209,73,428,0.015730062499642372,983.4266855599999,238500,708.58,3239,,
240000,-98.37480163574219,0.0003,-1.1956284046173096,9.5711088180542,,,0.015518715605139732,,239899,,,633.0917355583166,450.2
