time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
227886,7788,1542,31.8,147,44.94132725,-15.482009887695312,227747,3.9892746469248896,0.001,,
227967,7792,1543,31.15,147,43.95642909,-17.04499919597919,227861,8.296012604678118,0.001,,
228063,7796,1543,30.95,147,43.64720335999999,-15.119683045607347,227959,4.055145572732996,0.001,,
228192,7800,1544,30.61,147,43.19065309,-15.61326938867569,228081,3.9891352797999526,0.001,,
228339,7804,1545,30.93,147,44.071116149999995,-16.279209666781956,228218,3.9684790543147495,0.001,,
228487,7808,1546,31.06,147,44.11526661,-15.973873941521896,228364,5.1658819223705095,0.001,,
228612,7812,1547,31.34,147,44.75806048000001,-15.985399544239044,228481,9.504998065531254,0.001,,
228727,7816,1547,31.42,147,45.069866970000014,-16.028302019292656,228592,4.312070055441423,0.001,,
228860,7820,1548,31.0,147,44.24367648,-16.098521819481483,228745,3.207997367932246,0.001,,
228989,7824,1549,30.92,147,44.207058610000004,-15.169075071811676,228868,4.13567635320848,0.001,,
229127,7828,1550,31.12,147,44.353397619999996,-15.555186462402343,229006,4.979498180849799,0.001,,
229235,7832,1551,31.01,147,44.40847790000001,-16.90477418899536,229131,4.185473385311308,0.001,,
229370,7836,1552,31.2,147,44.84457082,-15.888763842375383,229259,4.04291792118803,0.001,,
229534,7840,1552,31.66,147,45.58857691,-15.942095597585043,229389,4.327194795608521,0.001,,
229638,7844,1553,31.76,147,45.93529953,-15.62425215104047,229527,4.149120996980106,0.001,,
229777,7848,1554,32.05,147,46.31767559,-15.443873742047478,229628,4.1960009827333336,0.001,,
229890,7852,1555,32.01,147,46.15057967,-15.459929422898727,229786,4.011767209962357,0.001,,
230000,,,,,,-15.951941558292933,229907,3.7969023415020535,0.001,31.0,44.46569474070566
230025,7856,1557,32.2,147,46.318390600000015,,,,,,
230162,7860,1558,32.49,147,46.98979293,-16.000010883106906,230044,7.156307543025298,0.001,,
230283,7864,1558,32.41,147,46.96329048,-15.658339647146372,230174,4.230537662139306,0.001,,
230389,7868,1559,31.82,147,45.79197375000002,-15.488984107971191,230275,3.6758440544730737,0.001,,
230567,7872,1560,32.49,147,47.21251622,-15.796943545341492,230419,4.209602320895476,0.001,,
