rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
,,185000,,,,1.0132789611816406e-06,0.8714464902877808,0.3345703125,0.0003,618307.0,900,1276475.823046875,0.2,-21.75693107843399,-0.0822108220687369,0.04095298,77072.01758728028,1000.0
65024.26889818001,129,186368,91,1434,1000.0,,,,,,,,,,,,,
65108.058921070005,130,188416,92,1438,1000.0,1.4185905456542969e-05,0.871825635433197,0.329833984375,0.0003,537957.0625,910,1094462.5408203125,0.2,-21.763240545988083,-0.07491892662364989,0.041413896,,
,,190000,,,,1.4901161193847656e-06,0.8711540699005127,0.333447265625,0.0003,510847.15625,920,1281608.9578125,0.2,-21.76235556602478,-0.0830667091475334,0.041011855,79665.57359867096,1000.0
65244.33394911,129,190464,93,1467,1000.0,,,,,,,,,,,,,
65241.194837099996,130,192512,94,1471,1000.0,-3.719329833984375e-05,0.8706991672515869,0.358740234375,0.0003,511015.25,930,996433.455859375,0.2,-21.748522174358367,-0.0875499320536619,0.04634793,,
65489.27678196,131,194560,95,1475,1000.0,3.6597251892089844e-05,0.8704941868782043,0.322216796875,0.0003,550021.1875,940,1310303.039453125,0.2,-21.740706211328508,-0.07785754856595303,0.039147817,,
,,195000,,,,1.1861324310302734e-05,0.8704262971878052,0.312060546875,0.0003,1010486.625,950,1757604.83515625,0.2,-21.742832279205324,-0.08320783427334391,0.038307644,80124.3335472107,1000.0
65484.82767946,130,196608,96,1504,1000.0,,,,,,,,,,,,,
65522.607145179994,131,198656,97,1508,1000.0,0.00011199712753295898,0.867986798286438,0.38984375,0.0003,487453.21875,960,1043460.4453125,0.2,-21.713935095071793,-0.09230252040142659,0.05065964,,
,,200000,,,,1.5854835510253906e-05,0.8660163879394531,0.3623046875,0.0003,490377.0,970,1107255.4498046874,0.2,-21.66981598138809,-0.08534578193211928,0.044145755,75190.63739891052,1000.0
65413.76204942,130,200704,98,1537,1000.0,,,,,,,,,,,,,
65631.45582347,131,202752,99,1541,1000.0,-1.430511474609375e-06,0.8650721311569214,0.3767578125,0.0003,564007.75,980,1212255.0607421875,0.2,-21.64058685898781,-0.09288265321520157,0.04838115,,
65675.93454946,132,204800,100,1545,1000.0,7.033348083496094e-06,0.8640346527099609,0.368603515625,0.0003,535685.3125,990,1056122.9818359376,0.2,-21.617772364616393,-0.08822382886719424,0.049730696,,
,,205000,,,,0.0002205371856689453,0.8621602058410645,0.328369140625,0.0003,773090.25,1000,1433021.41171875,0.2,-21.585520207881927,-0.0801567795628216,0.043723486,77949.61062984467,1000.0
65647.25922203,131,206848,101,1573,1000.0,,,,,,,,,,,,,
