time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
17500,,,,,,0.001,-19.77136161110618,17388,0.4232690402052619,22.05,38.89948651790619
17506,22.06,109,38.82547044,792,159,,,,,,
17596,22.08,110,38.86035271,796,159,0.001,-19.82411662015048,17477,0.7385036010633815,,
17686,22.11,110,38.90845871,800,159,0.001,-19.478368123372395,17568,0.7897842474605726,,
17774,22.1,111,38.88889915,804,159,0.001,-19.926925485784356,17656,0.9353235445239327,,
17863,22.13,111,38.93955699,808,159,0.001,-19.70664579218084,17745,0.46899845518849115,,
17951,22.12,112,38.91985528,812,159,0.001,-19.831713589754973,17833,0.6961906173012473,,
18037,22.09,113,38.86486387,816,159,0.001,-19.658221851695668,17920,0.39061607691374695,,
18127,22.1,113,38.88353754,820,159,0.001,-19.917048714377664,18009,0.4098316878080368,,
18214,22.08,114,38.85407224,824,159,0.001,-19.97782915288752,18096,0.4340162074024027,,
18303,22.09,114,38.877498499999994,828,159,0.001,-19.863982634110883,18184,0.3829039944843812,,
18390,22.07,115,38.84809564,832,159,0.001,-19.492909171364524,18273,0.8714762316508726,,
18479,22.07,115,38.843444950000006,836,159,0.001,-19.554038307883523,18361,0.43028987361037213,,
18568,22.11,116,38.89694125,840,159,0.001,-19.942827415466308,18449,0.6914068928786686,,
18657,22.14,116,38.94134647,844,159,0.001,-19.521713256835938,18539,0.47966992207195447,,
18746,22.14,117,38.94643759,848,159,0.001,-19.505131880442303,18628,0.473300708376843,,
18834,22.14,118,38.952063630000005,852,159,0.001,-19.66721031882546,18716,0.4380580755797299,,
18920,22.12,118,38.924729670000005,856,159,0.001,-19.703192710876465,18803,0.956817504905519,,
19008,22.12,119,38.919391430000005,860,159,0.001,-19.39061060818759,18890,0.6622012379494581,,
19097,22.1,119,38.887167600000005,864,159,0.001,-19.557795091108844,18979,1.4107844924384898,,
19185,22.09,120,38.87245221999999,868,159,0.001,-19.43409555608576,19067,0.41923467543992127,,
19273,22.09,120,38.869652540000004,872,159,0.001,-19.896563616665926,19155,0.46149949864907697,,
19358,22.06,121,38.82218408999999,876,159,0.001,-19.464662170410158,19241,0.6582205820651281,,
19446,22.06,121,38.81722777,880,160,0.001,-19.48488442103068,19328,0.4573116056297136,,
19534,22.05,121,38.80339438,884,160,0.001,-19.31039792841131,19416,0.9236036837100983,,
19622,22.05,122,38.806149839999996,888,160,0.001,-19.2471660267223,19504,0.7081765356388959,,
19710,22.04,122,38.781083259999996,892,160,0.001,-19.016294305974785,19593,0.7163910337469794,,
19796,22.0,123,38.71397868,896,160,0.001,-19.59720802307129,19677,0.4346900199140821,,
19883,21.97,123,38.67301867,900,160,0.001,-19.359195709228516,19765,1.0134593957946414,,
19971,21.97,124,38.672770379999996,904,160,0.001,-19.59560082175515,19853,0.43332815305753186,,
20000,,,,,,0.001,-18.84353342923251,19897,0.42217994752255356,22.05,38.89948642849922
20061,21.98,125,38.687967210000004,908,160,0.001,-19.488512357076008,19942,0.6890281399954921,,
20150,21.99,125,38.70030096000001,912,160,0.001,-19.27614402770996,20032,0.6980305016040802,,
20237,22.0,126,38.71835604999999,916,160,0.001,-19.080278223211113,20120,0.6996758634393866,,
20327,22.0,126,38.71292097999999,920,160,0.001,-19.01914423162287,20209,1.0782301762829656,,
20415,22.01,127,38.72651352,924,160,0.001,-19.64069652557373,20298,0.6756184787853904,,
20504,22.01,127,38.71241812999999,928,160,0.001,-19.30588452021281,20386,0.46518582623937854,,
20592,22.02,128,38.72354608,932,160,0.001,-19.461999546397816,20474,0.39959258518435736,,
20680,22.01,128,38.7143518,936,160,0.001,-19.151885119351473,20562,0.5459919714114883,,
20768,22.0,129,38.70535839000001,940,160,0.001,-18.927222858775746,20651,0.3525957458693048,,
20857,22.0,129,38.71003305,944,160,0.001,-19.313641114668414,20739,0.9216187972089519,,
20946,22.0,130,38.70994373,948,160,0.001,-19.390721321105957,20827,0.4102205548967634,,
21035,22.01,130,38.724720260000005,952,160,0.001,-19.19462169300426,20917,0.4156831448728388,,
21124,22.04,131,38.779562340000005,956,160,0.001,-19.06236521402995,21006,0.37141065623449243,,
21213,22.05,131,38.78650053999999,960,160,0.001,-19.00212114507502,21094,0.3556759675795382,,
21301,22.04,132,38.78448767,964,160,0.001,-19.087684978138316,21183,0.6799322475086559,,
21389,22.04,132,38.788769949999995,968,160,0.001,-19.310170607133344,21271,0.5761274993419647,,
21478,22.05,133,38.80959626,972,161,0.001,-19.203889326615766,21360,0.33116014301776886,,
21566,22.08,133,38.848446530000004,976,161,0.001,-19.023745276711203,21448,0.7015056745572523,,
21654,22.08,134,38.852430649999995,980,161,0.001,-19.03032701665705,21536,0.3626361617987806,,
21744,22.1,135,38.87713298,984,160,0.001,-19.570335070292156,21626,0.3701216643271239,,
21832,22.1,135,38.873308019999996,988,160,0.001,-19.437801361083984,21713,0.683207165111195,,
21921,22.11,136,38.89308275,992,160,0.001,-18.968449852683328,21803,0.3512128537351435,,
22010,22.14,136,38.93882740000001,996,160,0.001,-19.043705463409424,21892,0.47308611481086066,,
22097,22.14,137,38.93697496,1000,160,0.001,-19.4423526763916,21979,0.4174944701648894,,
22184,22.13,137,38.9255587,1004,160,0.001,-19.25131780450994,22066,0.41459320756522094,,
22272,22.11,138,38.89033303,1008,160,0.001,-18.63055315884677,22154,0.34727236899462616,,
22359,22.09,139,38.86547411,1012,160,0.001,-19.096052689985797,22242,0.3768186460841786,,
22446,22.09,139,38.870888959999995,1016,160,0.001,-19.06255999478427,22329,0.367860810323195,,
22500,,,,,,0.001,-19.214738325639203,22394,0.8838734775781631,22.05,38.89948634505272
22534,22.07,140,38.840256919999995,1020,160,0.001,-19.094287525523793,22416,0.4579213031313636,,
22624,22.09,141,38.87133888999999,1024,160,0.001,-18.98673525723544,22505,0.6879127635197206,,
22710,22.06,141,38.835772969999994,1028,160,0.001,-18.50912024758079,22592,0.43146968294273724,,
22798,22.06,142,38.83370432,1032,160,0.001,-19.088028300892223,22680,0.3713929030028256,,
22886,22.06,142,38.82347858,1036,160,0.001,-18.93983875621449,22768,0.37151040407744323,,
22973,22.05,143,38.80031696,1040,160,0.001,-18.989605140686034,22855,0.6190532637493951,,
23062,22.05,143,38.80017297999999,1044,160,0.001,-18.885866165161133,22944,0.43876259612000507,,
23152,22.06,144,38.82027325,1048,160,0.001,-18.67010636763139,23032,0.3462243134325201,,
23242,22.07,144,38.83433312,1052,160,0.001,-19.257841630415484,23123,0.3518068282441659,,
23332,22.08,145,38.84216616,1056,160,0.001,-18.862201170487836,23214,0.670735009691932,,
23421,22.08,145,38.84617685999999,1060,160,0.001,-19.123132532293145,23302,0.4144016070799394,,
23509,22.08,146,38.83425744,1064,160,0.001,-18.746101899580523,23390,0.37671913409774954,,
23595,22.06,146,38.80482772,1068,160,0.001,-18.888681238347832,23477,0.3613422160798853,,
23683,22.05,147,38.79496287999999,1072,160,0.001,-18.960626775568183,23565,0.6775130751458082,,
23772,22.06,148,38.83252094,1076,160,0.001,-19.43858814239502,23654,0.7085329410822495,,
23858,22.04,148,38.802985070000005,1080,160,0.001,-18.660295486450195,23740,0.38940559256644475,,
23946,22.02,148,38.76741612000001,1084,160,0.001,-18.896785215897992,23828,0.672598967497999,,
24035,22.03,149,38.78465125,1088,160,0.001,-19.203589005903765,23916,0.9019803208383647,,
24124,22.03,150,38.78652428,1092,160,0.001,-18.971650383689187,24005,0.6839566298506476,,
24214,22.04,150,38.80494983999999,1096,160,0.001,-18.662906299937855,24095,0.3479163091291081,,
24302,22.05,151,38.812708810000004,1100,160,0.001,-18.635602430863813,24184,0.42378236624327575,,
24388,22.04,151,38.79580916,1104,160,0.001,-18.341231606223367,24270,0.3661710932141259,,
24475,22.03,152,38.77846926,1108,160,0.001,-18.822979840365324,24357,0.623920852723329,,
24565,22.06,153,38.81468864,1112,160,0.001,-18.845407168070476,24446,0.46819683261539624,,
24654,22.08,153,38.838566570000005,1116,160,0.001,-19.322509592229668,24536,0.5813189785588871,,
24742,22.08,154,38.83062424,1120,160,0.001,-19.076608484441582,24624,0.3524254560470581,,
