rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
,,,,,132500,-3.5976926214993,0.0564453125,640,0.9312968328595161,49.554542541503906,0.8026539087295532,0.006384505,1125.5615938007832,-0.006995204610575456,0.0003,222.954740524292,374.45,0.2
286.68,491,271,65,834.9607793,133120,,,,,,,,,,,,,
,,,,,135000,-3.575814414024353,0.09423828125,650,0.9635787382721901,33.20892333984375,0.7967976927757263,0.008218527,732.8457447469234,-0.009313427677261643,0.0003,76.73837386369705,227.4,0.2
288.43,498,271,66,838.5745276100001,135168,,,,,,,,,,,,,
288.28,502,272,67,842.23170541,137216,-3.557311065495014,0.098095703125,660,0.8491206020116806,37.615596771240234,0.7927373647689819,0.010736233,,-0.008685384361888282,0.0003,480.84747356176376,,0.2
,,,,,137500,-3.5362863793969153,0.084326171875,670,0.9002318382263184,59.82987594604492,0.7858244776725769,0.0096644005,1365.0821208119391,-0.011511522752698511,0.0003,292.0751947402954,439.8,0.2
297.17,514,270,68,869.92631961,139264,,,,,,,,,,,,,
,,,,,140000,-3.520432506501675,0.090673828125,680,0.9453357495367527,12.657342910766602,0.7845783233642578,0.008064814,2386.6536228716373,-0.0038101923710200936,0.0003,94.93626128435135,999.0,0.2
300.57,533,264,69,883.3338679399999,141312,,,,,,,,,,,,,
,,,,,142500,-3.4972138054668904,0.08935546875,690,0.9092372208833694,65.65945434570312,0.7731806635856628,0.008052655,2292.980672466755,-0.00935148280550493,0.0003,327.95271238088606,947.1,0.2
306.58,552,259,70,892.8988293599999,143360,,,,,,,,,,,,,
,,,,,145000,-3.4672398805618285,0.13515625,700,0.9286531955003738,14.883613586425781,0.7684521675109863,0.014918279,1337.6956491589547,-0.009406173878232948,0.0003,62.130124217271806,428.65,0.2
314.05,563,258,71,915.6293159699999,145408,,,,,,,,,,,,,
318.15,567,259,72,924.0552189600002,147456,-3.4528131760656833,0.1453125,710,0.8844200596213341,45.723018646240234,0.7699824571609497,0.012132598,,-0.009725813075783662,0.0003,333.0230861783028,,0.2
,,,,,147500,-3.4519651234149933,0.132763671875,720,0.9572751261293888,18.426528930664062,0.7685836553573608,0.012187798,1072.779874253273,-0.009065435949014499,0.0003,82.48155449032784,343.9,0.2
314.13,576,259,73,914.8752629099998,149504,,,,,,,,,,,,,
,,,,,150000,-3.449190128594637,0.06123046875,730,0.835710272192955,707.4229736328125,0.7685850858688354,0.006642191,1096.2161603748798,-0.0081782285036752,0.0003,525.7081505060196,375.85,0.2
322.59,587,258,74,943.7544079099998,151552,,,,,,,,,,,,,
,,,,,152500,-3.4669954970479013,0.0849609375,740,0.9633983559906483,36.84748840332031,0.7758983373641968,0.009873752,1356.387529784441,-0.004940712644020096,0.0003,104.15263521671295,476.65,0.2
324.48,599,256,75,956.0986364400001,153600,,,,,,,,,,,,,
,,,,,155000,-3.478005377203226,0.13193359375,750,0.9859527600929141,9.302129745483398,0.7739607691764832,0.012492606,1984.5033858954907,-0.00922347353916848,0.0003,22.637604801356794,709.9,0.2
319.74,614,253,76,953.12338207,155648,,,,,,,,,,,,,
,,,,,157500,-3.483967685699463,0.0771484375,760,0.9570380635559559,29.564125061035156,0.778245210647583,0.00973486,981.3723659396171,-0.008246989530744032,0.0003,122.742131793499,314.4,0.2
312.75,623,252,77,937.3405374999999,157696,,,,,,,,,,,,,
302.57,628,254,78,912.1917713500001,159744,-3.4870096549391745,0.07998046875,770,0.9770928472280502,22.784587860107422,0.7765369415283203,0.007328375,,-0.005998115867259912,0.0003,63.015785270929335,,0.2
,,,,,160000,-3.4789682365953922,0.073828125,780,0.9063893258571625,542.6923828125,0.7740366458892822,0.007660186,2512.600948792696,-0.007894764823140577,0.0003,384.83833981752394,883.35,0.2
314.18,645,250,79,947.30674025,161792,,,,,,,,,,,,,
,,,,,162500,-3.4743327498435974,0.105322265625,790,0.9754738695919514,12.648813247680664,0.7746073603630066,0.012387361,2767.436268645525,-0.011180836521089078,0.0003,51.23060678243637,959.35,0.2
311.81,665,246,80,941.7417689800001,163840,,,,,,,,,,,,,
,,,,,165000,-3.481188351660967,0.094921875,800,0.9647459797561169,26.799205780029297,0.7777082324028015,0.008292602,2658.9913485229017,-0.007714114603004418,0.0003,97.40964765548706,1000.0,0.2
313.8,685,241,81,950.9346448400001,165888,,,,,,,,,,,,,
,,,,,167500,-3.4915417820215224,0.110498046875,810,0.9798081703484058,13.08708381652832,0.7785767912864685,0.009182645,2324.815714299679,-0.008656250161584467,0.0003,50.927477467060086,1000.0,0.2
318.84,705,237,82,964.48458923,167936,,,,,,,,,,,,,
319.52,709,239,83,968.5228329599998,169984,-3.4966845877468584,0.0681640625,820,0.9692330062389374,24.825227737426758,0.7803158164024353,0.0058964984,,-0.004342428536619991,0.0003,102.33684027194977,,0.2
