time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
4371,6.42,47,696,-3.2011669100000004,92,-22.7133846282959,4270,0.0003,0.9866961240768433,-4.867921352386475,0.2835572063922882,,
4402,6.4,47,700,-3.15801598,92,-22.68544578552246,4301,0.0003,0.9910643100738525,-4.3246026039123535,0.28097644448280334,,
4421,6.35,47,704,-3.1148910400000007,92,-23.041898727416992,4320,0.0003,1.058276891708374,-4.438902378082275,0.2794119417667389,,
4440,6.26,48,708,-3.1224607300000002,92,-22.819931030273438,4339,0.0003,0.9694001078605652,-4.431356430053711,0.27785199880599976,,
4463,6.23,48,712,-3.1088171500000006,92,-22.9609375,4362,0.0003,0.8329320549964905,-4.876354217529297,0.2759786546230316,,
4487,6.23,48,716,-3.02710152,92,-22.86621856689453,4386,0.0003,0.9921358823776245,-4.697002410888672,0.2740449011325836,,
4507,6.21,48,720,-2.95373463,92,-23.219818115234375,4406,0.0003,0.9141925573348999,-4.692617416381836,0.27243882417678833,,
4535,6.25,49,724,-2.9550715000000003,92,-22.99210548400879,4434,0.0003,0.8453054428100586,-4.065921306610107,0.2702047526836395,,
4574,6.4,49,728,-2.88271481,92,-23.697734832763672,4473,0.0003,1.08447265625,-4.462708950042725,0.26712170243263245,,
4601,6.43,49,732,-2.8637276000000003,92,-24.163925170898438,4500,0.0003,0.7163023352622986,-4.005672454833984,0.26499104499816895,,
4627,6.51,50,736,-2.84259623,92,-24.209922790527344,4526,0.0003,0.8348778486251831,-3.968644857406616,0.2629450261592865,,
4649,6.47,50,740,-2.7790243500000003,92,-24.269771575927734,4548,0.0003,0.7621766328811646,-3.7484006881713867,0.26122286915779114,,
4668,6.39,50,744,-2.7267349600000004,92,-24.268909454345703,4567,0.0003,0.8485205173492432,-3.8765201568603516,0.25973987579345703,,
4694,6.47,50,748,-2.766482430000001,92,-24.202316284179688,4593,0.0003,0.8181780576705933,-3.910355567932129,0.25772303342819214,,
4725,6.54,51,752,-2.6896713700000006,92,-24.882661819458008,4624,0.0003,0.7632644176483154,-4.448478698730469,0.25533783435821533,,
4745,6.46,51,756,-2.5810162400000003,92,-24.741670608520508,4644,0.0003,0.916284441947937,-3.7201085090637207,0.25380939245224,,
4771,6.34,51,760,-2.47097004,92,-25.08089828491211,4670,0.0003,0.7431668043136597,-3.88285493850708,0.25183984637260437,,
4802,6.43,52,764,-2.4549127700000004,92,-24.57438087463379,4701,0.0003,0.9066343903541565,-3.881204605102539,0.24951699376106262,,
4833,6.52,52,768,-2.5610547599999993,92,-24.864208221435547,4732,0.0003,0.7553467750549316,-3.926537036895752,0.24722817540168762,,
4853,6.41,52,772,-2.4898673799999993,92,-24.855510711669922,4752,0.0003,0.7696621417999268,-3.5606393814086914,0.24577832221984863,,
4879,6.46,52,776,-2.48859895,92,-25.02739715576172,4778,0.0003,0.5590493679046631,-3.5748062133789062,0.24391670525074005,,
4900,6.43,53,780,-2.42678611,92,-25.05165672302246,4799,0.0003,0.7915074229240417,-4.110292434692383,0.24243147671222687,,
4929,6.43,53,784,-2.46913654,92,-25.402179718017578,4828,0.0003,0.6591383218765259,-3.564962863922119,0.24040469527244568,,
4950,6.41,53,788,-2.44935136,92,-25.378616333007812,4849,0.0003,0.6032024621963501,-3.747239589691162,0.23895110189914703,,
4984,6.53,54,792,-2.4595337799999997,92,-25.479631423950195,4883,0.0003,0.585174560546875,-3.4136130809783936,0.2366013526916504,,
5000,,,,,,-25.38419532775879,4899,0.0003,0.639980137348175,-3.47160267829895,0.23549726605415344,7.65,-0.11321597168571315
5012,6.41,54,796,-2.3461479299999994,91,-25.83080291748047,4911,0.0003,0.6149301528930664,-3.5733001232147217,0.23467162251472473,,
5033,6.31,54,800,-2.29841829,91,-25.716835021972656,4932,0.0003,0.7757991552352905,-3.3813672065734863,0.23323920369148254,,
5058,6.37,55,804,-2.2968955200000005,91,-25.787975311279297,4957,0.0003,0.7616845965385437,-3.4748730659484863,0.23154182732105255,,
5090,6.5,55,808,-2.37527899,91,-26.460180282592773,4989,0.0003,0.5617967844009399,-3.215320587158203,0.22937336564064026,,
5109,6.46,55,812,-2.34443467,91,-26.502796173095703,5008,0.0003,0.7805859446525574,-3.43467116355896,0.22808653116226196,,
