time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,-137.5750289001465,,9.377177170753479,600000,0.001,,,599463,1000.0,2331.3381303386764
648,74,,963.37,,600463,,2069.0635824299998,8051,,,
652,74,-137.44149197387696,963.37,10.338951150178909,604463,0.001,2078.03780784,8103,603463,,
,,-137.7398908996582,,10.644046681642532,605000,0.001,,,604463,1000.0,2392.5544311746257
656,74,-138.6894811706543,963.37,9.516160012245178,608463,0.001,2083.39396802,8162,607463,,
,,-138.6079222869873,,9.34730589556694,610000,0.001,,,609463,1000.0,2414.4932002926244
660,74,-138.79669790649413,963.37,9.673563365221023,612463,0.001,2093.7533206800003,8220,611463,,
,,-139.30053341674804,,10.064164976119995,615000,0.001,,,614463,1000.0,2366.2031946283764
664,74,-139.5908839111328,963.37,9.8837156124115,616463,0.001,2104.75551825,8279,615463,,
,,-140.33544638061522,,9.43318048262596,620000,0.001,,,619463,876.3,2015.093241945468
668,74,,963.37,,620463,,2107.44677052,8335,,,
672,74,-140.92894201660155,963.37,10.330400698423386,624463,0.001,2113.65912105,8386,623463,,
,,-141.12029113769532,,9.213331203699111,625000,0.001,,,624463,917.2,2172.185382448416
676,74,-141.5125648651123,963.37,9.481799488782883,628463,0.001,2137.30505523,8442,627463,,
,,-141.9926986541748,,9.787431572437287,630000,0.001,,,629463,1000.0,2388.653710551001
680,74,-141.68191232299804,971.01,10.07343085217476,632463,0.001,2159.3328123,8499,631463,,
,,-141.92065216064452,,10.128604053258895,635000,0.001,,,634463,908.0,2196.67765869447
684,74,-142.1757900390625,974.88,9.997088089227676,636463,0.001,2171.71896072,8555,635463,,
,,-142.89427026367187,,9.7154828748703,640000,0.001,,,639463,1000.0,2389.2887786783276
688,74,,974.88,,640463,,2177.3062713599998,8614,,,
692,74,-143.53467306518556,974.88,10.80158570766449,644463,0.001,2182.8288112400005,8667,643463,,
,,-142.95758250427247,,9.844837290287018,645000,0.001,,,644463,774.5,1834.0480028142688
