time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/loss
84000,-32.23203917145729,50.0,,,,,,0.31693909103050827,0.021645844,0.9913468798622489,410,-0.005919335936778225,-0.13343019559979438,0.2400390625,0.2,0.26010817289352417,0.0003,0.1260460913181305
85000,-32.23203917145729,50.0,,,,,,,,,,,,,,,,
86000,-32.23203917145729,50.0,,,,,,,,,,,,,,,,
86016,,,42,50.0,562,-37.96987067999999,152,,,,,,,,,,,
87000,-22.42772449962795,50.0,,,,,,0.4063593348953873,0.02558999,0.9888052083551884,420,-0.013888317492092028,-0.06332010999321938,0.2494140625,0.2,0.25011175870895386,0.0003,0.1995391547679901
88000,-22.42772449962795,50.0,,,,,,,,,,,,,,,,
88064,,,43,50.0,561,-33.711450740000004,156,,,,,,,,,,,
89000,-18.33816525824368,50.0,,,,,,0.4283350961282849,0.022976022,0.9650005102157593,430,-0.010867349652107805,0.028244585171341895,0.22685546875,0.2,0.23806308209896088,0.0003,0.1565328687429428
90000,-18.33816525824368,50.0,,,,,,,,,,,,,,,,
90112,,,44,50.0,561,-28.524996830000006,160,,,,,,,,,,,
91000,-13.683680418692528,50.0,,,,,,0.273616718640551,0.020376582,0.9647435545921326,440,-0.006588310626102612,0.12440429888665676,0.247802734375,0.2,0.22619059681892395,0.0003,0.08099903911352158
92000,-13.683680418692528,50.0,,,,,,,,,,,,,,,,
92160,,,45,50.0,562,-24.69999609,163,,,,,,,,,,,
93000,-11.783524970896542,50.0,,,,,,0.2794342747889459,0.024207883,0.9305688664317131,450,-0.013917221935116686,0.23889002650976182,0.27275390625,0.2,0.2128424346446991,0.0003,0.12375684082508087
94000,-11.783524970896542,50.0,,,,,,,,,,,,,,,,
94208,,,46,50.0,562,-21.432065389999998,167,,,,,,,,,,,
95000,-11.800934324786066,50.0,,,,,,0.2961795215960592,0.02022934,0.8656314164400101,460,-0.009210795548278838,0.3491836566478014,0.18154296875,0.2,0.20147667825222015,0.0003,0.0936211422085762
96000,-11.800934324786066,50.0,,,,,,,,,,,,,,,,
96256,,,47,50.0,563,-18.18425543,170,,,,,,,,,,,
97000,-11.542800617218017,50.0,,,,,,0.2484356043394655,0.018038461,0.6958856880664825,470,-0.012624983707792126,0.45532971769571307,0.19638671875,0.2,0.19040662050247192,0.0003,0.13133399188518524
98000,-11.542800617218017,50.0,,,,,,,,,,,,,,,,
98304,,,48,50.0,563,-16.361337059999997,174,,,,,,,,,,,
99000,-11.058536476828158,50.0,,,,,,0.2501742392312735,0.015413233,0.8375789076089859,480,-0.011798315271153114,0.5415758579969406,0.18544921875,0.2,0.1823694109916687,0.0003,0.06273029744625092
100000,-11.058536476828158,50.0,,,,,,,,,,,,,,,,
100352,,,49,50.0,563,-15.30557283,178,,,,,,,,,,,
101000,-11.060695050377399,50.0,,,,,,0.28641621456481514,0.021119231,0.846128910779953,490,-0.010552312483196147,0.6246233396232128,0.188427734375,0.2,0.17541271448135376,0.0003,0.08562594652175903
102000,-11.060695050377399,50.0,,,,,,,,,,,,,,,,
102400,,,50,50.0,562,-14.886333950000001,181,,,,,,,,,,,
103000,-11.081703769601882,50.0,,,,,,0.23691485184244812,0.019763656,0.8681816309690475,500,-0.013221669074846431,0.6990443959832191,0.18974609375,0.2,0.16885903477668762,0.0003,0.14277297258377075
104000,-11.081703769601882,50.0,,,,,,,,,,,,,,,,
104448,,,51,50.0,562,-14.3934092,185,,,,,,,,,,,
105000,-10.587615029420704,50.0,,,,,,0.19545146427117288,0.01501237,0.8912543505430222,510,-0.014300760766491293,0.7817328602075577,0.1806640625,0.2,0.16149598360061646,0.0003,0.06649048626422882
106000,-10.587615029420704,50.0,,,,,,,,,,,,,,,,
106496,,,52,50.0,560,-13.63112054,190,,,,,,,,,,,
107000,-10.534470768924802,50.0,,,,,,0.18155834092758596,0.0151239,0.8781354874372482,520,-0.010710004821885378,0.8643331456929445,0.159375,0.2,0.1550566554069519,0.0003,0.04834642633795738
108000,-10.534470768924802,50.0,,,,,,,,,,,,,,,,
108544,,,53,50.0,559,-12.929789430000001,194,,,,,,,,,,,
109000,-10.692386826965958,50.0,,,,,,0.17067623222246767,0.012650978,0.9022495746612549,530,-0.007120699610095471,0.938594526052475,0.16513671875,0.2,0.14924584329128265,0.0003,0.052029646933078766
110000,-10.692386826965958,50.0,,,,,,,,,,,,,,,,
