train/critic_loss,rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
9.135355949401855,,0.01981738954782486,-122.9022216796875,,250000,-0.991818904876709,,,,0.0003,249899,692.7,1886.5246571911964
8.937568664550781,706.08,0.019704118371009827,-132.98876953125,1510.4038994899997,252730,-1.7156591415405273,81,444,3092,0.0003,252629,,
8.782262802124023,,0.020348282530903816,-135.80111694335938,,255000,-1.7731173038482666,,,,0.0003,254899,757.5,1514.3418441567628
13.54942798614502,707.81,0.020066682249307632,-134.421875,1524.27102167,255534,0.6564188599586487,81,448,3130,0.0003,255433,,
22.90970230102539,686.46,0.0202326662838459,-132.09915161132812,1502.80345347,257399,0.43788933753967285,81,452,3150,0.0003,257298,,
11.26157283782959,,0.019958091899752617,-131.593505859375,,260000,-1.8573248386383057,,,,0.0003,259899,786.7,2091.4686158871764
10.519336700439453,701.37,0.019938092678785324,-131.33746337890625,1549.88236083,260826,-1.8774590492248535,81,456,3197,0.0003,260725,,
11.524734497070312,698.12,0.01934824325144291,-135.3471221923828,1527.6732605799998,264501,-0.14878833293914795,81,460,3236,0.0003,264400,,
14.728056907653809,,0.019775250926613808,-143.313720703125,,265000,1.0043022632598877,,,,0.0003,264899,940.9,2924.7547557304847
20.073944091796875,709.45,0.020107053220272064,-135.53184509277344,1571.4300090599997,267420,-0.739141047000885,81,464,3276,0.0003,267319,,
11.631742477416992,,0.01994660310447216,-135.49624633789062,,270000,0.2535059452056885,,,,0.0003,269899,844.9,2780.8209884381968
9.884368896484375,713.2,0.020240409299731255,-137.2640380859375,1558.5625698000001,270452,-0.8544538617134094,81,468,3316,0.0003,270351,,
10.61894416809082,724.37,0.020440982654690742,-134.5807342529297,1587.97304615,273627,-1.4541339874267578,81,472,3351,0.0003,273526,,
29.048187255859375,,0.020768795162439346,-140.85308837890625,,275000,-0.12470453977584839,,,,0.0003,274899,261.4,594.5423285881523
14.03383731842041,721.04,0.020472073927521706,-148.93157958984375,1623.3940418799998,277294,-1.672159194946289,81,476,3393,0.0003,277193,,
12.097597122192383,,0.020450003445148468,-142.62091064453125,,280000,-1.9785735607147217,,,,0.0003,279899,566.8,1948.0552256608382
12.450002670288086,708.67,0.02035476081073284,-141.68258666992188,1622.4935779199996,280057,-0.6160191893577576,81,480,3429,0.0003,279956,,
23.146879196166992,715.4,0.02048245258629322,-153.79946899414062,1654.5915109199998,283062,2.254970073699951,81,484,3462,0.0003,282961,,
14.621158599853516,,0.020529065281152725,-145.65101623535156,,285000,-0.22888034582138062,,,,0.0003,284899,615.2,1860.2481355405878
17.09552764892578,723.45,0.020624764263629913,-149.4797821044922,1736.9664055599997,287062,0.43810832500457764,81,488,3513,0.0003,286961,,
28.756362915039062,,0.021513506770133972,-159.63372802734375,,290000,0.46971267461776733,,,,0.0003,289899,800.7,2581.190447938227
12.22862434387207,737.71,0.02162249945104122,-151.50218200683594,1769.05012807,290231,-1.3851772546768188,81,492,3557,0.0003,290130,,
15.177629470825195,748.12,0.021830938756465912,-139.98577880859375,1827.26008659,293892,-0.1326633244752884,81,496,3597,0.0003,293791,,
11.852212905883789,,0.021499916911125183,-161.92886352539062,,295000,0.4211893379688263,,,,0.0003,294899,828.5,2854.6830968542954
17.676345825195312,743.74,0.0214675460010767,-137.67202758789062,1796.7059059199996,296878,-2.5057835578918457,81,500,3637,0.0003,296777,,
15.455224990844727,,0.02198413386940956,-162.12181091308594,,300000,0.8798387050628662,,,,0.0003,299899,820.7,2785.0080871166865
15.573994636535645,750.58,0.02182699367403984,-156.81478881835938,1805.67798666,300878,-0.06935068964958191,81,504,3687,0.0003,300777,,
12.13379955291748,744.95,0.022295169532299042,-147.4122314453125,1826.6966636400002,304315,-2.215750217437744,81,508,3723,0.0003,304214,,
27.991043090820312,,0.021765409037470818,-144.69329833984375,,305000,-1.1572930812835693,,,,0.0003,304899,960.1,3376.2749442751056
17.127479553222656,747.45,0.022848716005682945,-166.9842529296875,1857.8115440300005,307015,-0.21826183795928955,81,512,3764,0.0003,306914,,
14.64015007019043,,0.02245343290269375,-159.717529296875,,310000,-0.5489034652709961,,,,0.0003,309899,723.6,2486.95743489936
14.99113655090332,757.88,0.02276524528861046,-159.6061248779297,1902.81121795,310312,-0.03041285276412964,81,516,3806,0.0003,310211,,
13.226434707641602,773.48,0.023645319044589996,-169.57644653320312,2004.4618955300002,314084,0.32134950160980225,81,520,3845,0.0003,313983,,
13.5530366897583,,0.023293379694223404,-154.67098999023438,,315000,-2.8572890758514404,,,,0.0003,314899,917.8,3423.710117110523
33.909847259521484,765.98,0.02355434000492096,-159.85662841796875,1990.5927850499997,316975,-1.2096596956253052,81,524,3884,0.0003,316874,,
17.00848388671875,,0.023784082382917404,-173.96966552734375,,320000,1.936496615409851,,,,0.0003,319899,668.5,1906.4512786781881
21.701274871826172,778.18,0.024146465584635735,-168.4478759765625,2045.6238738,320496,1.823387861251831,81,528,3928,0.0003,320395,,
9.61517333984375,784.05,0.024241190403699875,-157.458251953125,2090.4823558499997,323862,-2.3474841117858887,81,532,3962,0.0003,323761,,
16.25528907775879,,0.02453344129025936,-168.19773864746094,,325000,-0.48609840869903564,,,,0.0003,324899,777.6,2945.088245860301
27.436077117919922,784.62,0.024386698380112648,-174.85293579101562,2128.4748678,327076,2.2865798473358154,81,536,4004,0.0003,326975,,
17.410608291625977,,0.024684421718120575,-164.9638214111328,,330000,0.2785080671310425,,,,0.0003,329899,912.9,3227.2112854930574
24.15825080871582,811.03,0.024866199120879173,-163.05319213867188,2233.13861189,330626,-1.8773889541625977,81,540,4055,0.0003,330525,,
24.741432189941406,809.24,0.02455899864435196,-181.1887969970703,2253.9278733100005,333654,-1.1192418336868286,81,544,4088,0.0003,333553,,
15.572211265563965,,0.02427276223897934,-164.95361328125,,335000,-1.9563319683074951,,,,0.0003,334899,802.0,2889.0529444355752
