rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
16.52,1505,11356,20.83043986,77,116656,116555,0.020132379606366158,0.0003,0.26015543937683105,1.804882526397705,-6.755166053771973,,
16.6,1506,11360,20.945208400000002,77,116728,116627,0.02014540694653988,0.0003,0.1130412220954895,1.7178179025650024,-6.658952713012695,,
16.37,1507,11364,20.41686278,77,116796,116695,0.020164504647254944,0.0003,-1.6043715476989746,2.0367960929870605,-6.1862592697143555,,
16.19,1508,11368,20.18032006,77,116850,116749,0.020305383950471878,0.0003,2.695234537124634,1.82566499710083,-6.555224418640137,,
16.15,1508,11372,20.096075459999998,77,116903,116802,0.02033078670501709,0.0003,3.2525794506073,2.0413272380828857,-6.920443058013916,,
16.6,1510,11376,20.76990505,77,116994,116893,0.02034107595682144,0.0003,-4.997093677520752,1.8550536632537842,-6.607496738433838,,
16.66,1511,11380,20.637052249999996,77,117061,116960,0.02027842216193676,0.0003,-0.7411906719207764,1.9565634727478027,-6.162496089935303,,
16.79,1511,11384,20.653665419999996,77,117118,117017,0.020383141934871674,0.0003,-3.6627373695373535,1.81990385055542,-6.378962516784668,,
16.75,1512,11388,20.62574181,77,117179,117078,0.02026064321398735,0.0003,2.745797872543335,1.8875410556793213,-6.604475975036621,,
16.47,1512,11392,20.11271733,77,117215,117114,0.02031726762652397,0.0003,3.3341660499572754,2.5290818214416504,-6.564639568328857,,
16.31,1513,11396,20.012183059999998,77,117271,117170,0.02034272998571396,0.0003,-1.7227563858032227,1.6061205863952637,-6.248188018798828,,
16.34,1514,11400,20.25572126,77,117354,117253,0.020263705402612686,0.0003,-2.6622085571289062,1.9888277053833008,-6.525444030761719,,
16.79,1516,11404,20.88786987,77,117464,117363,0.02037920244038105,0.0003,2.3474607467651367,2.1447510719299316,-6.157377243041992,,
16.94,1517,11408,20.988212570000005,77,117531,117430,0.02022274024784565,0.0003,3.092116594314575,2.092484951019287,-6.98736047744751,,
16.86,1517,11412,20.871635560000005,77,117581,117480,0.020257465541362762,0.0003,-2.6471455097198486,1.6794352531433105,-6.3527631759643555,,
16.8,1518,11416,20.908903320000004,77,117626,117525,0.020240088924765587,0.0003,-1.4043290615081787,2.39280366897583,-6.544258117675781,,
17.05,1519,11420,21.213229800000004,77,117714,117613,0.02037443406879902,0.0003,0.08492934703826904,2.3100779056549072,-6.236954689025879,,
17.02,1520,11424,21.417641900000003,77,117777,117676,0.020318899303674698,0.0003,2.004549503326416,2.054520606994629,-6.353010177612305,,
16.97,1521,11428,21.327844159999998,77,117836,117735,0.020408378913998604,0.0003,-2.850066661834717,2.0919177532196045,-6.452151298522949,,
17.31,1522,11432,22.06063834,77,117916,117815,0.020353825762867928,0.0003,2.57462215423584,1.8797245025634766,-6.055032730102539,,
17.08,1522,11436,21.72593897999999,77,117966,117865,0.020347410812973976,0.0003,0.07566487789154053,2.1038589477539062,-6.168689727783203,,
17.13,1523,11440,21.772084349999997,77,118037,117936,0.020403169095516205,0.0003,0.2848317623138428,2.3969008922576904,-6.467824459075928,,
16.55,1524,11444,20.8138634,77,118079,117978,0.020411143079400063,0.0003,-0.11129075288772583,2.294701099395752,-6.529299259185791,,
