time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
67589,142,119.35,473,668,258.51936178999995,,,,,,
68068,142,119.25,476,672,258.42432157,15.572599851784586,0.001,-55.95464038848877,67852,,
68528,142,118.81,479,676,257.56591512,14.678284757277545,0.001,-55.361806297302245,68324,,
68993,142,118.3,482,680,256.61666961,13.888904734774753,0.001,-55.824059226296164,68787,,
69448,142,117.73,485,684,255.45631402999996,14.706873638289315,0.001,-55.052020277295796,69261,,
69930,143,118.93,488,688,258.44354305999997,16.7288875579834,0.001,-55.03320091001449,69714,,
70000,,,,,,15.618207572937012,0.001,-54.46087511124149,69839,244.9710642695427,112.0
70349,142,118.16,494,692,256.55267974,15.953095825094925,0.001,-55.02447703846714,70186,,
70751,142,117.12,496,696,254.26090454999996,15.439284731601846,0.001,-54.630828594339306,70545,,
71167,142,116.06,499,700,251.83921754,14.128038487882696,0.001,-55.156510057120485,70957,,
71628,142,115.83,502,704,251.41388172999999,14.604986120306927,0.001,-54.44775206467201,71412,,
72114,142,115.59,505,708,250.98518724000002,15.165035074407404,0.001,-54.553271309274145,71894,,
72500,,,,,,16.907863577858347,0.001,-54.72314065401672,72395,252.7501954138279,115.25
72607,141,115.64,511,712,251.09243468,,,,,,
73081,142,115.63,514,716,251.05383739999994,14.412871880964799,0.001,-54.8807066599528,72871,,
73558,142,115.53,517,720,250.96937764000003,15.50440266529719,0.001,-54.454735565185544,73349,,
74030,142,116.86,521,724,254.27372512999997,13.627066884722028,0.001,-54.76402969360352,73824,,
74520,142,117.58,524,728,255.92405845999997,14.470312680953588,0.001,-54.64789824650205,74309,,
75000,,,,,,14.055329652627309,0.001,-54.540212122599286,74790,261.5996776521206,120.25
75006,141,117.61,530,732,256.08034799000006,,,,,,
75411,141,116.82,533,736,254.13356812,14.968595354787764,0.001,-54.44620636970766,75270,,
75892,141,116.84,536,740,254.24571795,15.937533762495397,0.001,-55.34936756198689,75678,,
76369,141,116.89,539,744,254.36881986000003,14.343127647367846,0.001,-55.27420425415039,76164,,
76859,141,116.9,543,748,254.34667709999997,13.666925096511841,0.001,-54.58386236826579,76644,,
77276,141,116.17,545,752,252.56885378000004,13.6859303493889,0.001,-55.149076232910154,77066,,
77500,,,,,,12.268558963006283,0.001,-54.773278045654294,77304,235.61310170888902,109.4
77766,141,116.19,550,756,252.51768763000004,13.730370916304041,0.001,-54.510305248323036,77549,,
78182,141,115.37,553,760,250.51496734999998,14.16839529069002,0.001,-54.12654488881429,77967,,
78675,141,115.52,556,764,250.84634524,12.841010701937938,0.001,-54.774234771728516,78463,,
79147,141,115.58,559,768,251.04447747000003,15.344069891828832,0.001,-54.79764819536053,78941,,
79637,141,115.69,562,772,251.08400923000005,14.081365954875945,0.001,-55.423891385396324,79423,,
80000,,,,,,14.239928507804871,0.001,-55.22740173339844,79905,262.595984429121,120.15
80114,141,115.86,568,776,251.40033351000002,,,,,,
80603,141,116.1,571,780,251.82647863999998,13.357925331115723,0.001,-55.53823280334473,80383,,
81083,141,116.35,574,784,252.33168110999998,13.00773285637217,0.001,-55.13381532762872,80876,,
81561,141,116.31,577,788,252.29237479999995,11.87328145463588,0.001,-55.1370543140476,81346,,
82033,141,116.84,581,792,253.73184508999998,11.23827284324069,0.001,-55.71767923387431,81827,,
82434,141,116.83,583,796,253.60230638000004,12.141464253951764,0.001,-55.774591248610925,82226,,
82500,,,,,,11.765488962841848,0.001,-55.55332348264497,82343,260.439445322752,119.6
82917,140,117.5,589,800,255.24064734,13.103868369261424,0.001,-55.67863604227702,82705,,
83401,140,117.73,592,804,255.63046884,13.332809325187437,0.001,-55.69547800863943,83190,,
83895,140,117.81,596,808,255.83930655000003,11.574125700849828,0.001,-55.74264747865738,83686,,
84385,140,117.78,599,812,255.84637901,11.65058147907257,0.001,-56.03597295284271,84174,,
84875,140,117.94,603,816,256.22377627000003,12.916296447195657,0.001,-55.44231427302126,84663,,
