time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
22,6.06,324,-4.05969807,86,1966,5.99925422668457,-13.667423248291016,0.5750439167022705,0.0003,-10.48841667175293,1865,,
23,6.06,328,-4.0819487400000005,86,1994,4.597230911254883,-12.61906909942627,0.5703193545341492,0.0003,-10.723112106323242,1893,,
23,6.11,332,-4.12444717,86,2020,4.489145278930664,-12.701647758483887,0.5659759044647217,0.0003,-10.758415222167969,1919,,
23,6.24,336,-4.245120969999999,86,2054,4.874762058258057,-12.643098831176758,0.5603342652320862,0.0003,-10.922236442565918,1953,,
23,6.31,340,-4.30304505,86,2081,3.2311758995056152,-12.14749813079834,0.5558996796607971,0.0003,-11.135200500488281,1980,,
24,6.37,344,-4.33221246,86,2112,4.691272735595703,-12.202723503112793,0.55086350440979,0.0003,-11.34908390045166,2011,,
24,6.38,348,-4.37013352,86,2134,6.671525955200195,-12.359498977661133,0.5473130941390991,0.0003,-11.326714515686035,2033,,
24,6.33,352,-4.323233340000001,86,2159,4.628990173339844,-12.208526611328125,0.5433083176612854,0.0003,-11.485052108764648,2058,,
25,6.27,356,-4.31172399,86,2178,5.9255194664001465,-13.497243881225586,0.5402765274047852,0.0003,-11.532081604003906,2077,,
25,6.22,360,-4.3679255999999995,86,2195,4.098727226257324,-11.528453826904297,0.5375942587852478,0.0003,-11.518149375915527,2094,,
25,6.15,364,-4.28887696,86,2215,3.515305995941162,-11.757917404174805,0.5344587564468384,0.0003,-11.726426124572754,2114,,
25,6.09,368,-4.24025179,86,2232,4.6079816818237305,-12.669642448425293,0.5318108201026917,0.0003,-11.704214096069336,2131,,
26,6.19,372,-4.29198316,86,2263,5.910901069641113,-12.524900436401367,0.5270516872406006,0.0003,-11.668642044067383,2162,,
26,6.2,376,-4.34211003,86,2288,6.707085609436035,-12.072870254516602,0.5232768654823303,0.0003,-11.841191291809082,2187,,
26,6.1,380,-4.360468710000001,86,2306,6.147242546081543,-11.467626571655273,0.5206093788146973,0.0003,-11.671611785888672,2205,,
26,6.02,384,-4.28904811,86,2328,5.505796432495117,-12.736275672912598,0.517377495765686,0.0003,-11.975444793701172,2227,,
27,6.03,388,-4.36138392,86,2351,5.809703350067139,-11.997997283935547,0.5140113234519958,0.0003,-11.937360763549805,2250,,
27,6.09,392,-4.44016366,86,2379,5.0962629318237305,-11.193567276000977,0.5099076628684998,0.0003,-12.29150104522705,2278,,
27,6.09,396,-4.432318979999999,86,2400,4.144150257110596,-10.658557891845703,0.5068444609642029,0.0003,-12.421438217163086,2299,,
27,6.1,400,-4.44696937,86,2427,5.1209306716918945,-10.714205741882324,0.5029063820838928,0.0003,-12.571362495422363,2326,,
28,6.1,404,-4.4411767300000005,86,2452,6.841803550720215,-10.660948753356934,0.49927687644958496,0.0003,-12.848071098327637,2351,,
28,6.02,408,-4.43900342,86,2478,3.238905429840088,-11.13947868347168,0.49548956751823425,0.0003,-13.052169799804688,2377,,
29,6.13,412,-4.568005289999999,86,2512,4.292776107788086,-10.293060302734375,0.4905566871166229,0.0003,-13.325813293457031,2411,,
29,6.09,416,-4.5194665,86,2535,4.875748634338379,-9.863656044006348,0.4872330129146576,0.0003,-13.450557708740234,2434,,
29,6.19,420,-4.574467019999999,86,2563,2.9170589447021484,-10.57051944732666,0.48320144414901733,0.0003,-13.929139137268066,2462,,
29,6.18,424,-4.60975508,86,2584,5.992609024047852,-10.580536842346191,0.4801730215549469,0.0003,-13.928420066833496,2483,,
30,6.12,428,-4.50948942,86,2606,4.1251420974731445,-10.760143280029297,0.4770292341709137,0.0003,-13.864303588867188,2505,,
30,6.1,432,-4.48526072,86,2630,3.301481246948242,-10.52387809753418,0.47367411851882935,0.0003,-13.282950401306152,2529,,
30,5.99,436,-4.407904650000001,86,2653,5.045637130737305,-10.56875991821289,0.4706067740917206,0.0003,-13.424118995666504,2552,,
31,6.05,440,-4.425146089999999,86,2686,4.878035068511963,-9.891674995422363,0.46623164415359497,0.0003,-13.745797157287598,2585,,
31,5.99,444,-4.3750683200000005,86,2711,2.6140196323394775,-9.267374038696289,0.46292632818222046,0.0003,-14.032829284667969,2610,,
31,6.01,448,-4.317382889999999,86,2735,3.9579854011535645,-9.687103271484375,0.4597405195236206,0.0003,-14.269611358642578,2634,,
31,6.01,452,-4.33749537,86,2760,4.073235511779785,-9.588478088378906,0.4564131200313568,0.0003,-14.474419593811035,2659,,
32,6.08,456,-4.369374519999999,86,2786,4.53309440612793,-10.313222885131836,0.4529559910297394,0.0003,-14.026190757751465,2685,,
32,6.2,460,-4.411638099999999,86,2815,3.0345571041107178,-9.190542221069336,0.4492088258266449,0.0003,-14.09745979309082,2714,,
32,6.22,464,-4.4073433799999995,86,2837,2.9794788360595703,-9.240331649780273,0.44641658663749695,0.0003,-14.27659797668457,2736,,
33,6.27,468,-4.43727684,86,2859,4.0510172843933105,-9.35270881652832,0.4436548054218292,0.0003,-14.229673385620117,2758,,
33,6.24,472,-4.512995409999999,86,2887,3.5334458351135254,-9.397125244140625,0.44015052914619446,0.0003,-14.454448699951172,2786,,
33,6.26,476,-4.45394296,86,2914,2.39595365524292,-8.968599319458008,0.4367806911468506,0.0003,-14.544703483581543,2813,,
34,6.39,480,-4.507141150000001,86,2945,3.97552227973938,-8.779376983642578,0.4329134225845337,0.0003,-14.911727905273438,2844,,
34,6.4,484,-4.51192481,86,2968,3.0760440826416016,-8.828046798706055,0.43003690242767334,0.0003,-15.331767082214355,2867,,
34,6.4,488,-4.4686435399999995,86,2991,2.7951247692108154,-8.716963768005371,0.4271610677242279,0.0003,-15.507041931152344,2890,,
34,6.36,492,-4.43610592,86,3015,2.50713849067688,-8.05483627319336,0.4241703450679779,0.0003,-15.41154956817627,2914,,
35,6.33,496,-4.42794758,86,3033,2.9757721424102783,-7.860311508178711,0.42193153500556946,0.0003,-15.857398986816406,2932,,
35,6.31,500,-4.36246472,86,3058,3.449737071990967,-8.425556182861328,0.41883784532546997,0.0003,-15.814037322998047,2957,,
35,6.3,504,-4.3540809199999995,86,3082,1.851672649383545,-8.318020820617676,0.4158862233161926,0.0003,-16.218647003173828,2981,,
36,6.34,508,-4.36562581,86,3112,2.103123903274536,-7.824222087860107,0.4122081696987152,0.0003,-16.14596176147461,3011,,
36,6.24,512,-4.28195594,86,3136,1.6097033023834229,-7.815868854522705,0.40927594900131226,0.0003,-16.39706039428711,3035,,
36,6.29,516,-4.35252182,86,3164,2.4111876487731934,-7.765761375427246,0.4058840870857239,0.0003,-16.768077850341797,3063,,
36,6.2,520,-4.315899779999999,86,3183,2.5460965633392334,-7.687634468078613,0.40360167622566223,0.0003,-16.767810821533203,3082,,
37,6.27,524,-4.36685735,86,3211,1.992576241493225,-8.21907901763916,0.40028154850006104,0.0003,-16.470571517944336,3110,,
37,6.32,528,-4.44359863,86,3238,2.4005157947540283,-8.099514961242676,0.39713868498802185,0.0003,-16.26280975341797,3137,,
