time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/std,train/n_updates,eval/mean_ep_length,eval/mean_reward
11686,1122304,96,770.94,548,3865.02233781,0.27958984375,-0.04054764258326031,0.0003,0.8547908812761307,536.8910417199135,0.2,-20.065619033575057,0.02369637,453.1618347167969,0.6661196351051331,5470,,
11694,1124352,96,776.45,549,3894.0454112800003,0.148681640625,-0.02905996305635199,0.0003,0.647114634513855,355.0669994056225,0.2,-20.05996118783951,0.015962925,33.923194885253906,0.665665328502655,5480,,
,1125000,,,,,0.284423828125,-0.046400606184033674,0.0003,0.9637838415801525,42.749204707145694,0.2,-20.055819070339204,0.027341237,11.166746139526367,0.6659480333328247,5490,958.5,4815.275625318289
11740,1126400,95,779.18,550,3908.121930449999,,,,,,,,,,,,,
11747,1128448,96,782.28,551,3924.62785891,0.28349609375,-0.048668282662401904,0.0003,0.9300052672624588,65.65882934629917,0.2,-20.046530944108962,0.030702025,21.549558639526367,0.6650859117507935,5500,,
,1130000,,,,,0.27578125,-0.03573083982046228,0.0003,0.743364006280899,316.32444727420807,0.2,-20.04355058670044,0.03364031,13.095405578613281,0.6653077602386475,5510,954.65,4795.540610823035
11791,1130496,95,786.17,552,3944.5939107799995,,,,,,,,,,,,,
11799,1132544,95,790.72,553,3967.5382634000002,0.414404296875,-0.027512074034893884,0.0003,0.37710052728652954,305.589282900095,0.2,-20.04024158716202,0.048884235,20.0965633392334,0.6650517582893372,5520,,
11807,1134592,96,794.05,554,3985.40966114,0.313671875,-0.058818112264270896,0.0003,0.731223076581955,132.4543933391571,0.2,-20.03267208337784,0.032283813,32.155582427978516,0.6648102402687073,5530,,
,1135000,,,,,0.39072265625,-0.04486631317995489,0.0003,0.9408935196697712,50.04466319680214,0.2,-20.019537651538847,0.059564434,7.616744518280029,0.6636942028999329,5540,916.05,4598.997173535451
11847,1136640,95,790.84,555,3969.7978969899996,,,,,,,,,,,,,
11855,1138688,96,788.54,556,3958.2277709500004,0.333251953125,-0.047190032797516324,0.0003,0.9508057273924351,87.01281699538231,0.2,-19.98250566124916,0.04974486,15.433109283447266,0.6625334024429321,5550,,
,1140000,,,,,0.634326171875,-0.030473546506254934,0.0003,0.9470252729952335,40.910269412398335,0.2,-19.956401205062868,0.18833566,5.176816463470459,0.6623164415359497,5560,1000.0,5018.126094150543
11900,1140736,95,792.45,557,3978.35337037,,,,,,,,,,,,,
11907,1142784,95,782.17,558,3926.7359473599995,0.414208984375,-0.04938793279870879,0.0003,0.9815953597426414,36.38716947287321,0.2,-19.935444647073744,0.052387677,4.9474287033081055,0.661071240901947,5570,,
11915,1144832,96,789.16,559,3961.6684267299993,0.435498046875,-0.03221140840905719,0.0003,0.831267237663269,153.59429233670235,0.2,-19.90915271639824,0.09791374,4.964749336242676,0.6605895757675171,5580,,
,1145000,,,,,0.757470703125,-0.05010971263400279,0.0003,0.5026086866855621,6.008797919750213,0.2,-19.89229406118393,0.3882681,1.4654035568237305,0.6605436205863953,5590,966.7,4853.643145941058
11960,1146880,95,794.08,560,3986.47705502,,,,,,,,,,,,,
11968,1148928,95,790.27,561,3967.7266372499994,0.467626953125,-0.01822820349771064,0.0003,0.582865446805954,519.3645981028676,0.2,-19.911149722337722,0.041352116,6.7457275390625,0.6610089540481567,5600,,
,1150000,,,,,0.32353515625,-0.054314424382755536,0.0003,0.958224531263113,38.304302462935446,0.2,-19.918906009197237,0.03737563,8.921424865722656,0.6613423824310303,5610,947.8,4765.01005690652
12010,1150976,95,788.0,562,3955.8704468899996,,,,,,,,,,,,,
12018,1153024,95,788.0,563,3955.85068477,0.265185546875,-0.032572892669122666,0.0003,0.42046093940734863,519.6012752354145,0.2,-19.929743885993958,0.0302603,43.683746337890625,0.6618323922157288,5620,,
,1155000,,,,,0.4111328125,-0.039210016941069625,0.0003,0.9367253929376602,25.169628637284042,0.2,-19.946669936180115,0.055868313,2.387690305709839,0.6619669795036316,5630,974.35,4886.885006818734
12062,1155072,95,781.24,564,3922.1765724100005,,,,,,,,,,,,,
12070,1157120,95,781.24,565,3922.2597661300006,0.495361328125,-0.026386585953878237,0.0003,0.8314500600099564,60.248967153578995,0.2,-19.934403574466707,0.07120311,4.892712593078613,0.6613146066665649,5640,,
12077,1159168,95,788.39,566,3958.03701765,0.739990234375,-0.04989564488059841,0.0003,0.2632611393928528,2.8837153900414707,0.2,-20.001733595132826,0.36425573,0.6514776945114136,0.6661915183067322,5650,,
,1160000,,,,,0.451220703125,-0.028989130374975504,0.0003,0.9279168024659157,14.929776512831449,0.2,-20.05877816081047,0.06872188,1.722089409828186,0.6643719673156738,5660,863.2,4327.428584920801
12118,1161216,95,790.63,567,3969.03022677,,,,,,,,,,,,,
12125,1163264,95,787.32,568,3951.8808564899996,0.4896484375,-0.008046736734104342,0.0003,0.8090817779302597,56.031939854472874,0.2,-20.05341680049896,0.11000329,4.076789379119873,0.6664171814918518,5670,,
,1165000,,,,,0.11005859375,-0.028859012795146556,0.0003,0.4966955780982971,1031.7564118504524,0.2,-20.087215501070023,0.010792311,588.7003173828125,0.6664454936981201,5680,964.5,4831.747017388046
12169,1165312,95,787.24,569,3950.8240708899993,,,,,,,,,,,,,
12177,1167360,95,791.96,570,3974.2085448499997,0.192041015625,-0.03046555574546801,0.0003,0.7443161606788635,495.49991513490676,0.2,-20.086676186323167,0.019170944,44.26603698730469,0.6663775444030762,5690,,
12183,1169408,95,788.26,571,3955.3775230999995,0.22783203125,-0.05089890667004511,0.0003,0.9185462146997452,85.576414462924,0.2,-20.07882500886917,0.02375042,26.329187393188477,0.66596519947052,5700,,
,1170000,,,,,0.168798828125,-0.02352244144422002,0.0003,0.1368427276611328,1067.5376143157482,0.2,-20.072538620233537,0.0153662395,136.61703491210938,0.6661453247070312,5710,979.3,4907.051883409545
12228,1171456,95,793.69,572,3982.03853126,,,,,,,,,,,,,
12235,1173504,95,791.78,573,3971.7768459999998,0.15,-0.03676239876222098,0.0003,0.8537687808275223,601.1061281979084,0.2,-20.072077709436417,0.016459946,315.4521789550781,0.6658600568771362,5720,,
,1175000,,,,,0.22998046875,-0.051689567873836495,0.0003,0.9695740826427937,92.10569603443146,0.2,-20.062386107444762,0.026072666,22.882675170898438,0.6653942465782166,5730,1000.0,5012.369935464859
12281,1175552,95,788.85,574,3956.78020905,,,,,,,,,,,,,
12287,1177600,95,789.12,575,3958.46200059,0.19853515625,-0.028087786643300205,0.0003,0.21872377395629883,926.6446492552757,0.2,-20.050414568185808,0.02041993,339.0689697265625,0.6652028560638428,5740,,
