time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
594,8612,50150,2.70411295,84,6.07,-0.8368183374404907,0.9868136644363403,50049,0.007959096692502499,0.0003,0.1655169129371643,,
595,8616,50180,2.8027992799999994,84,6.21,-0.7468273639678955,-1.81679105758667,50079,0.007984397001564503,0.0003,0.1997348666191101,,
595,8620,50208,2.80917567,84,6.21,-0.6612964868545532,-2.4661898612976074,50107,0.007980373688042164,0.0003,0.10879026353359222,,
595,8624,50224,2.8114549500000003,84,6.16,-0.7815741300582886,1.149202585220337,50123,0.007960439659655094,0.0003,0.1503521203994751,,
595,8628,50252,2.85925126,84,6.23,-0.7509254813194275,0.27614498138427734,50151,0.007960607297718525,0.0003,0.16433021426200867,,
596,8632,50279,2.8544568599999995,84,6.26,-0.6360909342765808,-0.3584217131137848,50178,0.007956151850521564,0.0003,0.10466540604829788,,
596,8636,50320,2.92659705,84,6.33,-0.6401363015174866,-2.1709587574005127,50219,0.007955813780426979,0.0003,0.17699621617794037,,
597,8640,50338,2.8845965500000013,84,6.3,-0.7357354164123535,-1.1535414457321167,50237,0.0079308757558465,0.0003,0.11105255037546158,,
597,8644,50366,2.9481286,84,6.34,-0.752037763595581,-2.6554818153381348,50265,0.007945498451590538,0.0003,0.12407691776752472,,
597,8648,50395,2.99016675,84,6.43,-0.686553418636322,-0.9783773422241211,50294,0.007931465283036232,0.0003,0.13181449472904205,,
598,8652,50411,2.9086644700000006,84,6.32,-0.7248286604881287,0.7237879633903503,50310,0.007921174168586731,0.0003,0.12368687242269516,,
598,8656,50433,2.9523330700000003,84,6.36,-0.7469547986984253,1.0919311046600342,50332,0.007928436622023582,0.0003,0.1829564869403839,,
598,8660,50460,2.9028653899999997,84,6.35,-0.6668003797531128,1.3844804763793945,50359,0.00793391652405262,0.0003,0.24287739396095276,,
598,8664,50477,2.89932163,84,6.37,-0.541014552116394,2.1092581748962402,50376,0.007923145778477192,0.0003,0.1334128975868225,,
599,8668,50511,2.9769847800000004,84,6.51,-0.6730158925056458,1.4277124404907227,50410,0.007885045371949673,0.0003,0.1042642891407013,,
599,8672,50537,2.8733695299999997,84,6.33,-0.701561689376831,1.1973063945770264,50436,0.00784439779818058,0.0003,0.19487017393112183,,
599,8676,50563,2.9867858599999995,84,6.38,-0.6547330021858215,-2.8647255897521973,50462,0.007882117293775082,0.0003,0.16138482093811035,,
600,8680,50592,3.10097703,84,6.5,-0.7495737671852112,3.822450637817383,50491,0.007885519415140152,0.0003,0.3178390860557556,,
600,8684,50624,3.2252787599999992,84,6.53,-0.5333226919174194,-3.321357011795044,50523,0.007895169779658318,0.0003,0.15607693791389465,,
600,8688,50645,3.1158274699999997,84,6.48,-0.691054105758667,2.6252310276031494,50544,0.007878540083765984,0.0003,0.18498678505420685,,
601,8692,50662,2.99433958,84,6.31,-0.6612380146980286,2.1773972511291504,50561,0.007890292443335056,0.0003,0.14830505847930908,,
601,8696,50680,2.89330919,84,6.24,-0.8368101119995117,-0.8178949952125549,50579,0.007905201986432076,0.0003,0.27993959188461304,,
601,8700,50700,2.8308039699999994,84,6.17,-0.51646488904953,1.2984483242034912,50599,0.00791569147258997,0.0003,0.19256125390529633,,
601,8704,50720,2.80181458,84,6.14,-0.6139192581176758,0.6262223720550537,50619,0.007920758798718452,0.0003,0.11507610976696014,,
602,8708,50751,2.7796288099999997,84,6.19,-0.6657766103744507,0.2558290660381317,50650,0.007937231101095676,0.0003,0.1494697630405426,,
602,8712,50772,2.81608466,84,6.22,-0.6815164089202881,-0.5507804155349731,50671,0.007937265560030937,0.0003,0.11794919520616531,,
602,8716,50795,2.7458969699999995,84,6.15,-0.4070562422275543,0.8792959451675415,50694,0.007929756306111813,0.0003,0.14648859202861786,,
602,8720,50828,2.87096369,84,6.2,-0.8848843574523926,6.584212303161621,50727,0.007939555682241917,0.0003,0.15973836183547974,,
603,8724,50844,2.84314796,84,6.2,-0.5286269187927246,0.6585532426834106,50743,0.00796835869550705,0.0003,0.1320134997367859,,
603,8728,50869,2.7990670499999997,84,6.17,-0.7272813320159912,0.2938758134841919,50768,0.007989496923983097,0.0003,0.16359931230545044,,
603,8732,50891,2.8421210299999995,84,6.12,-0.7791094779968262,0.43471574783325195,50790,0.007996105588972569,0.0003,0.127161905169487,,
604,8736,50939,2.94630907,84,6.19,-0.7094349265098572,-1.9259774684906006,50838,0.007962915115058422,0.0003,0.1441713571548462,,
604,8740,50956,2.94991326,84,6.18,-0.7061570882797241,-1.0229268074035645,50855,0.007947605103254318,0.0003,0.12958534061908722,,
604,8744,50989,2.9559434899999997,84,6.23,-0.6302694082260132,1.529700517654419,50888,0.007943796925246716,0.0003,0.16698040068149567,,
605,8748,51016,2.9922016100000004,84,6.21,-0.72951340675354,-3.7702267169952393,50915,0.007959578186273575,0.0003,0.16191424429416656,,
605,8752,51045,3.05088392,84,6.34,-0.7588326334953308,-0.9108779430389404,50944,0.007975435815751553,0.0003,0.13025888800621033,,
605,8756,51064,3.03013507,84,6.31,-0.7961075305938721,0.47440922260284424,50963,0.007960382848978043,0.0003,0.16698318719863892,,
606,8760,51085,3.0595616900000007,84,6.25,-0.7878551483154297,-0.7793252468109131,50984,0.00797440204769373,0.0003,0.13389605283737183,,
606,8764,51138,3.4320828999999997,84,6.61,-0.7329305410385132,3.0919153690338135,51037,0.008017073385417461,0.0003,0.10441898554563522,,
606,8768,51158,3.3269592700000006,84,6.47,-0.7581952810287476,-0.19259822368621826,51057,0.008046316914260387,0.0003,0.1581106036901474,,
607,8772,51192,3.4424692699999997,84,6.55,-0.7805719971656799,0.7923866510391235,51091,0.008053222671151161,0.0003,0.21392811834812164,,
607,8776,51210,3.3361285400000003,84,6.47,-0.7258039712905884,0.6747908592224121,51109,0.008054874837398529,0.0003,0.20144003629684448,,
607,8780,51231,3.2458432200000003,84,6.39,-0.7366453409194946,-1.199493169784546,51130,0.008074725046753883,0.0003,0.12632882595062256,,
608,8784,51256,3.097255080000001,84,6.32,-0.7129743099212646,0.3506859242916107,51155,0.0080897631123662,0.0003,0.15577583014965057,,
608,8788,51285,3.2152745300000003,84,6.4,-0.619807243347168,0.5343047380447388,51184,0.00810856744647026,0.0003,0.1322067826986313,,
608,8792,51310,3.291094239999999,84,6.48,-0.747928261756897,-1.0424847602844238,51209,0.008103989996016026,0.0003,0.11736534535884857,,
609,8796,51328,3.3190419599999994,84,6.48,-0.6670960187911987,-2.3758344650268555,51227,0.008126205764710903,0.0003,0.13181844353675842,,
609,8800,51366,3.5182819800000003,84,6.66,-0.6036571264266968,-0.7848486304283142,51265,0.008115842938423157,0.0003,0.1308538019657135,,
609,8804,51386,3.52903459,84,6.66,-0.6060893535614014,-0.34097975492477417,51285,0.008122265338897705,0.0003,0.1373201310634613,,
610,8808,51423,3.5712906900000005,84,6.72,-0.6651347875595093,2.2324271202087402,51322,0.00813506543636322,0.0003,0.1520458459854126,,
610,8812,51440,3.5114109699999996,84,6.68,-0.9098325967788696,-0.04024992883205414,51339,0.008136658929288387,0.0003,0.2655975818634033,,
610,8816,51464,3.52208315,84,6.69,-0.6540571451187134,-2.023759365081787,51363,0.008136406540870667,0.0003,0.14983409643173218,,
610,8820,51482,3.3693497000000003,84,6.54,-0.7149139642715454,0.9452279210090637,51381,0.008130473084747791,0.0003,0.158972829580307,,
611,8824,51518,3.5399648200000002,84,6.74,-0.870446503162384,0.39992398023605347,51417,0.00812501274049282,0.0003,0.13016891479492188,,
611,8828,51542,3.601771999999999,84,6.73,-0.8004268407821655,2.0771777629852295,51441,0.0081336023285985,0.0003,0.1369502991437912,,
611,8832,51569,3.62864,84,6.78,-0.6203653812408447,-3.4467356204986572,51468,0.008149076253175735,0.0003,0.10605143010616302,,
611,8836,51584,3.3430161099999998,84,6.45,-0.7095987796783447,-1.2001327276229858,51483,0.008147032931447029,0.0003,0.15384657680988312,,
