time/total_timesteps,time/time_elapsed,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/iterations,train/n_updates,train/entropy_loss,train/std,eval/mean_ep_length,eval/mean_reward
54000,281,34.48701095581055,21.73998334,21.88,191,0.0007,93.236083984375,-1.9343149662017822,10800,10799,-16.510541915893555,0.9608945846557617,,
54500,283,1.9879230260849,20.757222130000006,20.78,191,0.0007,19.153715133666992,0.7530396729707718,10900,10899,-16.504384994506836,0.9603077173233032,,
55000,,20.43244743347168,,,,0.0007,-27.109960556030273,0.7123966813087463,,10999,-16.486061096191406,0.9590350985527039,32.3,34.85170201072469
55000,287,,22.17540982,21.97,191,,,,11000,,,,,
55500,289,16.956695556640625,23.701776529999997,23.15,191,0.0007,64.4154281616211,0.7224427461624146,11100,11099,-16.458362579345703,0.9568525552749634,,
56000,292,5.055655002593994,24.017137010000006,23.13,191,0.0007,-35.78216552734375,0.41048651933670044,11200,11199,-16.5035343170166,0.9602001905441284,,
56500,295,55.49203109741211,24.899151850000003,23.26,191,0.0007,-101.73030853271484,0.8474955707788467,11300,11299,-16.50668716430664,0.9607202410697937,,
57000,297,2.443530797958374,26.281838199999992,24.39,191,0.0007,13.240127563476562,0.6483195424079895,11400,11399,-16.533374786376953,0.9627869129180908,,
57500,300,4.340037822723389,25.285621060000004,23.41,191,0.0007,34.41151809692383,-0.04658520221710205,11500,11499,-16.532623291015625,0.9631235599517822,,
58000,302,30.800012588500977,24.432968390000006,23.49,191,0.0007,94.28756713867188,0.3773757815361023,11600,11599,-16.55255889892578,0.9646701812744141,,
58500,304,32.274349212646484,24.86960145,23.66,191,0.0007,-91.47061920166016,-4.409942150115967,11700,11699,-16.549345016479492,0.9643391370773315,,
59000,307,38.848487854003906,23.471622019999995,23.17,191,0.0007,-86.40495300292969,0.8807976990938187,11800,11799,-16.606067657470703,0.9687169790267944,,
59500,309,2.415181875228882,23.03116163,22.55,192,0.0007,20.225915908813477,-0.19806921482086182,11900,11899,-16.613666534423828,0.9692230224609375,,
60000,,0.4402715861797333,,,,0.0007,8.47782039642334,0.9596352018415928,,11999,-16.62855339050293,0.9705297350883484,22.85,27.155377051763935
60000,312,,21.787295209999996,21.56,191,,,,12000,,,,,
60500,315,0.9845239520072937,21.656923810000002,21.49,191,0.0007,-7.02724027633667,0.13526856899261475,12100,12099,-16.648487091064453,0.9719721674919128,,
61000,317,16.92917823791504,21.94436861,22.27,192,0.0007,71.59222412109375,-0.23120498657226562,12200,12199,-16.651248931884766,0.972718358039856,,
61500,319,6.456256866455078,22.50584343,22.23,192,0.0007,-31.51578140258789,0.9429830275475979,12300,12299,-16.67477798461914,0.9744142293930054,,
62000,322,63.05585479736328,23.363829589999995,22.77,192,0.0007,-71.08629608154297,0.07970833778381348,12400,12399,-16.736900329589844,0.9794381856918335,,
62500,324,5.154820919036865,24.207954419999997,23.54,192,0.0007,32.15964889526367,-4.963659286499023,12500,12499,-16.711627960205078,0.9772800207138062,,
63000,326,4.572437286376953,25.269821600000004,24.61,192,0.0007,-16.43170166015625,-0.16949307918548584,12600,12599,-16.702030181884766,0.9761397242546082,,
63500,329,5.1091485023498535,23.66727183,22.96,192,0.0007,-39.507625579833984,-1.473989486694336,12700,12699,-16.690658569335938,0.9749239683151245,,
64000,331,0.8275203704833984,24.636779699999998,24.8,193,0.0007,-8.418719291687012,0.8367519825696945,12800,12799,-16.67758560180664,0.9741744995117188,,
64500,333,53.24638748168945,23.827125189999993,24.28,193,0.0007,85.89305877685547,-13.687699317932129,12900,12899,-16.70528221130371,0.9763693809509277,,
65000,,1.711029291152954,,,,0.0007,-10.726594924926758,0.6334660351276398,,12999,-16.70587921142578,0.9773030281066895,27.1,29.122035784181207
65000,337,,23.78629537,24.38,192,,,,13000,,,,,
65500,339,1.9326221942901611,22.282121319999998,23.02,192,0.0007,7.746107578277588,0.981961926445365,13100,13099,-16.727664947509766,0.978118360042572,,
66000,342,6.46572732925415,22.865958059999993,23.4,192,0.0007,39.18050003051758,-0.3557201623916626,13200,13199,-16.757856369018555,0.9810623526573181,,
66500,345,35.52543258666992,22.975479149999998,23.26,192,0.0007,-82.17985534667969,0.8495262563228607,13300,13299,-16.78516387939453,0.9831627607345581,,
67000,347,408.2427673339844,24.379988159999996,23.82,192,0.0007,-338.713134765625,0.9342837259173393,13400,13399,-16.80548095703125,0.9848713874816895,,
67500,350,185.9369354248047,25.249039230000005,24.24,192,0.0007,-179.35020446777344,0.3455917239189148,13500,13499,-16.80897331237793,0.9848850965499878,,
68000,352,3.5746593475341797,25.421903610000005,24.41,192,0.0007,31.346729278564453,0.8257931917905807,13600,13599,-16.83890151977539,0.9872338771820068,,
68500,355,7.152968883514404,25.85342633,24.2,192,0.0007,41.771480560302734,0.7166602611541748,13700,13699,-16.842361450195312,0.9877885580062866,,
69000,357,24.108261108398438,25.27804191,24.22,192,0.0007,88.97865295410156,0.6855077743530273,13800,13799,-16.80280303955078,0.9844797849655151,,
69500,360,7.486247539520264,23.324813749999997,23.53,193,0.0007,-37.42583084106445,-1.498039722442627,13900,13899,-16.82154083251953,0.9858715534210205,,
70000,,3.136265277862549,,,,0.0007,-22.270864486694336,0.4976862072944641,,13999,-16.862964630126953,0.9893207550048828,20.85,19.113373551389667
70000,363,,21.928604560000007,22.9,192,,,,14000,,,,,
70500,365,0.5778777003288269,22.03870314,24.06,192,0.0007,7.859231472015381,0.8677555620670319,14100,14099,-16.842792510986328,0.9873179197311401,,
71000,367,93.49459075927734,21.2025592,24.15,192,0.0007,157.04234313964844,-2.310584545135498,14200,14199,-16.815092086791992,0.9850705862045288,,
71500,370,3.945890426635742,21.67944106,24.91,193,0.0007,25.761213302612305,0.36363285779953003,14300,14299,-16.818403244018555,0.9850205183029175,,
72000,372,12.18289852142334,21.818940829999995,24.43,193,0.0007,-26.05048179626465,-11.990961074829102,14400,14399,-16.833900451660156,0.9866316318511963,,
72500,374,0.9656742215156555,21.421277400000005,23.53,193,0.0007,14.600015640258789,0.8494713753461838,14500,14499,-16.827314376831055,0.9861780405044556,,
73000,377,2.824514865875244,21.05288253,22.58,193,0.0007,-26.707962036132812,0.9987339025828987,14600,14599,-16.802457809448242,0.9842318296432495,,
73500,379,26.32622718811035,20.00734215,20.63,193,0.0007,-77.51280975341797,-0.26908254623413086,14700,14699,-16.76507568359375,0.9809507131576538,,
74000,381,0.42741987109184265,19.496062580000004,20.18,193,0.0007,0.7693743109703064,0.9930839026346803,14800,14799,-16.737503051757812,0.9787774085998535,,
74500,383,7.88564920425415,19.333723199999998,20.12,194,0.0007,-31.512378692626953,0.9042657017707825,14900,14899,-16.75568389892578,0.980510413646698,,
75000,,0.33619460463523865,,,,0.0007,10.414570808410645,0.9903606902807951,,14999,-16.738636016845703,0.9788711071014404,22.35,22.764834083337337
75000,387,,19.390323659999996,20.13,193,,,,15000,,,,,
75500,389,10.989348411560059,19.890393120000002,21.25,193,0.0007,52.01803207397461,-0.6083296537399292,15100,15099,-16.753782272338867,0.980219304561615,,
76000,391,0.01832260750234127,20.811801480000003,22.18,194,0.0007,1.8418956995010376,0.9985350159695372,15200,15199,-16.7557373046875,0.9802774786949158,,
76500,394,2.3145153522491455,21.124834059999998,21.99,194,0.0007,-26.275556564331055,0.6915125250816345,15300,15299,-16.734901428222656,0.9783201217651367,,
77000,396,1.3188165426254272,21.866705980000003,22.95,194,0.0007,15.50308895111084,0.8176230192184448,15400,15399,-16.726394653320312,0.977728545665741,,
77500,399,6.583299160003662,21.488557260000004,21.4,194,0.0007,-43.252872467041016,0.977406257763505,15500,15499,-16.752216339111328,0.9798901081085205,,
78000,401,0.15304145216941833,22.27972181,21.83,194,0.0007,1.2917779684066772,0.9418585039675236,15600,15599,-16.722501754760742,0.9779438376426697,,
78500,403,3.702385663986206,23.09800541,22.43,194,0.0007,-8.817902565002441,0.9582822918891907,15700,15699,-16.723241806030273,0.9777960181236267,,
79000,406,10.1826171875,22.827303509999997,22.0,194,0.0007,-52.538612365722656,0.4319493770599365,15800,15799,-16.716434478759766,0.9773432016372681,,
79500,408,2.1851117610931396,23.66667852,23.11,194,0.0007,22.145776748657227,0.9243325814604759,15900,15899,-16.695270538330078,0.9755260348320007,,
80000,,1.3040608167648315,,,,0.0007,19.481782913208008,0.9041321203112602,,15999,-16.680458068847656,0.974475085735321,21.15,21.853901861747726
80000,412,,23.141727650000004,22.75,194,,,,16000,,,,,
80500,414,1.2848329544067383,23.61617328,23.07,194,0.0007,11.866251945495605,0.2980794310569763,16100,16099,-16.64429473876953,0.9716033339500427,,
81000,416,0.6448351740837097,23.433457839999996,23.56,194,0.0007,-4.065402030944824,0.1281871795654297,16200,16199,-16.65312957763672,0.9723657369613647,,
81500,419,3.6333115100860596,22.259569770000002,23.24,194,0.0007,31.74262046813965,0.7893405705690384,16300,16299,-16.70828628540039,0.9774802923202515,,
82000,421,2.6947715282440186,22.15261779,23.0,194,0.0007,21.229694366455078,-2.214656352996826,16400,16399,-16.698352813720703,0.976717472076416,,
82500,424,4.7050886154174805,22.35336387,23.61,194,0.0007,-27.712514877319336,0.07516968250274658,16500,16499,-16.686725616455078,0.9759484529495239,,
83000,427,0.2681005895137787,21.537126470000004,23.32,194,0.0007,-4.281182765960693,0.8952575400471687,16600,16599,-16.638450622558594,0.9722337126731873,,
83500,429,1.0159329175949097,21.799474890000006,23.04,194,0.0007,13.542202949523926,0.8132530003786087,16700,16699,-16.606552124023438,0.9694849848747253,,
84000,432,47.0604133605957,22.585844459999997,23.39,194,0.0007,99.41736602783203,0.309065043926239,16800,16799,-16.619382858276367,0.9705619812011719,,
84500,434,10.739592552185059,22.506949980000005,23.02,194,0.0007,25.92559242248535,0.9104552119970322,16900,16899,-16.627988815307617,0.9708147048950195,,
85000,,3.603376865386963,,,,0.0007,-20.960269927978516,-2.689114570617676,,16999,-16.60628318786621,0.969829261302948,25.3,27.263992950459944
85000,438,,23.358618329999995,23.86,193,,,,17000,,,,,
85500,440,11.92230224609375,23.724667510000003,24.32,194,0.0007,-19.43737030029297,0.9067901894450188,17100,17099,-16.64322280883789,0.9727206230163574,,
86000,442,0.47540345788002014,24.40358397,25.05,194,0.0007,-6.803635597229004,0.8384598046541214,17200,17199,-16.65095329284668,0.973136305809021,,
86500,445,6.368913173675537,22.9784068,23.95,194,0.0007,31.71038246154785,-0.6018216609954834,17300,17299,-16.66399383544922,0.9744459986686707,,
