train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
,,190,50.0,-6.897961049999999,188,720,,,36000,,
36050,16.203756904602052,191,50.0,-6.800503249999999,188,724,0.001,0.07840039655566215,36200,,
36250,16.29345645904541,192,50.0,-6.74281586,188,728,0.001,0.06665845230221748,36400,,
36450,16.300442619323732,193,50.0,-6.756973110000001,189,732,0.001,0.06362090472131968,36600,,
36650,16.309597892761232,194,50.0,-6.838747080000001,189,736,0.001,0.06431661106646061,36800,,
36850,16.393020362854003,,,,,,0.001,0.05958752259612084,37000,-7.5000086219981315,50.0
,,196,50.0,-6.95325555,188,740,,,37000,,
37050,16.43657211303711,197,50.0,-6.85582987,188,744,0.001,0.06692395344376564,37200,,
37250,16.417732849121094,198,50.0,-6.841953669999999,188,748,0.001,0.06220482595264912,37400,,
37450,16.487105407714843,199,50.0,-6.857059330000001,188,752,0.001,0.06213749326765537,37600,,
37650,16.533777542114258,200,50.0,-6.87974466,188,756,0.001,0.06236631162464619,37800,,
37850,16.63115966796875,,,,,,0.001,0.07286874376237393,38000,-6.752597135165706,50.0
,,201,50.0,-6.980206000000001,188,760,,,38000,,
38050,16.670845336914063,202,50.0,-7.005778360000001,188,764,0.001,0.0668342451006174,38200,,
38250,16.72086227416992,203,50.0,-7.08975696,188,768,0.001,0.058014363870024684,38400,,
38450,16.709691314697267,204,50.0,-7.1583131,188,772,0.001,0.06144107453525066,38600,,
38650,16.78649467468262,205,50.0,-7.10425625,188,776,0.001,0.06128262996673584,38800,,
38850,16.823958587646484,,,,,,0.001,0.058272199630737306,39000,-7.142150107212364,50.0
,,206,50.0,-7.125933689999999,188,780,,,39000,,
39050,16.770311126708986,207,50.0,-7.09631572,188,784,0.001,0.0708067161589861,39200,,
39250,16.88284309387207,208,50.0,-7.15800516,188,788,0.001,0.06228385411202907,39400,,
39450,16.889722137451173,209,50.0,-7.03731585,188,792,0.001,0.06930870614945889,39600,,
39650,16.953970947265624,210,50.0,-7.02340289,188,796,0.001,0.06432742893695831,39800,,
39850,16.878624191284178,,,,,,0.001,0.07474937438964843,40000,-7.198232039622963,50.0
,,212,50.0,-7.053047750000001,188,800,,,40000,,
40050,17.078278045654297,212,50.0,-7.09977659,188,804,0.001,0.058264165222644805,40200,,
40250,17.07879806518555,213,50.0,-7.04649291,188,808,0.001,0.08679824329912662,40400,,
40450,17.10564743041992,214,50.0,-7.034491250000001,188,812,0.001,0.05722314409911632,40600,,
40650,17.147300872802735,215,50.0,-7.0946967500000016,188,816,0.001,0.06494924478232861,40800,,
40850,17.23938995361328,,,,,,0.001,0.06696859255433082,41000,-6.837939214706421,50.0
,,217,50.0,-7.066691530000001,188,820,,,41000,,
41050,17.224115142822267,218,50.0,-7.011363650000001,188,824,0.001,0.06488493889570236,41200,,
41250,17.27919319152832,219,50.0,-6.928293549999999,188,828,0.001,0.0591820153594017,41400,,
