time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
,850000,,,,,0.001,4.637920594215393,-23.589861106872558,849897,50.662479805387555,40.4
8282,850007,102,22984,41.05,51.079865440000006,,,,,,
8283,850149,102,22988,40.93,50.81537878000001,0.001,5.091324309508006,-23.182264222039116,850051,,
8284,850287,102,22992,40.41,49.914683579999995,0.001,4.757984307077196,-24.304792616102432,850164,,
8286,850488,102,22996,41.18,50.737099050000005,0.001,4.993916714513624,-23.078192530451595,850318,,
8288,850601,102,23000,40.15,49.281671530000004,0.001,4.516579210758209,-23.079692363739014,850504,,
8288,850705,102,23004,39.94,49.06277249,0.001,5.860869526863098,-23.05373215675354,850591,,
8290,850811,102,23008,38.87,47.73236959,0.001,4.370801840073023,-23.748546600341797,850697,,
8291,850909,102,23012,37.88,46.794774649999994,0.001,5.468548834323883,-23.090063285827636,850787,,
8292,851067,102,23016,37.7,46.630217170000016,0.001,4.917139660228383,-23.691315044056285,850914,,
8294,851205,102,23020,37.3,45.964487299999995,0.001,4.7605153181973625,-23.296717251048367,851058,,
8296,851401,102,23024,38.08,46.87898856999999,0.001,4.800082474946976,-23.313692092895508,851299,,
8297,851549,102,23028,37.65,46.05330256000001,0.001,4.523223527272543,-24.135990381240845,851386,,
8298,851645,102,23032,37.69,46.302679559999994,0.001,5.664370122163192,-22.964426560835406,851525,,
8300,851793,102,23036,38.17,46.820331530000004,0.001,4.443945284242983,-23.713696888514928,851672,,
8302,851976,102,23040,38.76,48.32046515,0.001,5.19511230633809,-23.39195104745718,851877,,
8304,852154,102,23044,38.99,48.31442441,0.001,4.723234019189511,-23.06005816989475,852030,,
8305,852330,102,23048,39.09,48.84670612000001,0.001,4.904759160933956,-23.063284810384115,852181,,
8307,852485,102,23052,39.12,48.75571604000001,0.001,5.132169896364212,-23.51850357055664,852351,,
8308,852621,102,23056,38.46,47.79436449000001,0.001,5.410196787118911,-22.94154052734375,852518,,
8309,852760,102,23060,37.25,45.49580886999999,0.001,5.00873695479499,-23.06654675801595,852616,,
8311,852874,102,23064,36.56,43.913446910000005,0.001,4.979865864703529,-23.301157633463543,852771,,
8312,853000,102,23068,36.56,43.81703216000001,0.001,4.7388148145242175,-23.09261278672652,852883,,
8313,853097,102,23072,35.73,42.11978038,0.001,4.859552228772962,-23.045487654836553,852988,,
8314,853267,102,23076,35.58,41.6946457,0.001,4.76288353524557,-23.31103582382202,853149,,
8315,853393,102,23080,35.33,41.56697551,0.001,4.764802746150805,-22.83258295059204,853292,,
8317,853609,102,23084,36.02,42.74447777,0.001,4.671278572082519,-23.713187081473215,853493,,
8319,853792,102,23088,36.43,43.17978627,0.001,4.78586563756389,-23.364725789716168,853677,,
8320,853933,102,23092,36.46,43.22696771999999,0.001,4.718314756046642,-23.37465524673462,853803,,
8322,854077,102,23096,35.89,42.37474107999999,0.001,4.971826903025309,-23.474491755167644,853977,,
8322,854163,102,23100,35.62,42.1105073,0.001,4.962969161570072,-23.32033085823059,854062,,
8323,854274,102,23104,35.69,42.15085115,0.001,4.6102050389999,-23.52807657342208,854165,,
8325,854401,102,23108,35.9,42.49045871000001,0.001,5.4366782253438775,-23.443462458523836,854300,,
8326,854599,102,23112,36.9,43.64401709000001,0.001,5.171266414902427,-23.187558087435637,854496,,
8328,854744,102,23116,36.77,43.395921130000005,0.001,4.831850312650204,-23.43438684940338,854644,,
8329,854931,102,23120,37.26,44.060256869999996,0.001,5.050841569900513,-23.310041774402965,854794,,
,855000,,,,,0.001,5.18717396454733,-23.70230223337809,854911,52.87771164695732,39.75
8332,855079,102,23124,36.78,43.94052656000001,0.001,4.585984771901911,-22.803631869229402,854971,,
8333,855197,102,23128,36.48,43.270769220000005,0.001,4.272281721234322,-23.395182728767395,855095,,
8336,855465,102,23132,38.2,45.187276489999995,0.001,4.324755158027013,-23.03259105682373,855309,,
8337,855556,102,23136,37.63,44.54907295000001,0.001,5.448846215787142,-23.3317532972856,855449,,
8338,855640,102,23140,36.64,42.72692477,0.001,4.17147071659565,-23.894060134887695,855542,,
8339,855782,102,23144,36.28,42.09922866000001,0.001,5.008391346250262,-23.62004280090332,855661,,
8341,855953,102,23148,36.23,42.03327355000001,0.001,4.873088002204895,-23.136939525604248,855844,,
8342,856117,102,23152,36.32,42.65913224,0.001,5.088715377606843,-23.858407974243164,855997,,
8344,856305,102,23156,36.84,43.735375090000005,0.001,4.711365215706103,-23.003677079171844,856150,,
8347,856517,102,23160,37.57,44.47036929000001,0.001,5.000936558080274,-23.386634479869496,856416,,
8349,856680,102,23164,38.06,45.30734627000001,0.001,5.052755049296787,-23.62455634066933,856563,,
8351,856843,102,23168,38.43,45.915082080000005,0.001,4.547138949802943,-23.485639572143555,856731,,
8353,857036,102,23172,39.39,47.22253167000001,0.001,4.59308159828186,-23.66722312927246,856897,,
8354,857171,102,23176,39.04,46.974626990000004,0.001,5.070942457332167,-23.143119205128063,857070,,
8356,857408,102,23180,40.15,48.52284765,0.001,5.047032296078877,-23.337297182816727,857262,,
8357,857527,102,23184,39.18,47.33142197000001,0.001,5.702305065260993,-23.41206826104058,857407,,
8358,857622,102,23188,38.3,46.173607430000004,0.001,5.2348391101473855,-24.105866345492277,857510,,
8360,857767,102,23192,38.34,46.06610100999999,0.001,3.9653165141741433,-22.949384133021038,857650,,
8361,857938,102,23196,38.61,46.499290110000004,0.001,5.152384698390961,-22.8734466764662,857837,,
8362,858056,102,23200,38.93,46.77757797000001,0.001,5.795065380278087,-23.340852737426758,857928,,
8364,858172,102,23204,38.98,46.80523529000001,0.001,4.855295562744141,-23.686823177337647,858071,,
8365,858365,102,23208,39.64,47.712269649999996,0.001,5.510562782046161,-23.36817870140076,858260,,
8366,858487,102,23212,38.88,46.89362902999999,0.001,5.114051241623728,-22.60988292694092,858364,,
8368,858666,102,23216,39.22,47.48132343000001,0.001,4.872065547185066,-23.700522153805462,858519,,
8369,858824,102,23220,38.93,46.905683720000006,0.001,5.127141851537368,-23.18590341295515,858717,,
8370,858947,102,23224,38.68,46.11963586000001,0.001,4.819523348527796,-23.10877508275649,858815,,
8372,859099,102,23228,39.02,47.195096080000006,0.001,5.360169773516447,-23.680415240201082,858981,,
8373,859242,102,23232,37.77,45.83526180999999,0.001,5.387113671553762,-23.43029318915473,859097,,
8374,859344,102,23236,37.88,45.85392626,0.001,4.81362321972847,-23.369174242019653,859242,,
8376,859509,102,23240,38.69,46.94221469,0.001,4.385384431252112,-23.513300609588622,859396,,
8377,859635,102,23244,38.53,46.68533394,0.001,5.004996061325073,-23.322980880737305,859516,,
8378,859856,102,23248,39.03,46.76283880000001,0.001,4.722098050117492,-23.792211380004883,859680,,
8380,859975,102,23252,38.58,45.68441869,0.001,4.252303419113159,-23.765415338369515,859858,,
,860000,,,,,0.001,5.2689034518073585,-23.547927379608154,859911,47.71109668835997,40.45
8382,860093,102,23256,37.88,44.06317813999999,0.001,4.758097830940695,-24.13720554775662,859970,,
8383,860223,102,23260,37.06,43.56197053000001,0.001,4.911907156308492,-23.75664414299859,860118,,
8385,860333,102,23264,36.53,42.62548566,0.001,4.789098048210144,-24.481139755249025,860229,,
8387,860601,102,23268,37.58,44.72161805,0.001,5.06117840960056,-23.434069413405197,860491,,
8388,860767,102,23272,37.31,44.21081517,0.001,5.0609456159300725,-23.705745762792127,860637,,
8391,861050,102,23276,38.79,46.96824012,0.001,5.300384118639189,-23.6726403790851,860917,,
8393,861226,102,23280,38.18,45.94849611000001,0.001,5.24445952610536,-23.212648391723633,861094,,
8394,861365,102,23284,38.38,46.06264145000001,0.001,4.977419621414608,-23.70003053877089,861237,,
8395,861498,102,23288,38.76,46.47650685999999,0.001,4.7530169871545604,-23.32696521282196,861378,,
8397,861639,102,23292,38.72,46.54484936,0.001,5.376032556806292,-23.44395950317383,861526,,
8398,861738,102,23296,38.0,45.551792299999995,0.001,5.122489162853786,-23.235516956874303,861618,,
8399,861844,102,23300,37.88,45.27879335000001,0.001,5.172559468642525,-23.50608947060325,861747,,
8400,861968,102,23304,37.96,45.504396500000006,0.001,5.4493316456123635,-23.313640458243235,861856,,
8401,862060,102,23308,36.95,44.19824135000001,0.001,4.692712138680851,-23.439756870269775,861947,,
8402,862194,102,23312,37.07,44.429768300000006,0.001,4.944887661933899,-23.376115608215333,862058,,
8404,862390,102,23316,37.24,44.84557312000001,0.001,4.73809551341193,-23.595371110098704,862290,,
