time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,,0.001,,275000,-71.91541149902343,274447,,0.13273384365066887,945.7732589781284,1000.0
288,1000.0,144,0.001,1933,278502,-71.91528256225585,277447,940.4072085999999,0.12915128960087896,,
,,,0.001,,280000,-71.93171720886231,279447,,0.11600343690812588,948.8330622345209,1000.0
292,1000.0,144,0.001,1961,282502,-71.94300288391113,281447,941.3395886800001,0.12663685563206672,,
,,,0.001,,285000,-71.9185577392578,284447,,0.1286301756389439,957.8122311204672,1000.0
296,1000.0,143,0.001,1990,286502,-71.96479753112793,285447,942.72535267,0.12765183949284256,,
,,,0.001,,290000,-72.07344114685058,289447,,0.10240189382806421,968.8980036854744,1000.0
300,1000.0,143,,2018,290502,,,942.2292774800002,,,
304,1000.0,144,0.001,2039,294502,-72.06517758178711,293447,941.9933321999998,0.12889237001538276,,
,,,0.001,,295000,-72.06561474609374,294447,,0.13003336676582694,971.0344291329384,1000.0
308,1000.0,144,0.001,2069,298502,-72.14078610229492,297447,942.4419194799999,0.10949351162090898,,
,,,0.001,,300000,-72.13423867797852,299447,,0.12709741930477322,971.1711856365204,1000.0
312,1000.0,144,0.001,2100,302502,-72.28338171386719,301447,942.5001424700001,0.09425992131978274,,
,,,0.001,,305000,-72.2500110168457,304447,,0.10271458336897195,972.4463945925236,1000.0
316,1000.0,143,0.001,2131,306502,-72.29700476074218,305447,944.2349788700002,0.10766087803989649,,
,,,0.001,,310000,-72.48228843688965,309447,,0.09729345071688295,958.7231399267912,1000.0
320,1000.0,143,,2160,310502,,,945.67887729,,,
324,1000.0,144,0.001,2183,314502,-72.60710316467285,313447,945.4728935799999,0.1062428226172924,,
,,,0.001,,315000,-72.59673602294922,314447,,0.13271243186295031,980.741148635745,1000.0
328,1000.0,143,0.001,2214,318502,-72.67969645690918,317447,946.2617531100001,0.12103725077211856,,
,,,0.001,,320000,-72.65022308349609,319447,,0.1039501348733902,938.092363679409,1000.0
332,1000.0,143,0.001,2246,322502,-72.71571517944336,321447,946.51766885,0.10416899387538434,,
,,,0.001,,325000,-72.79327301025391,324447,,0.1291157545670867,941.599835472554,1000.0
336,1000.0,143,0.001,2276,326502,-72.80742562866212,325447,947.13327121,0.11915378523617982,,
,,,0.001,,330000,-72.8637645111084,329447,,0.11677714461833238,961.8899836301804,1000.0
340,1000.0,143,,2305,330502,,,948.4230006399998,,,
344,1000.0,143,0.001,2327,334502,-72.85754049682618,333447,949.61496239,0.10005264247395099,,
,,,0.001,,335000,-72.85518980407714,334447,,0.12678318413347006,957.1385513365269,1000.0
348,1000.0,143,0.001,2356,338502,-72.8390959777832,337447,950.48796241,0.1294689799696207,,
,,,0.001,,340000,-72.82359434509277,339447,,0.12656640531122684,965.5367309781723,1000.0
352,1000.0,143,0.001,2385,342502,-72.83222677612305,341447,952.5637002500001,0.1215735627375543,,
,,,0.001,,345000,-72.82249694824219,344447,,0.1107342755496502,965.9882957428694,1000.0
356,1000.0,143,0.001,2414,346502,-72.82634844970703,345447,953.2155370699999,0.1268189070224762,,
,,,0.001,,350000,-72.93080986022949,349447,,0.12406338883563876,968.0067485630512,1000.0
360,1000.0,143,,2443,350502,,,953.4336641200002,,,
364,1000.0,143,0.001,2466,354502,-73.02285525512696,353447,952.54921014,0.1552746492307633,,
,,,0.001,,355000,-73.06260806274415,354447,,0.16085788790881633,903.0598973624408,1000.0
368,1000.0,143,0.001,2498,358502,-73.06208335876465,357447,952.3184142799998,0.21580806820839643,,
,,,0.001,,360000,-73.42564234924316,359447,,0.48156413616612553,945.3290816023946,1000.0
372,1000.0,143,0.001,2527,362502,-73.58155220031739,361447,948.55105413,0.9813983741104603,,
,,,0.001,,365000,-73.02291960144044,364447,,1.0791193708777427,860.0055314987898,1000.0
376,1000.0,143,0.001,2557,366502,-73.11361317443847,365447,926.6284715899998,1.1313484816253185,,
,,,0.001,,370000,-72.24454853820801,369447,,0.6136592043340207,767.7654895357788,1000.0
380,1000.0,143,,2587,370502,,,915.67163634,,,
