time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
85,174080,1405,1000.0,71189.96526177,123,0.8973486423492432,0.2,0.02857497,0.27041015625,840,-0.06868101156724152,665572.6875,0.0003,-1.1920928955078125e-07,1420704.471875,-22.268469280004503,,
,175000,,,,,0.8966472148895264,0.2,0.04066387,0.344677734375,850,-0.08694864581339061,570472.25,0.0003,0.0001214146614074707,1209325.9841796875,-22.259184145927428,1000.0,62073.11010494232
86,176128,1439,1000.0,71179.51705751,122,,,,,,,,,,,,,
87,178176,1444,1000.0,71193.97510876,123,0.8949293494224548,0.2,0.0378462,0.335986328125,860,-0.08358057340374217,576447.625,0.0003,4.76837158203125e-06,1168343.283984375,-22.230265665054322,,
,180000,,,,,0.8936002254486084,0.2,0.035475943,0.30478515625,870,-0.07000982496247161,643847.1875,0.0003,0.0,1287933.591015625,-22.20461838245392,1000.0,61924.32179279327
88,180224,1477,1000.0,71390.6073389,122,,,,,,,,,,,,,
89,182272,1481,1000.0,71358.49091183,123,0.8922075033187866,0.2,0.036670506,0.290625,880,-0.07755021750344895,645603.0,0.0003,-5.078315734863281e-05,1278563.881640625,-22.177046024799346,,
90,184320,1486,1000.0,71401.44763343,124,0.8896970152854919,0.2,0.035861626,0.333056640625,890,-0.07937727636890486,539531.75,0.0003,5.364418029785156e-06,1100228.56484375,-22.13914610147476,,
,185000,,,,,0.8897157311439514,0.2,0.04039313,0.3388671875,900,-0.08441861965111457,578819.0,0.0003,0.00022274255752563477,1149385.4458984374,-22.1160967707634,1000.0,62313.90974369049
91,186368,1519,1000.0,71553.37814662998,122,,,,,,,,,,,,,
92,188416,1524,1000.0,71447.64444634998,123,0.8893961310386658,0.2,0.030018277,0.276953125,910,-0.07307474421395455,662364.8125,0.0003,8.702278137207031e-06,1343287.587890625,-22.115092366933823,,
,190000,,,,,0.8902093768119812,0.2,0.04669645,0.374072265625,920,-0.08658029816579074,622392.1875,0.0003,0.00010609626770019531,1015898.668359375,-22.120703560113906,1000.0,62533.71527519226
93,190464,1556,1000.0,71600.53037837,122,,,,,,,,,,,,,
94,192512,1561,1000.0,71729.44734581,123,0.8881973028182983,0.2,0.035869606,0.299755859375,930,-0.07646066303714179,805569.625,0.0003,2.980232238769531e-07,1541442.778515625,-22.105057644844056,,
95,194560,1565,1000.0,71850.0004504,124,0.8866077065467834,0.2,0.036205903,0.308056640625,940,-0.07672201624955051,672128.75,0.0003,8.344650268554688e-07,1356508.234765625,-22.07172409892082,,
,195000,,,,,0.8862962126731873,0.2,0.039247,0.33388671875,950,-0.08995392869692295,734914.0,0.0003,0.001140892505645752,1430666.241015625,-22.05257095694542,1000.0,62432.987468910214
96,196608,1598,1000.0,71925.81024892999,123,,,,,,,,,,,,,
97,198656,1602,1000.0,71972.43035126,123,0.8869964480400085,0.2,0.037570972,0.328759765625,960,-0.08209868955309503,671991.875,0.0003,1.1920928955078125e-07,1329445.309375,-22.060636085271835,,
,200000,,,,,0.8866230249404907,0.2,0.03795939,0.3162109375,970,-0.0752443288336508,662750.3125,0.0003,8.165836334228516e-06,1327490.285546875,-22.05829146504402,1000.0,63339.793593215945
98,200704,1634,1000.0,71951.69932699,122,,,,,,,,,,,,,
99,202752,1639,1000.0,72256.94571436,123,0.8860847353935242,0.2,0.039848614,0.308642578125,980,-0.07270188633119687,612980.9375,0.0003,5.036592483520508e-05,1267088.329296875,-22.04817846417427,,
100,204800,1643,1000.0,72468.38579877,124,0.8840110301971436,0.2,0.0428394,0.327392578125,990,-0.07606062203412875,609415.0,0.0003,5.960464477539062e-07,1258929.02578125,-22.026775711774825,,
,205000,,,,,0.8843477964401245,0.2,0.04195676,0.318017578125,1000,-0.06542413859278895,675471.25,0.0003,-9.5367431640625e-06,1202128.4078125,-22.01582652926445,1000.0,63541.07917289734
101,206848,1676,1000.0,72344.08090539,123,,,,,,,,,,,,,
102,208896,1681,1000.0,72522.81642002001,124,0.8826227188110352,0.2,0.03882783,0.33798828125,1010,-0.0777229609200731,622295.75,0.0003,-2.384185791015625e-07,1231612.90625,-21.997119998931886,,
,210000,,,,,0.8806453347206116,0.2,0.039992698,0.316552734375,1020,-0.07655032431939617,719769.0,0.0003,-3.5762786865234375e-07,1490256.933984375,-21.9626757979393,1000.0,65254.71591033936
103,210944,1715,1000.0,72675.68125180999,122,,,,,,,,,,,,,
104,212992,1719,1000.0,72678.776153,123,0.8790268898010254,0.2,0.0391453,0.302294921875,1030,-0.0664956571708899,627584.5625,0.0003,1.1920928955078125e-07,1304031.917578125,-21.926140242815016,,
,215000,,,,,0.8788949251174927,0.2,0.038960524,0.32763671875,1040,-0.08045294167823158,702730.5,0.0003,1.2516975402832031e-06,1285681.560546875,-21.91230912208557,1000.0,68439.4520210266
105,215040,1753,1000.0,72859.15218801,122,,,,,,,,,,,,,
106,217088,1758,1000.0,72820.28415147,123,0.8780619502067566,0.2,0.047735646,0.34423828125,1050,-0.08711454867734574,855688.125,0.0003,2.980232238769531e-07,1627238.541796875,-21.897747802734376,,
107,219136,1762,1000.0,72850.61407719001,124,0.8765305280685425,0.2,0.03998265,0.324755859375,1060,-0.07652872280450537,660121.625,0.0003,2.980232238769531e-07,1314131.580078125,-21.877540975809097,,
,220000,,,,,0.8765856623649597,0.2,0.043682195,0.341552734375,1070,-0.07642308320355369,713558.0,0.0003,4.76837158203125e-07,1379927.24296875,-21.861559289693833,1000.0,66023.43779411315
108,221184,1795,1000.0,72897.84347791,123,,,,,,,,,,,,,
109,223232,1800,1000.0,73078.16690068,123,0.876162588596344,0.2,0.042519838,0.335791015625,1080,-0.07950417960237247,727886.9375,0.0003,0.0,1425698.322265625,-21.857150310277937,,
,225000,,,,,0.8742204308509827,0.2,0.049951166,0.38662109375,1090,-0.08995785655570217,607220.25,0.0003,4.76837158203125e-07,1166159.875390625,-21.833317005634306,1000.0,71122.36265983581
110,225280,1833,1000.0,73193.21534619,122,,,,,,,,,,,,,
111,227328,1837,1000.0,73235.25369371,123,0.8729198575019836,0.2,0.039388716,0.33095703125,1100,-0.07224109721428248,716782.1875,0.0003,0.0,1423252.856640625,-21.801201701164246,,
112,229376,1842,1000.0,73200.93114351001,124,0.8720343112945557,0.2,0.044743564,0.364501953125,1110,-0.0802559689967893,596328.0,0.0003,4.76837158203125e-07,1200978.85546875,-21.781823772192002,,
,230000,,,,,0.8706184029579163,0.2,0.04871489,0.3666015625,1120,-0.0805356494471198,662253.625,0.0003,1.1920928955078125e-07,1380312.873828125,-21.759898245334625,1000.0,88295.89445209503
113,231424,1876,1000.0,73422.52941935002,123,,,,,,,,,,,,,
114,233472,1881,1000.0,73344.79702005,124,0.8706492185592651,0.2,0.0454137,0.363232421875,1130,-0.0749774729105411,586986.75,0.0003,2.9802322387695312e-06,1203611.7056640624,-21.745672804117202,,
,235000,,,,,0.8702049255371094,0.2,0.047165032,0.371435546875,1140,-0.08346815994882491,622042.875,0.0003,1.7881393432617188e-06,1229238.5388671875,-21.7440864443779,1000.0,87770.33447189331
115,235520,1914,1000.0,73466.03925232,123,,,,,,,,,,,,,
116,237568,1919,1000.0,73520.2432837,123,0.8694277405738831,0.2,0.045581788,0.362939453125,1150,-0.08359656542015728,602738.5,0.0003,-1.6689300537109375e-06,1144607.1998046874,-21.738121861219405,,
117,239616,1924,1000.0,73599.91429138,124,0.8671189546585083,0.2,0.046833914,0.352197265625,1160,-0.08054978467553156,737653.4375,0.0003,-1.4066696166992188e-05,1380502.128125,-21.693829423189165,,
