time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
568,176,3.64,2059,11,22.244789949999994,1959,3.3177274465560913,0.001,-10.981449127197266,,
572,176,3.65,2073,11,22.330570850000004,1974,3.219062089920044,0.001,-10.692367553710938,,
576,176,3.67,2088,11,22.4973958,1988,2.8742937445640564,0.001,-10.905391216278076,,
580,176,3.66,2101,11,22.411898710000006,2001,3.3414305051167807,0.001,-10.626215934753418,,
584,175,3.66,2116,12,22.411796160000005,2016,2.7372060418128967,0.001,-11.490310192108154,,
588,175,3.64,2128,12,22.247076019999998,2029,3.2426848808924356,0.001,-10.634133338928223,,
592,175,3.61,2141,12,21.994098569999995,2042,3.776799201965332,0.001,-10.342774868011475,,
596,175,3.59,2154,12,21.828041110000004,2055,2.2035478949546814,0.001,-10.504195213317871,,
600,175,3.58,2167,12,21.746138270000003,2068,3.591651360193888,0.001,-10.452278137207031,,
604,175,3.58,2181,12,21.7431933,2082,2.78877192735672,0.001,-10.01449728012085,,
608,175,3.57,2195,12,21.659004929999995,2096,3.150291621685028,0.001,-10.462295055389404,,
612,175,3.55,2208,12,21.492500489999998,2108,4.278361002604167,0.001,-10.057879447937012,,
616,175,3.56,2224,12,21.573984159999995,2124,2.770289957523346,0.001,-11.064541816711426,,
620,175,3.56,2239,12,21.573108889999993,2139,3.9240534901618958,0.001,-10.153257846832275,,
624,175,3.57,2253,12,21.656680129999998,2153,5.153201738993327,0.001,-10.020929336547852,,
628,175,3.56,2266,12,21.577121099999996,2167,3.3206580877304077,0.001,-10.199432849884033,,
632,175,3.55,2281,12,21.492774339999997,2181,3.009955803553263,0.001,-11.886116027832031,,
636,175,3.54,2296,13,21.411648749999998,2197,3.1822381615638733,0.001,-10.638604640960693,,
640,175,3.53,2309,13,21.328141040000002,2209,2.8851077556610107,0.001,-10.712061882019043,,
644,174,3.54,2324,13,21.410843379999992,2225,3.0479392409324646,0.001,-9.950007438659668,,
648,174,3.53,2337,13,21.32710728,2237,3.019615411758423,0.001,-9.973594665527344,,
652,174,3.51,2351,13,21.1593412,2251,2.62920606136322,0.001,-10.581664085388184,,
656,174,3.5,2364,13,21.07532625,2264,3.047008673350016,0.001,-12.424998760223389,,
660,173,3.5,2378,13,21.074649739999998,2278,3.183166186014811,0.001,-10.763100147247314,,
664,173,3.49,2392,13,20.991348509999998,2293,3.057699143886566,0.001,-11.692186832427979,,
668,173,3.49,2408,13,20.988413189999996,2308,3.0553805828094482,0.001,-10.567411422729492,,
672,173,3.49,2422,13,20.98791155,2323,2.9906575083732605,0.001,-9.61039686203003,,
676,173,3.48,2436,14,20.907850729999996,2336,2.4196232159932456,0.001,-11.874862670898438,,
680,173,3.48,2449,14,20.906955369999995,2350,3.3057485818862915,0.001,-11.09843397140503,,
684,173,3.46,2462,14,20.73827126,2363,3.2794708410898843,0.001,-10.646767616271973,,
688,173,3.48,2476,14,20.904745249999998,2376,3.017149051030477,0.001,-9.48361587524414,,
692,173,3.5,2491,14,21.072754819999997,2391,2.984463393688202,0.001,-9.74756669998169,,
696,173,3.51,2505,14,21.15495892,2405,3.087863028049469,0.001,-11.326534748077393,,
700,174,3.52,2519,14,21.23669976,2419,3.669519305229187,0.001,-11.281096935272217,,
704,174,3.53,2534,14,21.32243452,2434,3.0129247307777405,0.001,-11.096313953399658,,
708,174,3.52,2547,14,21.23754712,2447,2.5981411933898926,0.001,-10.527685165405273,,
712,174,3.54,2562,14,21.405852969999998,2462,3.3482499718666077,0.001,-9.860905647277832,,
716,174,3.54,2578,14,21.407017299999996,2478,3.1144855618476868,0.001,-10.702587604522705,,
720,174,3.54,2593,14,21.410741480000002,2493,2.6687819361686707,0.001,-11.060858726501465,,
724,174,3.54,2607,14,21.408657289999997,2507,3.5161867141723633,0.001,-10.640847206115723,,
728,174,3.55,2621,15,21.489293120000003,2521,2.9055140018463135,0.001,-10.01235580444336,,
732,174,3.54,2635,15,21.40516823,2535,3.04153174161911,0.001,-10.442884922027588,,
736,174,3.51,2647,15,21.151765819999994,2548,3.727562745412191,0.001,-12.511871337890625,,
740,174,3.51,2660,15,21.15190075,2561,3.871359427769979,0.001,-10.775168418884277,,
744,174,3.5,2674,15,21.06775695,2575,3.090057849884033,0.001,-11.000038623809814,,
748,174,3.51,2688,15,21.15135553,2588,3.2191404700279236,0.001,-10.59536075592041,,
752,174,3.51,2702,15,21.1512712,2602,2.9579267501831055,0.001,-11.842247486114502,,
756,174,3.53,2717,15,21.31770396,2617,2.485942840576172,0.001,-11.190564155578613,,
760,174,3.54,2732,15,21.400951239999998,2633,3.6114046573638916,0.001,-10.611374855041504,,
764,174,3.55,2747,15,21.487751969999998,2648,2.7763074040412903,0.001,-12.1729416847229,,
768,174,3.52,2760,15,21.2386986,2661,2.38417911529541,0.001,-9.482070922851562,,
772,174,3.51,2773,15,21.155400760000003,2674,3.402332623799642,0.001,-11.354269981384277,,
776,174,3.5,2786,15,21.069224959999996,2686,3.276137351989746,0.001,-11.20644235610962,,
780,174,3.52,2801,16,21.240909110000008,2701,3.049954096476237,0.001,-10.350785255432129,,
784,174,3.55,2817,16,21.493085419999996,2717,2.7453476190567017,0.001,-10.306694507598877,,
788,174,3.55,2831,16,21.49333428,2732,3.774710178375244,0.001,-11.397782802581787,,
792,174,3.53,2844,16,21.323388330000004,2745,2.752485901117325,0.001,-10.61457633972168,,
796,174,3.54,2859,16,21.40614909,2760,3.4504515528678894,0.001,-11.867821216583252,,
800,174,3.53,2872,16,21.32260714,2773,3.499106248219808,0.001,-10.662074089050293,,
804,174,3.53,2887,16,21.32355388,2787,2.729521870613098,0.001,-11.737975597381592,,
808,174,3.54,2901,16,21.410449500000006,2802,3.4519028067588806,0.001,-10.956939697265625,,
812,174,3.53,2915,16,21.32500082,2815,1.8509857654571533,0.001,-10.451886653900146,,
816,174,3.52,2930,16,21.24022221,2830,2.730849117040634,0.001,-9.543837070465088,,
820,174,3.51,2944,16,21.15536413,2844,2.6111989617347717,0.001,-10.876730918884277,,
824,174,3.53,2960,16,21.321814449999998,2860,2.3584651052951813,0.001,-10.558695793151855,,
828,174,3.54,2975,17,21.40674314,2875,3.0358203252156577,0.001,-9.198661804199219,,
832,174,3.53,2988,17,21.324250920000004,2888,4.069098472595215,0.001,-10.036362171173096,,
,,,3000,,,2903,2.56402850151062,0.001,-10.621778964996338,3.5,21.106485509872435
836,174,3.56,3003,17,21.576290909999997,,,,,,
840,174,3.57,3017,17,21.65902712,2918,3.081942359606425,0.001,-10.31151819229126,,
844,174,3.56,3030,17,21.577130509999993,2930,3.16190242767334,0.001,-10.288534164428711,,
848,174,3.56,3044,17,21.576839030000002,2945,2.9475555419921875,0.001,-10.953666687011719,,
852,174,3.56,3058,17,21.57777501,2959,2.980898459752401,0.001,-10.661438941955566,,
856,174,3.56,3073,17,21.577690439999998,2973,1.9212817748387654,0.001,-11.0874662399292,,
860,174,3.56,3088,17,21.578834099999998,2988,2.6909135580062866,0.001,-10.17066240310669,,
864,174,3.56,3103,17,21.57697631,3003,2.901089668273926,0.001,-10.565187931060791,,
868,174,3.58,3118,17,21.74055609,3019,3.1955320239067078,0.001,-10.188230991363525,,
872,174,3.6,3133,17,21.904735730000002,3034,2.70268052816391,0.001,-11.846054077148438,,
876,174,3.63,3149,18,22.157193849999995,3049,2.4340359568595886,0.001,-9.580662727355957,,
880,174,3.62,3163,18,22.07122216,3064,2.366965115070343,0.001,-11.026902198791504,,
884,174,3.61,3178,18,21.986138540000006,3079,2.6121633648872375,0.001,-9.268325328826904,,
888,174,3.61,3192,18,21.986947760000003,3093,2.680954396724701,0.001,-10.679279804229736,,
892,174,3.62,3206,18,22.073214670000002,3106,4.477690696716309,0.001,-9.369283199310303,,
896,174,3.6,3219,18,21.90614115,3120,3.1560563246409097,0.001,-11.474820613861084,,
900,174,3.6,3232,18,21.90432305,3133,2.1015274922053018,0.001,-10.335119247436523,,
904,174,3.57,3244,18,21.65335242,3145,2.4551711877187095,0.001,-8.718419075012207,,
908,174,3.57,3258,18,21.650574719999998,3158,1.9174624383449554,0.001,-9.565989017486572,,
912,174,3.58,3273,18,21.736020550000003,3173,1.8619184494018555,0.001,-10.254777908325195,,
916,174,3.57,3287,18,21.651908,3188,2.3160400390625,0.001,-10.26459264755249,,
920,174,3.57,3301,18,21.65012371,3201,2.18434339761734,0.001,-11.40817928314209,,
924,174,3.54,3314,18,21.40130551,3215,2.1761518120765686,0.001,-10.070757865905762,,
928,174,3.52,3327,19,21.23694755,3227,2.7259651025136313,0.001,-11.581298828125,,
932,174,3.52,3340,19,21.23720918,3241,2.6319475173950195,0.001,-10.63309097290039,,
936,174,3.51,3354,19,21.152809,3254,2.2451210816701255,0.001,-11.168903350830078,,
940,174,3.52,3369,19,21.235830149999998,3269,1.935493141412735,0.001,-10.45529317855835,,
944,174,3.53,3383,19,21.31800893,3283,2.4087331295013428,0.001,-11.876241683959961,,
948,174,3.52,3396,19,21.2330653,3297,1.9009912610054016,0.001,-10.90833568572998,,
952,175,3.53,3411,19,21.314003730000003,3312,2.098314017057419,0.001,-10.169849872589111,,
