time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
120,15796,1898080,126536,15.0,70.90532302000001,0.005401113380988439,-35.1012875693185,0.001,1897967,,
120,15796,1898140,126540,15.0,70.90979458,0.00571181137735645,-34.76808547973633,0.001,1898027,,
120,15796,1898200,126544,15.0,70.91229086,0.007861152105033398,-36.35023498535156,0.001,1898087,,
120,15797,1898260,126548,15.0,70.91387919,0.006562941924979289,-36.858167375837056,0.001,1898147,,
120,15797,1898320,126552,15.0,70.91978351,0.00827636659766237,-35.212314060756135,0.001,1898207,,
120,15797,1898380,126556,15.0,70.92249473,0.007388783991336823,-36.30929183959961,0.001,1898267,,
120,15798,1898440,126560,15.0,70.92415453,0.009419222207119068,-35.76823915754046,0.001,1898327,,
120,15798,1898500,126564,15.0,70.92337669,0.007863220882912476,-36.762334551130024,0.001,1898387,,
120,15798,1898560,126568,15.0,70.93398231,0.007052094551424185,-36.27379172188895,0.001,1898447,,
120,15799,1898620,126572,15.0,70.93200662,0.007986519516756137,-36.397591727120535,0.001,1898507,,
120,15799,1898680,126576,15.0,70.93428519999999,0.00782073096682628,-36.57582582746233,0.001,1898567,,
120,15799,1898740,126580,15.0,70.93148784,0.00966692737614115,-34.6720346723284,0.001,1898627,,
120,15800,1898800,126584,15.0,70.92470684,0.005058948090299964,-35.263801029750276,0.001,1898687,,
120,15800,1898860,126588,15.0,70.91893223,0.007227673009037971,-35.571709224155974,0.001,1898747,,
120,15800,1898920,126592,15.0,70.92080754,0.00818137393022577,-36.37786102294922,0.001,1898807,,
120,15801,1898980,126596,15.0,70.92524381,0.006060448878755172,-35.926025935581755,0.001,1898867,,
120,15801,1899040,126600,15.0,70.92295979,0.006760115083307028,-36.77446855817522,0.001,1898927,,
120,15801,1899100,126604,15.0,70.91866200000001,0.006096191176523765,-35.627450125558035,0.001,1898987,,
120,15801,1899160,126608,15.0,70.92471587000001,0.007835665624588728,-36.10937227521624,0.001,1899047,,
120,15802,1899220,126612,15.0,70.91938974,0.006517728418111801,-34.324663979666575,0.001,1899107,,
120,15802,1899280,126616,15.0,70.92074722000001,0.006401668737332026,-36.04526138305664,0.001,1899167,,
120,15802,1899340,126620,15.0,70.9269939,0.013750027244289717,-37.50456728254046,0.001,1899227,,
120,15803,1899400,126624,15.0,70.92924654000001,0.006401394959539175,-35.600428444998606,0.001,1899287,,
120,15803,1899460,126628,15.0,70.92799928,0.006003905398150285,-34.29819761003767,0.001,1899347,,
120,15803,1899520,126632,15.0,70.92460323,0.008586261607706546,-36.34079360961914,0.001,1899407,,
120,15804,1899580,126636,15.0,70.92225839999999,0.009789922336737315,-36.67294257027762,0.001,1899467,,
120,15804,1899640,126640,15.0,70.92342560000002,0.008101004268974065,-36.276698521205354,0.001,1899527,,
120,15804,1899700,126644,15.0,70.91877341,0.0061983386675516765,-35.55621119907924,0.001,1899587,,
120,15805,1899760,126648,15.0,70.9192082,0.008151181445767482,-36.05468913487026,0.001,1899647,,
120,15805,1899820,126652,15.0,70.91262711,0.007518275501206517,-35.8157228742327,0.001,1899707,,
120,15805,1899880,126656,15.0,70.91051431,0.007268889046584567,-35.8224252973284,0.001,1899767,,
120,15806,1899940,126660,15.0,70.91572360000002,0.006503962182129423,-34.50171143668039,0.001,1899827,,
,,1900000,,,,0.0077966128786404925,-36.81143733433315,0.001,1899887,70.9195273399353,15.0
120,15806,1900000,126664,15.0,70.91029096000001,,,,,,
120,15807,1900060,126668,15.0,70.90338197,0.00813964158296585,-36.24327686854771,0.001,1899947,,
120,15807,1900120,126672,15.0,70.89977943,0.007484073471277952,-36.46443612234933,0.001,1900007,,
120,15807,1900180,126676,15.0,70.90094838999998,0.006759096371630828,-35.514409746442524,0.001,1900067,,
120,15808,1900240,126680,15.0,70.90155803,0.006125337692598502,-37.15258189610073,0.001,1900127,,
120,15808,1900300,126684,15.0,70.90097118,0.006451314253111681,-34.95840208871024,0.001,1900187,,
120,15808,1900360,126688,15.0,70.90170538,0.010645711639275154,-36.066499437604634,0.001,1900247,,
120,15808,1900420,126692,15.0,70.90464928,0.00600091495240728,-35.606336866106304,0.001,1900307,,
120,15809,1900480,126696,15.0,70.90766262999999,0.0074962036063273745,-36.434169224330354,0.001,1900367,,
120,15809,1900540,126700,15.0,70.90937419,0.008956835061932603,-35.94751467023577,0.001,1900427,,
120,15809,1900600,126704,15.0,70.91115794000001,0.008817610361923774,-34.822455814906526,0.001,1900487,,
120,15810,1900660,126708,15.0,70.91646448,0.007982167725761732,-34.72250148228237,0.001,1900547,,
120,15810,1900720,126712,15.0,70.91883039,0.006308172643184662,-35.19608851841518,0.001,1900607,,
120,15810,1900780,126716,15.0,70.9142924,0.0056619960504273575,-34.7030143737793,0.001,1900667,,
120,15811,1900840,126720,15.0,70.91185304000001,0.008798534671465555,-35.01621191842215,0.001,1900727,,
120,15811,1900900,126724,15.0,70.91305069,0.007606680039316416,-35.76335688999721,0.001,1900787,,
120,15811,1900960,126728,15.0,70.91283645,0.005237730747709671,-36.30057961600168,0.001,1900847,,
120,15812,1901020,126732,15.0,70.91122012000001,0.006543854592988888,-35.045036860874724,0.001,1900907,,
120,15812,1901080,126736,15.0,70.91381224999999,0.00798253392179807,-35.67730522155762,0.001,1900967,,
120,15812,1901140,126740,15.0,70.9055439,0.005871924416472514,-37.02303804670061,0.001,1901027,,
120,15812,1901200,126744,15.0,70.90689384,0.006529201194643975,-36.341595785958425,0.001,1901087,,
120,15813,1901260,126748,15.0,70.90621069999999,0.016424293536692856,-35.81452560424805,0.001,1901147,,
