time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
285454,81,,,962.67,,,2443.18204929,300,3482,,
289454,82,10.021226057052612,0.001,962.67,288454,-149.75792404174805,2457.95540379,304,3518,,
290000,,10.22281870508194,0.001,,289454,-149.81502185058594,,,,2776.18108843714,1000.0
293454,82,10.11994727897644,0.001,962.67,292454,-150.71710763549805,2474.0982028400003,308,3570,,
295000,,10.353772006988525,0.001,,294454,-151.1847749938965,,,,2844.3590749765744,1000.0
297454,82,10.389582697868347,0.001,962.67,296454,-152.32197906494142,2487.74359622,312,3622,,
300000,,10.35951681995392,0.001,,299454,-152.94651818847657,,,,2887.978178461548,1000.0
301454,81,10.473391656398773,0.001,962.67,300454,-153.47962753295897,2499.13020937,316,3676,,
305000,,11.049186027526856,0.001,,304454,-154.90181369018555,,,,2832.241983648576,1000.0
305454,81,,,962.67,,,2517.49245487,320,3728,,
309454,82,11.371531093597412,0.001,962.67,308454,-156.88047830200196,2528.6205234100003,324,3764,,
310000,,11.372005234241486,0.001,,309454,-156.96790286254884,,,,2873.7104260243477,1000.0
313454,82,10.645888339042664,0.001,971.25,312454,-158.24070666503906,2562.8138066900005,328,3815,,
315000,,10.485519330501557,0.001,,314454,-158.91672354125976,,,,2877.8131021294744,1000.0
317454,82,10.450640300750733,0.001,971.25,316454,-159.78416784667968,2580.08802103,332,3867,,
320000,,10.637447040081025,0.001,,319454,-160.89755773925782,,,,2366.109820078779,1000.0
321454,82,10.687675624370575,0.001,971.25,320454,-161.06824487304686,2593.61265055,336,3918,,
325000,,11.365990423202515,0.001,,324454,-163.13134701538087,,,,2884.6987234028056,1000.0
325454,81,,,971.25,,,2602.41027072,340,3969,,
329454,82,12.860412878513337,0.001,971.25,328454,-164.18478997802734,2616.60471577,344,4004,,
330000,,12.403042699813843,0.001,,329454,-164.4481686401367,,,,2741.064655493107,1000.0
333454,82,12.32346047115326,0.001,980.42,332454,-165.98944619750978,2654.6955355100004,348,4054,,
335000,,12.884067062854767,0.001,,334454,-166.93339657592773,,,,2801.3421048101036,1000.0
337347,82,13.601622152328492,0.001,979.35,336454,-167.39337161254883,2659.4293094600002,352,4106,,
340000,,21.052339153289793,0.001,,339347,-172.49357141113282,,,,1186.5092521311424,1000.0
341347,82,26.917182823181154,0.001,979.35,340347,-176.50065447998048,2643.1110090400007,356,4157,,
345000,,87.22740351104736,0.001,,344347,-245.247344329834,,,,-1347.7719632743392,822.7
345347,82,,,989.19,,,2525.61647919,360,4206,,
349347,82,119.72553161239624,0.001,989.19,348347,-328.5988117675781,2338.4891003899997,364,4242,,
350000,,117.8139956665039,0.001,,349347,-335.52516430664065,,,,-1312.9878868161236,710.9
353347,82,85.61784183883667,0.001,998.93,352347,-347.65314190673826,2220.88649236,368,4289,,
354929,82,74.66932770301555,0.001,974.75,354665,-361.32604033371496,2117.30474648,372,4309,,
355000,,69.45091568339954,0.001,,354929,-360.97597573020244,,,,-1351.1622561442666,619.0
358929,82,58.93706767272949,0.001,974.75,357929,-356.992725769043,1921.53850976,376,4350,,
360000,,50.08450030899048,0.001,,359929,-351.26817156982423,,,,310.4967422703747,1000.0
362929,82,40.24857600784302,0.001,974.75,361929,-345.0271248779297,1835.46334706,380,4403,,
365000,,32.1753111448288,0.001,,364964,-334.7524636230469,,,,292.47372702584545,1000.0
365964,82,,,965.1,,,1704.3052972099997,384,4449,,
369964,82,23.053853324890138,0.001,965.1,368964,-317.25265783691407,1652.8786492099998,388,4487,,
370000,,23.295604478836058,0.001,,369964,-313.3300699462891,,,,1664.292199993963,946.7
373543,82,20.68033385848999,0.001,960.89,372543,-302.9789835205078,1601.3572565599998,392,4534,,
375000,,20.2215581741333,0.001,,374543,-295.18563958740236,,,,1824.820553198387,790.0
377543,82,21.59044336795807,0.001,960.89,376543,-289.2673994140625,1531.2327290999995,396,4582,,
380000,,19.861271629333498,0.001,,379543,-278.76539733886716,,,,1236.0993473681622,763.1
380363,82,19.840614913322607,0.001,949.09,380074,-276.27436954813794,1472.8606693899994,400,4624,,
384363,82,21.29316652774811,0.001,949.09,383363,-265.19250787353513,1404.66339356,404,4654,,
385000,,21.421720504760742,0.001,,384445,-261.6316878155964,,,,1295.7386983791832,851.0
386903,82,18.59502339571324,0.001,934.49,385903,-257.7309748220652,1348.87471331,408,4689,,
390000,,17.602785773277283,0.001,,389903,-247.57472302246094,,,,2644.958344573132,1000.0
390903,82,,,934.49,,,1340.23337754,412,4740,,
394765,82,16.119526762008668,0.001,933.11,393765,-236.96891812133788,1330.09722482,416,4774,,
395000,,17.42892838525772,0.001,,394765,-235.23284506225585,,,,2750.57443346777,1000.0
398765,82,14.767705416679382,0.001,933.11,397765,-229.11990914916993,1327.9427866899998,420,4825,,
400000,,15.99841162443161,0.001,,399765,-225.94029809570313,,,,2837.1194629912266,1000.0
402765,82,16.616295520782472,0.001,933.11,401765,-222.04618942260743,1324.70452402,424,4876,,
405000,,17.39183352136612,0.001,,404765,-218.28715740966797,,,,2730.8303259786453,937.3
406765,82,16.977521047592163,0.001,933.11,405765,-217.40694284057616,1326.5839115899998,428,4926,,
410000,,15.051017329216004,0.001,,409765,-213.18341995239257,,,,2350.8276247435365,1000.0
410765,82,,,933.11,,,1324.5989279199996,432,4976,,
414765,82,14.225630262374878,0.001,933.11,413765,-210.53991577148437,1320.0700705299998,436,5012,,
415000,,14.817445175647736,0.001,,414765,-210.47803277587892,,,,2713.3656970825045,1000.0
418765,82,13.855310907363892,0.001,933.11,417765,-207.59059017944335,1320.3239854699998,440,5062,,
420000,,12.519621172428131,0.001,,419765,-206.92628829956055,,,,3076.8542795425283,1000.0
422765,82,13.622467306613922,0.001,933.11,421765,-205.27069561767578,1320.2998535699999,444,5111,,
425000,,12.117403439521789,0.001,,424765,-204.23722412109376,,,,3016.398246886395,1000.0
426765,82,12.59769199514389,0.001,933.11,425765,-202.99866400146485,1324.7354909399999,448,5161,,
430000,,14.627668962955475,0.001,,429765,-202.3281506958008,,,,2789.14443823006,977.2
430765,82,,,934.18,,,1263.9019787,452,5211,,
434765,82,12.817300973415374,0.001,934.18,433765,-199.75316198730468,1309.6776279000003,456,5246,,
435000,,12.323666958808898,0.001,,434765,-199.11123416137696,,,,2001.044259525463,919.9
438765,82,12.576021877765655,0.001,934.18,437765,-197.8592262878418,1462.9208971100002,460,5295,,
440000,,12.14228084039688,0.001,,439765,-195.67345095825195,,,,2929.880228260532,1000.0
442765,82,12.19119479560852,0.001,934.18,441765,-195.1835154724121,1663.9206939000005,464,5345,,
445000,,11.998082758426666,0.001,,444765,-194.7369651184082,,,,2890.38907801155,1000.0
446765,82,11.775651328086854,0.001,934.18,445765,-194.416178314209,1829.3089518900001,468,5395,,
450000,,11.439461757659911,0.001,,449765,-193.28260906982422,,,,3020.357793916017,1000.0
450765,82,,,958.36,,,1947.7684053399998,472,5446,,
454765,82,12.747627042293548,0.001,958.36,453765,-192.2440086364746,2153.5796888,476,5481,,
455000,,11.633287538528442,0.001,,454765,-193.1023475341797,,,,2724.315498452447,902.2
458467,82,12.035624188423157,0.001,955.38,457467,-192.9382876586914,2246.5618855199996,480,5526,,
460000,,12.027208765506744,0.001,,459467,-192.72807135009765,,,,2321.717138085654,842.1
462467,82,11.753677404880523,0.001,965.03,461467,-192.80317013549805,2384.76096211,484,5573,,
465000,,11.569913249969483,0.001,,464467,-192.23560668945314,,,,2590.446667803591,902.8
466467,82,11.666039410114289,0.001,965.03,465467,-193.09350332641603,2454.44394336,488,5621,,
469475,83,10.98253872013092,0.001,959.32,469467,-192.8145601196289,2489.42638752,492,5654,,
470000,,11.945777253100747,0.001,,469513,-191.55553074886924,,,,3025.7006017946637,1000.0
472513,83,11.800537868022918,0.001,949.7,471513,-192.6186978149414,2537.76487254,496,5688,,
475000,,12.209975911140441,0.001,,474513,-192.25158380126953,,,,3189.3433686732315,1000.0
476513,83,12.155466499328613,0.001,961.5,475513,-192.61791555786132,2614.6826404000003,500,5737,,
480000,,11.044582808971406,0.001,,479513,-192.88863809204102,,,,2080.881375869736,1000.0
480513,83,,,961.5,,,2702.1966719399998,504,5787,,
484513,83,12.487395178318023,0.001,976.1,483513,-192.83882666015626,2744.5434806,508,5821,,
485000,,11.72012762928009,0.001,,484513,-192.38282879638672,,,,2890.408876047004,1000.0
487914,83,12.269958701133728,0.001,970.11,486914,-192.63163143920897,2746.62454761,512,5866,,
490000,,13.56669743013382,0.001,,489914,-193.2637815246582,,,,3145.1617546828465,1000.0
491914,83,13.083118168830872,0.001,971.49,490914,-192.85079473876954,2767.9607757800013,516,5915,,
495000,,12.260492065429688,0.001,,494914,-192.6393406982422,,,,2588.052278279327,1000.0
495914,83,,,971.49,,,2783.1229600900006,520,5964,,
499914,83,12.073040514945983,0.001,971.49,498914,-192.8492707824707,2769.37200306,524,5998,,
500000,,12.076018986225128,0.001,,499914,-192.43685986328126,,,,2902.036380920885,1000.0
503914,83,11.885804930210114,0.001,971.49,502914,-192.34878393554686,2779.0008483099996,528,6047,,
505000,,11.869091358184814,0.001,,504914,-192.66640338134766,,,,3253.76746914955,1000.0
507914,83,12.39154317522049,0.001,971.49,506914,-191.85125784301758,2737.0842025399998,532,6096,,
510000,,13.996601358413697,0.001,,509944,-191.74729196166993,,,,2990.8791455651635,1000.0
510944,83,,,961.79,,,2718.74453238,536,6137,,
514944,83,14.822846076488496,0.001,961.79,513944,-191.89602255249022,2730.7025926,540,6171,,
515000,,14.698433660984039,0.001,,514944,-192.27002029418946,,,,3139.661659444464,1000.0
518944,83,14.167255767345429,0.001,961.79,517944,-191.65503448486328,2739.0921273799995,544,6220,,
520000,,14.104739216327667,0.001,,519944,-191.29532998657226,,,,2511.5036208159872,975.2
522944,83,14.501934253692626,0.001,961.79,521944,-191.11511328125,2744.8911485300005,548,6268,,
525000,,14.907677382946014,0.001,,524944,-191.3708183288574,,,,3049.4084637541323,1000.0
526944,83,13.742640918254851,0.001,961.79,525944,-191.335295501709,2824.0808849800005,552,6318,,
530000,,13.102845249652862,0.001,,529944,-192.0033717956543,,,,2720.736625611037,1000.0
530944,83,,,961.79,,,2831.3987712800003,556,6366,,
534944,83,12.914540727615357,0.001,961.79,533944,-192.53896829223632,2838.3382395299996,560,6401,,
535000,,12.578699808120728,0.001,,534944,-193.12121975708007,,,,3148.039702556003,1000.0
538944,83,12.374121168613433,0.001,961.79,537944,-193.62995483398439,2847.73005006,564,6450,,
540000,,12.281544426441192,0.001,,539944,-193.41598471069335,,,,3207.29048425816,1000.0
542944,83,12.835017738342286,0.001,961.79,541944,-193.4247890319824,2854.6556378299997,568,6499,,
545000,,12.395510974884033,0.001,,544944,-194.32076266479493,,,,2959.649086992629,1000.0
546944,83,12.097881425380708,0.001,961.79,545944,-194.19758142089844,2858.7129539999996,572,6548,,
550000,,12.292283074378968,0.001,,549944,-194.79088272094725,,,,3036.529664219357,1000.0
550944,83,,,961.79,,,2867.67090475,576,6599,,
554944,83,12.78007155752182,0.001,964.77,553944,-195.18978475952147,2882.2972982,580,6637,,
555000,,12.662555027484894,0.001,,554944,-195.24057040405273,,,,3179.161372888181,1000.0
558944,83,12.459654173851014,0.001,964.77,557944,-195.94982794189454,2895.0384682999997,584,6689,,
560000,,12.239293576717376,0.001,,559944,-196.7322671508789,,,,3062.8973148328487,1000.0
