train/critic_loss,train/ent_coef,time/total_timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,time/time_elapsed,train/n_updates,time/fps,eval/mean_reward,eval/mean_ep_length
493.89306640625,0.07829168438911438,205000,-358.3504333496094,0.0003,,,-4.109225273132324,,,204899,,344.78637507343666,68.85
588.0017700195312,0.07680592685937881,205208,-355.46820068359375,0.0003,302.58720627,60.23,-4.453069686889648,4852,3220,205107,63,,
360.8297119140625,0.0756247490644455,205431,-352.9010925292969,0.0003,303.7527894000001,60.53,-2.6026604175567627,4856,3223,205330,63,,
215.52035522460938,0.0762801319360733,205609,-350.2193603515625,0.0003,302.75030171,60.42,-2.214480400085449,4860,3226,205508,63,,
378.9107360839844,0.07671156525611877,205789,-354.42315673828125,0.0003,299.03086442999995,59.78,2.649982452392578,4864,3229,205688,63,,
547.7570190429688,0.07663439214229584,205972,-349.2565612792969,0.0003,295.22197313,59.1,3.256579637527466,4868,3232,205871,63,,
538.03125,0.07568295300006866,206156,-342.02496337890625,0.0003,293.55119965,58.72,0.48631083965301514,4872,3234,206055,63,,
371.0262451171875,0.07507690787315369,206347,-346.48028564453125,0.0003,290.87440266,58.22,0.2883157730102539,4876,3237,206246,63,,
683.86181640625,0.07227731496095657,206574,-346.26531982421875,0.0003,291.9907898,58.55,0.831850528717041,4880,3241,206473,63,,
629.585205078125,0.07228567451238632,206758,-348.56951904296875,0.0003,289.39000204,58.06,-1.5832250118255615,4884,3243,206657,63,,
333.3858642578125,0.07206374406814575,206956,-346.2464599609375,0.0003,288.31631011,57.95,2.5455219745635986,4888,3246,206855,63,,
556.365966796875,0.07175901532173157,207116,-339.27032470703125,0.0003,284.73079302,57.25,3.7750091552734375,4892,3249,207015,63,,
602.431884765625,0.07027804851531982,207278,-347.9305114746094,0.0003,279.28490694,56.24,-3.3475894927978516,4896,3251,207177,63,,
345.2645568847656,0.0694928765296936,207429,-348.1561584472656,0.0003,273.10400726000006,55.09,-6.22067928314209,4900,3253,207328,63,,
480.3612060546875,0.06931190192699432,207606,-336.7552795410156,0.0003,265.4441568,53.63,1.333737850189209,4904,3256,207505,63,,
734.2965698242188,0.06961000710725784,207799,-341.1029968261719,0.0003,263.31687006,53.26,1.1662616729736328,4908,3258,207698,63,,
