time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length
207,15.118745079040528,50.0,34250,0.04985214814543724,34400,688,-7.076466780000001,165,0.001,,
208,15.096611137390136,50.0,34450,0.058466079831123355,34600,692,-6.945896210000001,165,0.001,,
210,15.199126358032226,50.0,34650,0.048959818929433824,34800,696,-6.87239512,165,0.001,,
,15.287103004455567,,34850,0.049943835511803626,35000,,,,0.001,-6.863751689292258,50.0
211,,50.0,,,35000,700,-6.813230689999999,165,,,
212,15.350218315124511,50.0,35050,0.053243331462144855,35200,704,-6.75987886,165,0.001,,
213,15.34344123840332,50.0,35250,0.052155811339616776,35400,708,-6.766925130000001,165,0.001,,
214,15.387442054748535,50.0,35450,0.046747369281947615,35600,712,-6.684123199999999,165,0.001,,
216,15.448597030639649,50.0,35650,0.050443665757775306,35800,716,-6.63011848,165,0.001,,
,15.446640319824219,,35850,0.047714517638087275,36000,,,,0.001,-6.7165088458452376,50.0
217,,50.0,,,36000,720,-6.609305149999999,165,,,
218,15.47887004852295,50.0,36050,0.04776663079857826,36200,724,-6.471948920000001,165,0.001,,
220,15.645422668457032,50.0,36250,0.049765158519148825,36400,728,-6.41844964,165,0.001,,
221,15.565540771484375,50.0,36450,0.05186439275741577,36600,732,-6.370440229999998,165,0.001,,
222,15.65729579925537,50.0,36650,0.058734079897403715,36800,736,-6.449557639999999,165,0.001,,
,15.678438568115235,,36850,0.060986695513129234,37000,,,,0.001,-6.620688456529751,50.0
224,,50.0,,,37000,740,-6.399620450000001,165,,,
225,15.765402755737306,50.0,37050,0.054141061678528786,37200,744,-6.436527960000001,165,0.001,,
226,15.785191764831543,50.0,37250,0.05224756047129631,37400,748,-6.32872164,165,0.001,,
227,15.872229042053222,50.0,37450,0.05168379820883274,37600,752,-6.476316909999998,165,0.001,,
228,15.954188346862793,50.0,37650,0.05136663265526295,37800,756,-6.569710679999999,165,0.001,,
,15.955952796936035,,37850,0.06304580748081207,38000,,,,0.001,-6.7612987929489465,50.0
230,,50.0,,,38000,760,-6.535655199999997,165,,,
231,15.992528495788575,50.0,38050,0.04671292379498482,38200,764,-6.56367265,165,0.001,,
232,16.034549598693847,50.0,38250,0.04366241913288832,38400,768,-6.409554020000001,165,0.001,,
233,16.060806732177735,50.0,38450,0.05151363998651504,38600,772,-6.34919866,165,0.001,,
234,16.149309043884276,50.0,38650,0.05977861039340496,38800,776,-6.370559710000001,165,0.001,,
,16.14975788116455,,38850,0.05547435030341148,39000,,,,0.001,-6.7064696229062974,50.0
236,,50.0,,,39000,780,-6.267238070000001,164,,,
237,16.216298599243164,50.0,39050,0.05055103413760662,39200,784,-6.27586621,165,0.001,,
238,16.289397048950196,50.0,39250,0.05550934933125973,39400,788,-6.34830768,165,0.001,,
239,16.398900299072267,50.0,39450,0.05226529382169247,39600,792,-6.354002099999999,165,0.001,,
240,16.333974761962892,50.0,39650,0.04666080951690674,39800,796,-6.3630790600000005,165,0.001,,
,16.347854766845703,,39850,0.053862399943172934,40000,,,,0.001,-6.668451488064602,50.0
242,,50.0,,,40000,800,-6.360420240000001,165,,,
243,16.425109786987306,50.0,40050,0.054293099343776706,40200,804,-6.357612380000001,165,0.001,,
244,16.451671752929688,50.0,40250,0.04932519257068634,40400,808,-6.35240175,165,0.001,,
245,16.46282775878906,50.0,40450,0.0571620412170887,40600,812,-6.42621925,165,0.001,,
246,16.50915916442871,50.0,40650,0.05387561798095703,40800,816,-6.369382539999999,165,0.001,,
,16.596033248901367,,40850,0.04936323422938585,41000,,,,0.001,-6.777726818248629,50.0
248,,50.0,,,41000,820,-6.35570907,164,,,
249,16.60165603637695,50.0,41050,0.057295390740036964,41200,824,-6.323631060000001,164,0.001,,
250,16.673958740234376,50.0,41250,0.051080344542860985,41400,828,-6.2893671000000015,165,0.001,,
251,16.71964157104492,50.0,41450,0.05385210767388344,41600,832,-6.410699050000001,165,0.001,,
252,16.771215515136717,50.0,41650,0.05598537854850292,41800,836,-6.3257419299999995,165,0.001,,
,16.73701675415039,,41850,0.053773112073540685,42000,,,,0.001,-6.55532551323995,50.0
254,,50.0,,,42000,840,-6.237101039999999,165,,,
255,16.819628448486327,50.0,42050,0.04970335863530636,42200,844,-6.11440419,165,0.001,,
256,16.85211685180664,50.0,42250,0.0531269471347332,42400,848,-6.276270859999999,165,0.001,,
257,16.891481704711914,50.0,42450,0.06352561704814434,42600,852,-6.11763017,165,0.001,,
258,16.941917419433594,50.0,42650,0.06498544454574585,42800,856,-6.056219239999998,165,0.001,,
,16.937012710571288,,42850,0.06363711655139923,43000,,,,0.001,-7.067385763954372,50.0
259,,50.0,,,43000,860,-6.04679056,165,,,
260,17.013311004638673,50.0,43050,0.05338644094765186,43200,864,-6.025252930000001,165,0.001,,
261,17.132521362304686,50.0,43250,0.048911035172641275,43400,868,-6.046858889999999,165,0.001,,
263,17.143281402587892,50.0,43450,0.07639207080006599,43600,872,-5.99242033,165,0.001,,
264,17.09373245239258,50.0,43650,0.051291100680828094,43800,876,-5.96200102,165,0.001,,
,17.193352584838866,,43850,0.04902265854179859,44000,,,,0.001,-6.565818354999647,50.0
265,,50.0,,,44000,880,-6.07631116,165,,,
266,17.254086303710938,50.0,44050,0.05854832947254181,44200,884,-6.0818898,165,0.001,,
267,17.180017471313477,50.0,44250,0.052662310972809795,44400,888,-5.974245530000001,165,0.001,,
268,17.315359420776367,50.0,44450,0.048673268780112265,44600,892,-6.044700829999999,165,0.001,,
270,17.390430755615235,50.0,44650,0.05256751008331775,44800,896,-5.8946529199999995,165,0.001,,
,17.270287857055663,,44850,0.05256294026970863,45000,,,,0.001,-6.335893649607897,50.0
271,,50.0,,,45000,900,-5.930200160000001,165,,,
272,17.315494689941406,50.0,45050,0.04824166461825371,45200,904,-5.888763739999999,165,0.001,,
274,17.37417350769043,50.0,45250,0.05858505994081497,45400,908,-5.832393159999999,165,0.001,,
275,17.47413116455078,50.0,45450,0.05172088794410229,45600,912,-5.838398219999999,165,0.001,,
276,17.529109115600587,50.0,45650,0.056625492349267004,45800,916,-5.788441920000001,165,0.001,,
,17.553426132202148,,45850,0.051574911922216415,46000,,,,0.001,-6.142572117829696,50.0
277,,50.0,,,46000,920,-5.82464086,165,,,
278,17.543482360839842,50.0,46050,0.054217678904533384,46200,924,-5.831512439999999,165,0.001,,
279,17.58058692932129,50.0,46250,0.06754547022283078,46400,928,-5.85904607,165,0.001,,
281,17.61259880065918,50.0,46450,0.05405431229621172,46600,932,-5.6754938600000004,165,0.001,,
282,17.6653214263916,50.0,46650,0.05395503386855125,46800,936,-5.650750469999998,165,0.001,,
,17.614401321411133,,46850,0.05605562254786491,47000,,,,0.001,-6.241016784403473,50.0
283,,50.0,,,47000,940,-5.717381379999999,165,,,
285,17.71154472351074,50.0,47050,0.04878952503204346,47200,944,-5.868163409999998,165,0.001,,
286,17.71252098083496,50.0,47250,0.04891919933259487,47400,948,-5.755461250000001,165,0.001,,
287,17.761134338378906,50.0,47450,0.05308233566582203,47600,952,-5.82480163,165,0.001,,
288,17.768176651000978,50.0,47650,0.05959768116474152,47800,956,-5.70941822,165,0.001,,
,17.814511871337892,,47850,0.05445365838706493,48000,,,,0.001,-6.411596024804749,50.0
290,,50.0,,,48000,960,-5.766907359999999,165,,,
291,17.844092712402343,50.0,48050,0.05516385339200497,48200,964,-5.796537399999998,165,0.001,,
292,17.874737243652344,50.0,48250,0.04954510442912578,48400,968,-5.732327629999999,165,0.001,,
293,17.891365280151366,50.0,48450,0.059974596425890925,48600,972,-5.81314239,165,0.001,,
294,17.9663175201416,50.0,48650,0.049129269197583196,48800,976,-5.899804349999999,165,0.001,,
,18.005883255004882,,48850,0.0527896548807621,49000,,,,0.001,-6.110009135771543,50.0
296,,50.0,,,49000,980,-5.847753130000001,165,,,
297,17.97606346130371,50.0,49050,0.06157015398144722,49200,984,-5.718850809999999,165,0.001,,
298,18.051052169799803,50.0,49250,0.049237858578562735,49400,988,-5.84902764,165,0.001,,
299,18.139200897216796,50.0,49450,0.050939955040812494,49600,992,-5.879854720000001,165,0.001,,
300,18.081419372558592,50.0,49650,0.05425566703081131,49800,996,-6.000320989999999,165,0.001,,
,18.138553009033203,,49850,0.05788768999278546,50000,,,,0.001,-6.428404926694929,50.0
302,,50.0,,,50000,1000,-6.064946969999999,165,,,
303,18.152947311401366,50.0,50050,0.05965473264455795,50200,1004,-6.0753638799999985,165,0.001,,
304,18.240574340820313,50.0,50250,0.05372392222285271,50400,1008,-6.0696270000000005,165,0.001,,
305,18.225163955688476,50.0,50450,0.07387489184737206,50600,1012,-5.99644966,165,0.001,,
306,18.30053398132324,50.0,50650,0.05383753389120102,50800,1016,-6.087790709999999,165,0.001,,
,18.287726593017577,,50850,0.0582997316122055,51000,,,,0.001,-6.1171113914810125,50.0
307,,50.0,,,51000,1020,-6.050756829999999,165,,,
308,18.27082450866699,50.0,51050,0.05410407483577728,51200,1024,-6.044052549999999,165,0.001,,
309,18.36214424133301,50.0,51250,0.05194865010678768,51400,1028,-5.989269080000001,165,0.001,,
310,18.340765762329102,50.0,51450,0.05111076481640339,51600,1032,-6.1154241,165,0.001,,
312,18.346805114746093,50.0,51650,0.05717398434877396,51800,1036,-6.099993279999999,166,0.001,,
,18.47165786743164,,51850,0.058449574559926984,52000,,,,0.001,-5.884027807274833,50.0
