time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
402,58,118784,97.8,-49.29460474,295,42.76660355627537,0.2,0.0003,0.024230426,0.8349556922912598,-0.05632809337112121,10.49886703491211,0.6623520851135254,0.2791015625,570,-8.091392233967781,,
,,120000,,,,95.04857615232467,0.2,0.0003,0.018826399,0.7146739363670349,-0.05155817168997601,28.104122161865234,0.6587350964546204,0.203515625,580,-8.026329827308654,117.3,105.83774486471665
407,59,120832,107.03,-53.06301404,296,,,,,,,,,,,,,
411,60,122880,103.73,-50.76890367,298,47.98874639868736,0.2,0.0003,0.022253614,0.7308740317821503,-0.05687562811654061,31.0974063873291,0.6537889242172241,0.268603515625,590,-7.97573317438364,,
415,61,124928,107.66,-53.012215209999994,300,131.10765001773834,0.2,0.0003,0.016430154,0.5674049258232117,-0.053320862748660144,102.89788055419922,0.6513813734054565,0.197705078125,600,-7.931115819513797,,
,,125000,,,,108.79274259805679,0.2,0.0003,0.022828702,0.29443883895874023,-0.05850202454021201,47.96216583251953,0.6478239893913269,0.232861328125,610,-7.893418459594249,280.7,207.6995365311537
422,62,126976,116.8,-57.92691537999999,300,,,,,,,,,,,,,
427,63,129024,112.04,-54.651600630000004,302,24.62667651474476,0.2,0.0003,0.041075565,0.7978577166795731,-0.06123646034975536,4.250372886657715,0.6419963836669922,0.397900390625,620,-7.82445738017559,,
,,130000,,,,71.9396006822586,0.2,0.0003,0.021594811,0.7611762583255768,-0.05356899451871868,29.646703720092773,0.6366173028945923,0.23818359375,630,-7.764239341020584,200.9,138.38389727354516
433,64,131072,93.61,-39.39778579,302,,,,,,,,,,,,,
437,65,133120,96.84,-43.145425679999995,304,53.02610377073288,0.2,0.0003,0.023693956,0.8363416492938995,-0.059241425048094244,22.599552154541016,0.6294596791267395,0.260107421875,640,-7.676419731974602,,
,,135000,,,,81.13910439610481,0.2,0.0003,0.02049448,0.790278971195221,-0.05690469139371999,26.447587966918945,0.6248115301132202,0.23564453125,650,-7.6098198860883715,187.7,127.73592604122823
443,66,135168,103.33,-44.787605239999984,304,,,,,,,,,,,,,
447,67,137216,104.16,-43.48778835000001,306,61.358013117313384,0.2,0.0003,0.020938445,0.8387265056371689,-0.056778516233316624,30.390066146850586,0.618861973285675,0.24287109375,660,-7.53997969031334,,
452,68,139264,84.03,-31.83999724,308,21.46408366113901,0.2,0.0003,0.041538015,0.8773105517029762,-0.05609755233745091,3.6285018920898438,0.6127129793167114,0.386865234375,670,-7.445713184773922,,
,,140000,,,,112.91302325725556,0.2,0.0003,0.01640853,0.563360184431076,-0.047860074508935216,64.57414245605469,0.6097697019577026,0.200341796875,680,-7.401828290522099,185.7,120.00752348485403
458,69,141312,93.84,-36.30438235,308,,,,,,,,,,,,,
462,70,143360,93.66,-35.48828252,310,40.718843162059784,0.2,0.0003,0.023146093,0.8402010947465897,-0.05462903273000848,17.60089111328125,0.6041146516799927,0.250048828125,690,-7.340097221732139,,
,,145000,,,,47.38474480509758,0.2,0.0003,0.023243738,0.799977719783783,-0.05805691832792945,24.2349853515625,0.5980097651481628,0.250048828125,700,-7.263312490284443,162.1,103.41560741451103
468,71,145408,98.09,-36.396007649999994,310,,,,,,,,,,,,,
472,72,147456,89.17,-33.06865947000001,312,54.99314624071121,0.2,0.0003,0.019993514,0.8119589388370514,-0.05286298658757005,16.886194229125977,0.5962014198303223,0.22724609375,710,-7.219890023767948,,
476,73,149504,98.06,-37.35815371,313,72.29745762944222,0.2,0.0003,0.022827592,0.7855750024318695,-0.05679627998615615,38.7137565612793,0.591820478439331,0.276416015625,720,-7.171596267819405,,
,,150000,,,,76.72781820297241,0.2,0.0003,0.022098104,0.6924416124820709,-0.06010863318515476,33.6499137878418,0.5883660316467285,0.247705078125,730,-7.118873353302479,188.9,124.42314946067636
482,74,151552,90.08,-31.140342099999994,314,,,,,,,,,,,,,
486,75,153600,91.65,-30.536304029999997,315,36.486441725492476,0.2,0.0003,0.032745875,0.866353839635849,-0.06930918220023159,19.07912254333496,0.5855647921562195,0.353271484375,740,-7.076922053098679,,
,,155000,,,,33.84701304733753,0.2,0.0003,0.026485346,0.8102373629808426,-0.055020997917745264,15.315665245056152,0.5813405513763428,0.28623046875,750,-7.028643195331097,74.3,58.6445274081896
492,76,155648,107.91,-37.42150855,316,,,,,,,,,,,,,
496,77,157696,107.66,-35.84491542999999,317,22.28891790509224,0.2,0.0003,0.03995201,0.7926790565252304,-0.057705657058977525,5.166574001312256,0.5758446455001831,0.36455078125,760,-6.961401738226414,,
500,78,159744,107.5,-32.80414671,319,63.09480341672897,0.2,0.0003,0.023487516,0.7094939351081848,-0.05901755442027934,28.477937698364258,0.568909764289856,0.254736328125,770,-6.871878756582737,,
,,160000,,,,32.884918653964995,0.2,0.0003,0.03178905,0.8205801695585251,-0.06167831410421058,14.856945037841797,0.562419056892395,0.34150390625,780,-6.77064078450203,62.8,30.402916717389598
505,79,161792,126.86,-36.3791591,320,,,,,,,,,,,,,
509,80,163840,82.71,-18.972950989999998,321,36.32995428144932,0.2,0.0003,0.028347384,0.8310731649398804,-0.0585915656760335,9.917396545410156,0.5564985275268555,0.323583984375,790,-6.690171085298061,,
,,165000,,,,63.3809955239296,0.2,0.0003,0.022210456,0.7035137712955475,-0.05906641850597225,37.539154052734375,0.5541119575500488,0.256005859375,800,-6.629895637929439,288.1,203.35332426172099
516,81,165888,90.97,-19.898074710000003,321,,,,,,,,,,,,,
520,82,167936,91.67,-17.625900919999996,322,23.211520561575888,0.2,0.0003,0.047072895,0.8869436010718346,-0.06563286798482296,6.905486106872559,0.5470364093780518,0.39267578125,810,-6.547035369277,,
524,83,169984,82.89,-13.801792,324,26.083744901418687,0.2,0.0003,0.033298235,0.8948761969804764,-0.06612496053567156,9.621113777160645,0.5424857139587402,0.32744140625,820,-6.477879856526852,,
,,170000,,,,31.951524871587754,0.2,0.0003,0.027752701,0.8309872895479202,-0.06257623521378264,17.257366180419922,0.5403547286987305,0.298876953125,830,-6.434189338982105,100.1,87.91750463009812
529,84,172032,94.13,-17.528592409999998,324,,,,,,,,,,,,,
534,85,174080,95.94,-14.534087290000004,325,31.85607316195965,0.2,0.0003,0.030350784,0.8129658252000809,-0.0654857616929803,12.08021354675293,0.5368483662605286,0.31748046875,840,-6.392521643638611,,
,,175000,,,,53.57693284749985,0.2,0.0003,0.023470566,0.7665388286113739,-0.061230569140752776,28.498838424682617,0.5325266122817993,0.25849609375,850,-6.325587420165538,240.8,191.50075347673265
541,86,176128,85.28,-13.557788780000001,325,,,,,,,,,,,,,
545,87,178176,106.51,-19.53544028,326,31.569440564513208,0.2,0.0003,0.028511468,0.6923094093799591,-0.060450468814815396,13.26131534576416,0.5274578332901001,0.314990234375,860,-6.251776148378849,,
,,180000,,,,17.855645674467088,0.2,0.0003,0.04066056,0.7578647434711456,-0.06608736379421316,5.577174663543701,0.5228585004806519,0.401416015625,870,-6.181426663696766,173.0,143.62898438449483
551,88,180224,99.9,-17.56797418,326,,,,,,,,,,,,,
556,89,182272,109.54,-20.09066946,327,57.71999777555466,0.2,0.0003,0.023295335,0.5911120176315308,-0.060567742463899774,22.877973556518555,0.5205245018005371,0.27294921875,880,-6.133711212873459,,
560,90,184320,110.23,-19.948443339999997,328,33.141671758890155,0.2,0.0003,0.02785277,0.7013738453388214,-0.060774005789426155,19.70505142211914,0.5180790424346924,0.313330078125,890,-6.09749406427145,,
,,185000,,,,41.04464966058731,0.2,0.0003,0.030002195,0.6815057694911957,-0.06271256826003083,14.555179595947266,0.5134115219116211,0.313427734375,900,-6.040146616101265,291.7,232.8265494545456
567,91,186368,120.07,-24.20240689,328,,,,,,,,,,,,,
571,92,188416,107.02,-16.573241030000005,329,35.792646965384485,0.2,0.0003,0.031451214,0.697612076997757,-0.06444259063573554,14.138053894042969,0.5082216262817383,0.332568359375,910,-5.9576149702072145,,
,,190000,,,,48.699192094802854,0.2,0.0003,0.02688221,0.7002507150173187,-0.062080356970545834,19.628009796142578,0.5043767690658569,0.304541015625,920,-5.887231524288654,164.8,155.03143601151532
577,93,190464,117.62,-16.96710775,329,,,,,,,,,,,,,
581,94,192512,127.96,-16.18646204,330,39.801245683431624,0.2,0.0003,0.033282403,0.7091573178768158,-0.06757512080948799,21.25750732421875,0.49895134568214417,0.349267578125,930,-5.807063311338425,,
586,95,194560,120.09,-14.177580970000001,331,57.24677010178566,0.2,0.0003,0.030545495,0.6594330370426178,-0.06527758603624534,40.101600646972656,0.4967512786388397,0.323779296875,940,-5.748432977497577,,
,,195000,,,,37.71862231492996,0.2,0.0003,0.032507986,0.5607799887657166,-0.06495519067102577,13.322288513183594,0.4953356087207794,0.337890625,950,-5.72992340773344,238.5,205.46341072381475
592,96,196608,103.0,-8.07046292,331,,,,,,,,,,,,,
597,97,198656,126.47,-11.475847840000004,332,32.09722148180008,0.2,0.0003,0.04106913,0.7166180312633514,-0.06651909961656202,15.812183380126953,0.48915642499923706,0.369091796875,960,-5.6641003921627995,,
,,200000,,,,46.922284215688705,0.2,0.0003,0.029055392,0.5442521274089813,-0.0670549202535767,17.687631607055664,0.4854925274848938,0.313232421875,970,-5.58647283911705,105.4,85.90962591988337
602,98,200704,114.71,-9.639738450000001,332,,,,,,,,,,,,,
607,99,202752,102.07,-7.66391034,333,52.04392482638359,0.2,0.0003,0.032330006,0.6097252666950226,-0.06917390001472086,19.227155685424805,0.48073434829711914,0.33271484375,980,-5.5023272901773455,,
611,100,204800,94.24,-0.7917927600000004,335,50.13773659467697,0.2,0.0003,0.033444718,0.5502067506313324,-0.06980559988878668,26.755023956298828,0.4767066538333893,0.3541015625,990,-5.436363545060158,,
,,205000,,,,40.01202147006988,0.2,0.0003,0.039345536,0.6301823854446411,-0.06963667383533903,14.482955932617188,0.4715553820133209,0.37646484375,1000,-5.3454715102911,258.5,215.23105929513696
618,101,206848,88.38,0.2502155199999996,334,,,,,,,,,,,,,
622,102,208896,93.39,4.10891678,335,57.08062424659729,0.2,0.0003,0.035450395,0.4003293514251709,-0.07182970276044216,20.386409759521484,0.4671415388584137,0.361376953125,1010,-5.279930813610553,,
,,210000,,,,33.3455533772707,0.2,0.0003,0.039705716,0.687007486820221,-0.06912034267152194,16.241615295410156,0.4618207812309265,0.39580078125,1020,-5.1812744528055195,231.4,202.73542061885237
628,103,210944,106.93,4.225440329999999,335,,,,,,,,,,,,,
632,104,212992,107.78,6.692411310000001,336,34.463279673457144,0.2,0.0003,0.038104728,0.7181771397590637,-0.06853336548083462,21.016115188598633,0.4575352668762207,0.377685546875,1030,-5.107916390895843,,
,,215000,,,,41.81966106891632,0.2,0.0003,0.036858838,0.6556272208690643,-0.06703005221788771,14.652393341064453,0.45493578910827637,0.353515625,1040,-5.050925989449024,138.9,155.0531356267631
638,105,215040,121.96,6.88271824,336,,,,,,,,,,,,,
642,106,217088,119.67,10.27388936,337,23.392176595330238,0.2,0.0003,0.04067278,0.7040801346302032,-0.06744786908384412,11.4605073928833,0.4517582058906555,0.397705078125,1050,-4.99883534014225,,
646,107,219136,137.45,10.670350569999998,339,52.400024843215945,0.2,0.0003,0.0323824,0.6515090465545654,-0.06603689070034306,45.71928024291992,0.447986364364624,0.3302734375,1060,-4.931839096546173,,
,,220000,,,,10.55662829130888,0.2,0.0003,0.07154684,0.7483358085155487,-0.0688471620233031,4.5219621658325195,0.44125866889953613,0.519140625,1070,-4.826085565984249,144.5,120.58538243419316
652,108,221184,135.59,13.55714936,339,,,,,,,,,,,,,
656,109,223232,126.48,14.54153743,339,60.0729820728302,0.2,0.0003,0.025368284,0.4550136923789978,-0.06448425057169516,23.869293212890625,0.43984484672546387,0.27587890625,1080,-4.770589210093021,,
,,225000,,,,36.109825962781905,0.2,0.0003,0.03283369,0.6823213696479797,-0.06772707596828695,14.096999168395996,0.43762391805648804,0.3177734375,1090,-4.746209871768952,382.1,302.7628332738095
664,110,225280,128.96,14.077264879999998,338,,,,,,,,,,,,,
669,111,227328,109.52,12.254305299999999,339,26.87059363424778,0.2,0.0003,0.033805132,0.5437262654304504,-0.0684386459091911,12.490229606628418,0.4336923062801361,0.365380859375,1100,-4.682966807484627,,
673,112,229376,95.05,12.31919184,340,54.62728627324104,0.2,0.0003,0.028278796,0.5414003431797028,-0.0662635285698343,31.008268356323242,0.43296366930007935,0.3130859375,1110,-4.6484248921275135,,
,,230000,,,,43.42807999253273,0.2,0.0003,0.033655897,0.6119956076145172,-0.06788183038006537,19.509838104248047,0.4306771159172058,0.338818359375,1120,-4.616891150176525,243.3,180.00157648148016
680,113,231424,116.06,13.195325819999999,340,,,,,,,,,,,,,
684,114,233472,129.78,15.849680309999998,341,21.44900886416435,0.2,0.0003,0.05773966,0.7658393830060959,-0.07173913300503046,8.930821418762207,0.42650675773620605,0.44892578125,1130,-4.545700328052044,,
,,235000,,,,28.33346143066883,0.2,0.0003,0.04317441,0.7413500249385834,-0.06977988260041457,11.564079284667969,0.42398202419281006,0.39091796875,1140,-4.492937201261521,246.4,198.84300917723448
691,115,235520,117.93,18.498447470000002,340,,,,,,,,,,,,,
695,116,237568,110.52,20.75497876,341,65.07713721990585,0.2,0.0003,0.02681557,0.5137651562690735,-0.065836615205626,29.860260009765625,0.4212856888771057,0.2861328125,1150,-4.4393957003951074,,
700,117,239616,122.21,20.530776799999998,342,60.45229145884514,0.2,0.0003,0.029747749,0.6003136038780212,-0.0685263584338827,25.259462356567383,0.41971880197525024,0.293505859375,1160,-4.40459795743227,,
,,240000,,,,15.47332030236721,0.2,0.0003,0.071726255,0.3571630120277405,-0.0662372260936536,4.877279758453369,0.4145647883415222,0.526318359375,1170,-4.324373596906662,154.7,143.72980044505093
705,118,241664,125.7,23.12400885,342,,,,,,,,,,,,,
710,119,243712,138.6,27.251890399999997,343,34.231582552194595,0.2,0.0003,0.032980613,0.573677659034729,-0.06977484305389225,12.22364616394043,0.41181978583335876,0.357373046875,1180,-4.25968512147665,,
