rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-21.48779519,129850,14.670360565185547,672,168,772,21.61,129900,52.45473289489746,0.001,,
-21.38783864,129915,13.511266152064005,676,168,772,21.95,129968,52.579874674479164,0.001,,
,129949,16.779748371669225,,,,,130000,52.63826115926107,0.001,-11.718089571018936,9.3
-21.64724377,,,680,168,773,21.91,130035,,,,
-21.971182549999998,130035,15.5622317089754,684,168,773,22.11,130085,52.79691553115845,0.001,,
-21.971422099999998,130075,13.085603654384613,688,168,773,22.2,130126,50.76691675186157,0.001,,
-22.577043519999993,130174,19.629354513608494,692,168,774,22.88,130231,51.96255765642439,0.001,,
-30.009791800000002,131211,16.737248829432897,696,168,779,32.85,131262,50.96186065673828,0.001,,
-23.210430679999998,131263,12.96276992559433,700,168,779,23.13,131315,51.2681827545166,0.001,,
-23.075406469999997,131303,11.39063126700265,704,168,779,23.2,131354,48.90917714436849,0.001,,
-23.02005112,131336,12.290016317367554,708,168,779,23.05,131387,52.32906875610352,0.001,,
-23.54799735,131422,12.486559947331747,712,168,780,23.74,131489,51.40946812099881,0.001,,
-23.597636259999998,131493,12.580344915390015,716,168,780,23.98,131543,53.009090423583984,0.001,,
-23.309482680000002,131538,10.727720260620117,720,168,780,23.24,131589,51.56551284790039,0.001,,
-23.01575396,131571,15.121651119656033,724,168,781,23.05,131623,50.45551300048828,0.001,,
-22.30289502,131602,15.67312594822475,728,168,781,22.57,131671,50.50290012359619,0.001,,
-22.412878580000005,131693,11.156079292297363,732,168,781,22.85,131745,50.02253437042236,0.001,,
-22.469135530000003,131728,10.091813034481472,736,168,781,22.88,131779,50.93091812133789,0.001,,
-22.848978860000003,131816,11.174523285457067,740,168,782,23.41,131866,52.59040641784668,0.001,,
-22.785873349999996,131846,20.54623862675258,744,168,782,23.4,131897,50.39589595794678,0.001,,
-24.698264160000004,132886,12.9315025806427,748,168,787,33.19,132936,49.76212215423584,0.001,,
-24.596424600000006,132923,9.906319890703474,752,168,787,33.26,132974,51.273345947265625,0.001,,
-24.535161609999996,132967,14.381651921705766,756,168,787,33.39,133029,50.37234809181907,0.001,,
-24.452291180000003,133026,11.860187240268873,760,168,788,33.54,133082,50.81366125742594,0.001,,
-23.93153133,133076,10.173467099666595,764,168,788,33.18,133126,48.68003749847412,0.001,,
-23.93326521,133106,11.404101073741913,768,168,788,33.03,133158,51.79721736907959,0.001,,
-23.84209720999999,133137,15.424609048025948,772,168,788,32.87,133187,51.6867421468099,0.001,,
