time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
,,,155000,,,0.5956408977508545,0.022744546,-7.218390643596649,0.0003,38.45135795474052,0.2,0.246630859375,0.8612104803323746,-0.05282263648987282,750,13.422715187072754,139.9,102.82268116893829
943,-28.17832433,164,155648,76,79.58,,,,,,,,,,,,,
952,-30.50771069,165,157696,77,84.41,0.5912094712257385,0.026352497,-7.145593254268169,0.0003,39.36334114074707,0.2,0.2865234375,0.8840808942914009,-0.0598388627928216,760,11.9998197555542,,
960,-19.68471766,166,159744,78,65.73,0.585426926612854,0.026962016,-7.083325374126434,0.0003,42.75465343296528,0.2,0.3150390625,0.8958579152822495,-0.06261152959195897,770,26.971635818481445,,
,,,160000,,,0.5802513360977173,0.023271982,-7.012102212011814,0.0003,49.162100720405576,0.2,0.284521484375,0.8672597259283066,-0.057523483844124715,780,21.247699737548828,28.1,33.7869507327443
969,-20.461377239999994,166,161792,79,67.9,,,,,,,,,,,,,
978,-15.899981299999995,167,163840,80,59.23,0.5737347602844238,0.027348448,-6.924716283380985,0.0003,47.50102071762085,0.2,0.30732421875,0.8782176598906517,-0.06085813654935919,790,31.240629196166992,,
,,,165000,,,0.5679068565368652,0.029156046,-6.839154736697674,0.0003,54.275579982995986,0.2,0.29296875,0.8319063931703568,-0.06566124071541708,800,17.027219772338867,61.5,68.87547046259279
986,-16.28843312,168,165888,81,59.75,,,,,,,,,,,,,
992,-24.714513279999995,169,167936,82,82.56,0.5627076029777527,0.03168631,-6.761753332614899,0.0003,43.05590181946754,0.2,0.318212890625,0.8700449764728546,-0.06259114208514802,810,20.127492904663086,,
1000,-21.565460400000003,169,169984,83,83.21,0.5573153495788574,0.028757907,-6.688566428422928,0.0003,47.0890848338604,0.2,0.28818359375,0.7480162978172302,-0.06263954140304122,820,21.043607711791992,,
,,,170000,,,0.5526753664016724,0.031082556,-6.615751653909683,0.0003,52.621526676416394,0.2,0.30517578125,0.8544283360242844,-0.06111101157148369,830,29.030790328979492,42.5,47.02791903964244
1008,-20.04500179,170,172032,84,84.47,,,,,,,,,,,,,
1016,-19.0715347,171,174080,85,83.97,0.5459214448928833,0.032350793,-6.528668013215065,0.0003,58.5352487385273,0.2,0.34013671875,0.8329122811555862,-0.06430454370565712,840,19.787492752075195,,
,,,175000,,,0.5417492389678955,0.0391131,-6.461392785608768,0.0003,31.210092952847482,0.2,0.37216796875,0.8748135566711426,-0.0624828185478691,850,12.056133270263672,33.7,37.38777705386747
1026,-9.983681100000002,171,176128,86,62.52,,,,,,,,,,,,,
1033,-10.901284109999999,172,178176,87,71.62,0.540361762046814,0.027289663,-6.418544526398182,0.0003,76.05052808523178,0.2,0.286865234375,0.3779855966567993,-0.0639823100034846,860,28.40997314453125,,
