train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,872,25465,19.25,127,-129.12532424926758,25354,200,89.9339506,62.164547769646894,,
0.001,876,25539,19.2,127,-124.99725680881076,25429,200,89.68937267,63.859154550652754,,
0.001,880,25617,19.19,127,-125.23852310180663,25506,201,89.64278487000001,62.87746991609272,,
0.001,884,25694,19.18,127,-128.81133863661023,25583,201,89.58742945,65.6098498294228,,
0.001,888,25773,19.17,127,-127.30641098022461,25661,202,89.52228024,63.3995439529419,,
0.001,892,25850,19.15,127,-127.2914547390408,25739,202,89.40590139,64.3483597604852,,
0.001,896,25928,19.17,127,-129.38675994873046,25816,203,89.50422848,57.008526992797854,,
0.001,900,26007,19.2,127,-121.96322123209636,25895,204,89.65898758000002,53.814715335243626,,
0.001,904,26084,19.2,127,-119.56495895385743,25972,204,89.65493779,58.22343444824219,,
0.001,908,26159,19.18,127,-123.76359049479167,26049,205,89.54543812,50.78008250186318,,
0.001,912,26238,19.2,127,-120.8515869140625,26127,206,89.63532414000001,52.857065963745114,,
0.001,916,26317,19.22,127,-121.76912231445313,26206,206,89.73367652,54.25285034179687,,
0.001,920,26392,19.2,127,-119.98360697428386,26281,207,89.63566370999999,53.97679660194799,,
0.001,924,26469,19.21,127,-118.92024400499132,26358,207,89.67777297,42.59566730923123,,
0.001,928,26531,19.05,127,-109.86413465227399,26425,208,88.90001214999998,43.09447377522786,,
0.001,932,26590,18.87,127,-115.66210828508649,26483,208,88.05468602,45.455570729573566,,
0.001,936,26649,18.71,127,-115.12100887298584,26542,209,87.29685063999999,50.07614339192708,,
0.001,940,26707,18.52,127,-112.98019082205636,26600,209,86.40245364999998,50.70391164507185,,
0.001,944,26765,18.34,127,-114.1355791091919,26658,210,85.53501818999997,41.75923411051432,,
0.001,948,26824,18.18,127,-115.10105895996094,26717,210,84.77743545000001,51.64416585649763,,
0.001,952,26882,18.0,127,-111.31043679373605,26775,211,83.92093376000001,41.35509338378906,,
0.001,956,26941,17.83,127,-111.95811898367745,26833,211,83.1289336,41.79539578755696,,
0.001,960,26998,17.62,127,-114.87672642299107,26891,212,82.11483575,44.88483306339809,,
0.001,964,27056,17.44,127,-116.40384783063617,26949,212,81.25525617,42.60032742818196,,
0.001,968,27114,17.24,127,-117.61712428501674,27008,213,80.29107058,45.62536471230643,,
0.001,972,27172,17.07,127,-117.3473401750837,27065,213,79.48161463999999,51.62966588338216,,
0.001,976,27229,16.9,127,-116.23519134521484,27122,214,78.65728206,46.19755336216518,,
0.001,980,27288,16.71,127,-112.10812377929688,27181,214,77.74551840999999,43.15072733561198,,
0.001,984,27348,16.54,127,-108.2310049874442,27241,215,76.94212409,47.62686411539713,,
0.001,988,27406,16.33,127,-107.64026927947998,27300,215,75.93601005,42.620399983723956,,
0.001,992,27465,16.15,127,-106.08947317940849,27358,216,75.08560254,46.25413976396833,,
0.001,996,27523,15.95,127,-109.88060324532645,27417,216,74.12227003,41.993195215861,,
0.001,1000,27582,15.75,127,-101.27950722830636,27475,216,73.15560387000001,41.63168182373047,,
0.001,1004,27641,15.57,127,-103.88326644897461,27534,217,72.29425210000001,38.94997762044271,,
0.001,1008,27702,15.43,127,-106.65364946637835,27595,217,71.64317738000001,37.40828170776367,,
0.001,1012,27761,15.23,127,-106.55270195007324,27654,218,70.68796228000001,44.40032272338867,,
0.001,1016,27818,15.01,127,-103.4212668282645,27711,218,69.62048902000001,43.38953835623605,,
0.001,1020,27876,14.84,127,-97.6740198135376,27770,219,68.81070111,40.547891998291014,,
0.001,1024,27932,14.63,127,-100.83471352713448,27826,219,67.80395438,39.326877049037385,,
0.001,1028,27990,14.59,127,-97.30038452148438,27883,220,67.61647403,37.407305581229075,,
0.001,1032,28049,14.59,127,-96.79592037200928,27942,220,67.60923105,33.14619700113932,,
0.001,1036,28108,14.59,127,-97.02618844168526,28001,221,67.61014991,36.07310422261556,,
0.001,1040,28167,14.6,127,-96.92226028442383,28061,221,67.66301257,32.65209126472473,,
0.001,1044,28224,14.59,127,-94.83418709891183,28118,222,67.61967587999999,36.66448824746268,,
0.001,1048,28282,14.58,127,-90.26219286237445,28176,222,67.57061113,38.75175394330706,,
0.001,1052,28340,14.58,127,-96.3310045514788,28233,223,67.56834807,46.91787365504673,,
0.001,1056,28398,14.57,127,-89.33206721714565,28292,223,67.51531444999999,30.859419958932058,,
0.001,1060,28456,14.58,127,-89.49664633614677,28349,224,67.57218766,35.805249077933176,,
0.001,1064,28514,14.58,126,-91.88185555594308,28407,224,67.57264242000001,43.61802332741873,,
0.001,1068,28573,14.59,126,-86.72147369384766,28467,225,67.62481612999999,36.37213293711344,,
0.001,1072,28632,14.6,127,-80.60631888253349,28524,225,67.66826987000002,27.11225414276123,,
0.001,1076,28690,14.61,127,-83.52764415740967,28584,225,67.72475012999999,28.815656407674155,,
0.001,1080,28748,14.6,127,-82.34933580671039,28642,226,67.67459467,31.774068559919083,,
0.001,1084,28807,14.59,127,-84.87320518493652,28700,226,67.62374580000001,30.23633062839508,,
0.001,1088,28864,14.58,127,-82.61963272094727,28757,227,67.57398352999999,28.88741419865535,,
0.001,1092,28931,14.66,127,-78.0795521206326,28820,227,68.06890333,27.349313735961914,,
0.001,1096,29006,14.83,127,-80.46740646362305,28893,228,69.12030822,27.522257169087727,,
0.001,1100,29069,14.87,126,-87.281247820173,28961,228,69.38331375,29.175881930759974,,
0.001,1104,29134,14.93,126,-98.22774287632534,29027,229,69.6751584,29.341921234130858,,
0.001,1108,29225,15.23,126,-107.47399575369698,29106,230,71.27355921000002,238.78021791246204,,
0.001,1112,29329,15.68,126,-114.60417233980618,29211,231,73.62467132,74.92989334693321,,
0.001,1116,29439,16.21,126,-117.60072123209635,29320,232,76.36295292000001,483.347466567467,,
0.001,1120,29548,16.72,126,-125.90465545654297,29428,233,78.97709134,238.28313954671225,,
0.001,1124,29660,17.28,126,-129.50288881574357,29541,234,81.86263014000001,250.95902456556047,,
0.001,1128,29776,17.86,126,-137.57341384887695,29655,235,84.89164691,161.3223884845602,,
0.001,1132,29888,18.39,126,-139.50710414006159,29767,236,87.63012258,94.47972248218677,,
0.001,1136,29998,18.9,126,-145.945069533128,29879,237,90.27468283,173.09441276832862,,
0.001,,30000,,,-151.472539629255,29906,,,228.5501456084075,140.370842776075,28.7
0.001,1140,30113,19.46,125,-152.3132771083287,29993,239,93.15960060000002,290.2626304626465,,
0.001,1144,30230,20.06,125,-151.53331604003907,30110,240,96.25826793000002,264.96282985292635,,
0.001,1148,30346,20.64,125,-156.72516886393228,30224,241,99.26635185,236.49647852579753,,
0.001,1152,30469,21.29,125,-156.1673797607422,30346,242,102.65898929000001,496.03939924568965,,
