time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
,,,,,165000,0.2,1606320.6203125,0.8861047029495239,-0.08442953104677145,6.383657455444336e-05,800,0.03518953,0.0003,845920.375,-22.07783496975899,0.301513671875,73651.33852615356,1000.0
81,67482.52415335999,1000.0,1589,104,165888,,,,,,,,,,,,,
82,67694.92093444998,1000.0,1598,105,167936,0.2,1333695.958203125,0.8838353753089905,-0.0875058329605963,2.980232238769531e-07,810,0.04028015,0.0003,709258.5625,-22.025834327936174,0.32724609375,,
83,67847.92632107,1000.0,1606,105,169984,0.2,1111591.2537109375,0.8840093016624451,-0.06928195971995592,5.364418029785156e-07,820,0.03245957,0.0003,648093.3125,-22.006519031524657,0.28544921875,,
,,,,,170000,0.2,1376980.126953125,0.8824175596237183,-0.0758439325436484,1.5497207641601562e-06,830,0.03379456,0.0003,704912.875,-21.994919580221175,0.30546875,69282.94882087708,1000.0
84,67999.04799157,1000.0,1660,103,172032,,,,,,,,,,,,,
85,68314.96185065001,1000.0,1667,104,174080,0.2,1471721.077734375,0.8810316920280457,-0.0751138594787335,7.271766662597656e-06,840,0.03492243,0.0003,793838.9375,-21.96327143907547,0.294189453125,,
,,,,,175000,0.2,1568532.20625,0.8786006569862366,-0.07314160739188083,7.510185241699219e-06,850,0.035232767,0.0003,770384.1875,-21.92461515069008,0.294189453125,67171.95810012818,1000.0
86,68651.24118049002,1000.0,1719,102,176128,,,,,,,,,,,,,
87,68453.29623899,1000.0,1726,103,178176,0.2,1370664.687890625,0.8774561285972595,-0.07952890932210721,1.3709068298339844e-06,860,0.035775118,0.0003,735780.0,-21.89558923840523,0.305029296875,,
,,,,,180000,0.2,1050956.4177734375,0.8761097192764282,-0.07805514947685879,5.364418029785156e-07,870,0.041413758,0.0003,477998.59375,-21.869631981849672,0.33369140625,68576.59183940888,1000.0
88,68850.08178603,1000.0,1778,101,180224,,,,,,,,,,,,,
89,69101.53979652001,1000.0,1785,102,182272,0.2,1618082.887109375,0.8742960095405579,-0.08078058825340122,-1.1920928955078125e-07,880,0.03683683,0.0003,819208.0,-21.838391298055647,0.306884765625,,
90,69453.14827291,1000.0,1792,102,184320,0.2,1959122.139453125,0.872820258140564,-0.08546070404700004,-8.702278137207031e-06,890,0.036698267,0.0003,986871.375,-21.80420904159546,0.297998046875,,
,,,,,185000,0.2,1342968.190234375,0.8725125789642334,-0.07943120803392958,2.5033950805664062e-06,900,0.04014735,0.0003,629409.3125,-21.789796125888824,0.304833984375,67465.27968387604,1000.0
91,69683.05052825,1000.0,1840,101,186368,,,,,,,,,,,,,
92,69831.65416759999,1000.0,1845,102,188416,0.2,1508286.16484375,0.8705348968505859,-0.07846930530504323,4.649162292480469e-06,910,0.036762364,0.0003,682873.0,-21.76539096236229,0.30146484375,,
,,,,,190000,0.2,1171598.115234375,0.8690728545188904,-0.076588181668194,5.996227264404297e-05,920,0.042944044,0.0003,703289.25,-21.730335211753847,0.32216796875,67920.21457824708,1000.0
93,69758.96261744,1000.0,1881,101,190464,,,,,,,,,,,,,
94,69733.81730940001,1000.0,1886,102,192512,0.2,1137654.4162109375,0.8694291114807129,-0.08010166664025746,8.165836334228516e-06,930,0.037836436,0.0003,520644.34375,-21.723452347517014,0.325341796875,,
95,70008.33008064001,1000.0,1891,102,194560,0.2,1296055.4455078125,0.8671085238456726,-0.08319289068458602,-5.4836273193359375e-06,940,0.041150093,0.0003,686056.125,-21.69711681008339,0.33544921875,,
,,,,,195000,0.2,1215937.3486328125,0.8655648827552795,-0.07622846493031829,2.980232238769531e-07,950,0.038925022,0.0003,580579.625,-21.663088887929916,0.32978515625,71012.60766181946,1000.0
96,70108.16629082,1000.0,1932,101,196608,,,,,,,,,,,,,
97,70157.69811311999,1000.0,1937,102,198656,0.2,1216673.0537109375,0.8663058876991272,-0.07766732723684981,7.152557373046875e-07,960,0.039116185,0.0003,612642.0625,-21.65844061374664,0.330517578125,,
,,,,,200000,0.2,929496.3888671875,0.866314709186554,-0.0859098929038737,2.4437904357910156e-05,970,0.04946758,0.0003,474882.625,-21.66122860312462,0.376953125,70809.33676013947,1000.0
98,70151.59200653998,1000.0,1974,101,200704,,,,,,,,,,,,,
99,70361.21256957,1000.0,1979,102,202752,0.2,1190883.35546875,0.8669569492340088,-0.07642065987165551,-7.152557373046875e-07,980,0.043402873,0.0003,551029.4375,-21.667529928684235,0.334619140625,,
100,70579.65779313,1000.0,1984,103,204800,0.2,1421872.425390625,0.8663390874862671,-0.07676232852682005,8.165836334228516e-06,990,0.039833616,0.0003,722467.8125,-21.671695798635483,0.300537109375,,
,,,,,205000,0.2,1828108.148046875,0.864833414554596,-0.09024431440629996,8.940696716308594e-07,1000,0.042460825,0.0003,946136.5625,-21.646209281682967,0.331005859375,71923.07492198944,1000.0
101,70886.59246429,1000.0,2022,102,206848,,,,,,,,,,,,,
102,71207.90234797001,1000.0,2028,103,208896,0.2,1811778.890234375,0.8644310235977173,-0.08598586068837903,2.980232238769531e-07,1010,0.04477219,0.0003,865806.625,-21.631281143426897,0.335009765625,,
,,,,,210000,0.2,1283279.31875,0.8642382025718689,-0.0771414784656372,4.172325134277344e-07,1020,0.04057081,0.0003,727962.0625,-21.625579768419264,0.328173828125,69547.87207126617,1000.0
103,71250.09528117,1000.0,2065,102,210944,,,,,,,,,,,,,
104,71001.20349316999,1000.0,2070,102,212992,0.2,1155712.2638671875,0.8648524880409241,-0.06919706665794365,2.384185791015625e-07,1030,0.04363577,0.0003,531935.375,-21.6266769528389,0.3212890625,,
,,,,,215000,0.2,1305638.65859375,0.8635528087615967,-0.08677614120824728,5.960464477539062e-07,1040,0.047031127,0.0003,599432.125,-21.616577929258348,0.357666015625,70022.80034351349,1000.0
105,71449.59108642001,1000.0,2107,102,215040,,,,,,,,,,,,,
106,71772.48487749002,1000.0,2112,102,217088,0.2,1352085.17890625,0.8621291518211365,-0.06699689319939353,4.482269287109375e-05,1050,0.036591128,0.0003,589464.0625,-21.582028210163116,0.310546875,,
107,71908.97773489001,1000.0,2117,103,219136,0.2,1474390.087109375,0.8618711829185486,-0.08129354235134087,-1.1920928955078125e-07,1060,0.044399798,0.0003,677863.5,-21.5747161090374,0.33720703125,,
,,,,,220000,0.2,1565937.303515625,0.8599677085876465,-0.0814799805812072,1.7285346984863281e-06,1070,0.044777844,0.0003,737304.0625,-21.54855024218559,0.3404296875,66770.23292236328,1000.0
108,71777.91159304,1000.0,2154,102,221184,,,,,,,,,,,,,
