train/ent_coef_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
-3.293766975402832,1602586,0.01585967093706131,1602687,-273.3979187011719,4712,28453,5.576753616333008,623.36,56,0.0003,2008.27563919,,
1.7450504302978516,1604899,0.01590672694146633,1605000,-272.2255859375,,,4.154094696044922,,,0.0003,,3366.077107191086,934.2
-1.812756061553955,1605590,0.016293024644255638,1605691,-275.652587890625,4716,28510,5.458754539489746,621.74,56,0.0003,2007.98859906,,
-3.0125510692596436,1608084,0.01676161028444767,1608185,-274.9345703125,4720,28543,5.795140743255615,628.19,56,0.0003,2033.61589491,,
-2.056460380554199,1609899,0.016091883182525635,1610000,-274.0401611328125,,,3.82891845703125,,,0.0003,,2728.9702877879145,763.5
1.5531965494155884,1610751,0.016389600932598114,1610852,-271.3135986328125,4724,28592,6.92819881439209,617.98,56,0.0003,2006.4328455500001,,
-0.21378988027572632,1613905,0.0169599037617445,1614006,-275.56451416015625,4728,28633,4.22413969039917,615.46,56,0.0003,2000.13526052,,
0.2968710660934448,1614899,0.01684248261153698,1615000,-272.95648193359375,,,4.413240909576416,,,0.0003,,2258.6895779758693,710.3
-3.5881755352020264,1616824,0.016967499628663063,1616925,-275.8157958984375,4732,28685,4.737954139709473,617.3,56,0.0003,2005.3198195999998,,
-1.7384841442108154,1619899,0.017968853935599327,1620000,-273.45526123046875,,,7.547623157501221,,,0.0003,,3287.1142979860306,940.4
0.027449846267700195,1620176,0.01823297142982483,1620277,-274.3792724609375,4736,28748,7.357519149780273,631.88,56,0.0003,2064.5255783899997,,
-1.0683921575546265,1623194,0.017707427963614464,1623295,-274.8929443359375,4740,28787,6.218769550323486,645.66,56,0.0003,2116.54344691,,
1.405392050743103,1624899,0.017674824222922325,1625000,-272.86761474609375,,,9.577585220336914,,,0.0003,,3005.952814692259,865.8
-1.6656885147094727,1626750,0.017697762697935104,1626851,-276.4299011230469,4744,28850,8.7088623046875,675.13,56,0.0003,2221.80948775,,
2.612144947052002,1629899,0.01713278330862522,1630000,-272.75225830078125,,,7.611877918243408,,,0.0003,,3503.583359223604,1000.0
0.9642621278762817,1630375,0.017183763906359673,1630476,-274.4095764160156,4748,28916,5.765086650848389,686.4,56,0.0003,2268.12883589,,
-2.1331124305725098,1633711,0.016816778108477592,1633812,-279.21490478515625,4752,28959,3.7169830799102783,680.57,56,0.0003,2254.54853154,,
-3.5837016105651855,1634899,0.01732533425092697,1635000,-278.74749755859375,,,4.46067476272583,,,0.0003,,3487.6968355864287,971.5
-0.615601658821106,1636353,0.017662953585386276,1636454,-273.4955139160156,4756,29012,4.05692195892334,687.3,56,0.0003,2279.56068183,,
-0.25253981351852417,1639355,0.017700472846627235,1639456,-275.11199951171875,4760,29050,6.400972366333008,696.51,56,0.0003,2315.53004591,,
0.21353554725646973,1639899,0.017397349700331688,1640000,-273.9189453125,,,5.313080310821533,,,0.0003,,1149.9551200330257,367.3
-1.6629655361175537,1642512,0.017549315467476845,1642613,-277.05047607421875,4764,29099,5.891690254211426,693.24,56,0.0003,2305.95948951,,
4.258837699890137,1644899,0.01730036921799183,1645000,-276.25738525390625,,,9.293411254882812,,,0.0003,,1748.8700388476252,510.3
-0.25216007232666016,1645022,0.017369532957673073,1645123,-274.8998718261719,4768,29140,9.055654525756836,687.75,56,0.0003,2286.0468658199998,,
-1.8250234127044678,1647979,0.017148753628134727,1648080,-279.29888916015625,4772,29179,10.54971694946289,696.8,56,0.0003,2317.86400124,,
-2.4584102630615234,1649899,0.01707204431295395,1650000,-277.49871826171875,,,5.17340087890625,,,0.0003,,2876.6902956335807,824.5
0.4735286831855774,1650173,0.017209544777870178,1650274,-276.22344970703125,4776,29223,4.130611896514893,696.43,56,0.0003,2317.6585699899997,,
-0.399877667427063,1652068,0.016542509198188782,1652169,-278.777099609375,4780,29247,5.435208320617676,696.08,56,0.0003,2315.5568246599996,,
-1.10793936252594,1654899,0.016567787155508995,1655000,-280.0435791015625,,,4.911428451538086,,,0.0003,,2798.0104073524476,785.4
2.1784958839416504,1655307,0.016935352236032486,1655408,-277.30706787109375,4784,29303,10.916019439697266,704.0,56,0.0003,2341.7488681600003,,
0.5731207728385925,1657819,0.016881631687283516,1657920,-279.7118225097656,4788,29335,5.272634506225586,694.53,56,0.0003,2311.65827111,,
-1.3150697946548462,1659899,0.017328796908259392,1660000,-278.4395751953125,,,19.010576248168945,,,0.0003,,2752.6837910100817,809.4
