time/total_timesteps,train/learning_rate,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/entropy_loss,time/iterations,rollout/ep_len_mean,train/std,train/n_updates,train/explained_variance,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
25500,0.0007,116,1.771990180015564,0.3402619957923889,219,-4.491641998291016,5100,188.6,0.42443692684173584,5099,-3.227964401245117,-82.61344973999998,,
26000,0.0007,117,-1.852002739906311,0.17640791833400726,221,-4.273700714111328,5200,188.6,0.4129391312599182,5199,-0.29759275913238525,-82.61344973999998,,
26500,0.0007,118,0.023650502786040306,0.13665978610515594,223,-4.077541351318359,5300,198.35,0.40281885862350464,5299,-0.1036146879196167,-79.45132441999998,,
27000,0.0007,119,-0.4611833691596985,0.03197086974978447,225,-3.862229108810425,5400,198.35,0.39237046241760254,5399,-0.5719882249832153,-79.45132441999998,,
27500,0.0007,120,0.8587766885757446,0.19578813016414642,227,-3.639801502227783,5500,208.21,0.38151586055755615,5499,0.04867655038833618,-75.82741000999998,,
28000,0.0007,122,1.767743468284607,0.6423550844192505,229,-3.4223411083221436,5600,208.21,0.37127673625946045,5599,-0.02869415283203125,-75.82741000999998,,
28500,0.0007,123,0.5870468020439148,0.06828204542398453,231,-3.208749532699585,5700,215.17,0.3615570068359375,5699,-0.13072443008422852,-72.16162695999999,,
29000,0.0007,124,0.7852723002433777,0.17572304606437683,233,-2.962104082107544,5800,215.17,0.35053205490112305,5799,-0.21261560916900635,-72.16162695999999,,
29500,0.0007,125,-0.0969880223274231,0.031804244965314865,235,-2.7454309463500977,5900,224.57,0.3410647213459015,5899,0.0013669133186340332,-67.11048966,,
30000,0.0007,,-0.0931219607591629,0.07840538024902344,,-2.5293099880218506,,,0.33193251490592957,5999,-0.0075844526290893555,,1000.0,976.8037765681744
30000,,137,,,217,,6000,219.14,,,,-53.88311073999999,,
30500,0.0007,139,0.23752914369106293,0.060799241065979004,219,-2.302748203277588,6100,219.14,0.32272666692733765,6099,0.031146228313446045,-53.88311073999999,,
31000,0.0007,140,0.31802859902381897,0.24783144891262054,221,-2.068709373474121,6200,232.18,0.31337642669677734,6199,-0.0021724700927734375,-45.49353357,,
31500,0.0007,141,-0.36225876212120056,0.028293048962950706,222,-1.8508853912353516,6300,231.58,0.30503860116004944,6299,-0.0008029937744140625,-43.32865430000001,,
32000,0.0007,142,-0.1487964391708374,0.011371520347893238,224,-1.6328471899032593,6400,231.58,0.29673445224761963,6399,-0.005870938301086426,-43.32865430000001,,
32500,0.0007,143,-0.03782683238387108,0.03972418233752251,226,-1.42589271068573,6500,240.44,0.28917184472084045,6499,0.001217663288116455,-36.20580384000001,,
33000,0.0007,144,0.09416118264198303,0.1035592332482338,227,-1.1926195621490479,6600,240.44,0.2808976173400879,6599,0.0017339587211608887,-36.20580384000001,,
33500,0.0007,146,-1.190155267715454,0.14291250705718994,229,-0.9774416089057922,6700,250.19,0.2733909487724304,6699,0.0007428526878356934,-29.498089049999997,,
34000,0.0007,147,-0.18487770855426788,0.021974606439471245,230,-0.733806312084198,6800,250.19,0.26520368456840515,6799,0.0006794929504394531,-29.498089049999997,,
34500,0.0007,148,-0.38142603635787964,0.047002602368593216,232,-0.5031019449234009,6900,259.58,0.25766974687576294,6899,-0.00029909610748291016,-22.079747740000002,,
35000,0.0007,,-0.25803908705711365,0.030329450964927673,,-0.2665482759475708,,,0.25015807151794434,6999,-0.0002447366714477539,,1000.0,979.7897160828113
35000,,161,,,217,,7000,259.58,,,,-22.079747740000002,,
35500,0.0007,162,-0.058270614594221115,0.010999245569109917,218,-0.0498124361038208,7100,269.14,0.24349507689476013,7099,0.000504612922668457,-14.497056389999997,,
36000,0.0007,163,-0.22999639809131622,0.07015495747327805,220,0.17628800868988037,7200,269.14,0.23669500648975372,7199,-0.001072525978088379,-14.497056389999997,,
36500,0.0007,164,-0.7519078850746155,0.2073584645986557,221,0.4099295139312744,7300,278.91,0.22984996438026428,7299,-0.000798344612121582,-6.869091840000005,,
37000,0.0007,165,-0.05881624296307564,0.03355545923113823,223,0.6480516791343689,7400,278.91,0.22313915193080902,7399,0.0009322762489318848,-6.869091840000005,,
37500,0.0007,167,-0.2737082839012146,0.02588009275496006,224,0.8712072372436523,7500,287.62,0.21695676445960999,7499,-0.0007433891296386719,2.273707870000001,,
38000,0.0007,168,-0.14617416262626648,0.01052201259881258,225,1.104822039604187,7600,287.62,0.21073207259178162,7599,-7.748603820800781e-05,2.273707870000001,,
