rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
,,,75000,,,539844.4375,0.0003,0.2,-0.07222387393412646,0.9352813363075256,973232.1572265625,0.224072265625,360,-22.998804008960725,0.022890195,3.0338764190673828e-05,65113.469668197635,1000.0
1000.0,53158.35319816,37,75776,653,116,,,,,,,,,,,,,
1000.0,53635.100887623375,38,77824,657,118,535875.0,0.0003,0.2,-0.07346794159675482,0.9341045022010803,1059223.618359375,0.235498046875,370,-22.964357644319534,0.023436867,-0.0018551349639892578,,
1000.0,54152.43775586075,39,79872,662,120,694932.4375,0.0003,0.2,-0.06610348325921223,0.9322764277458191,1543341.716796875,0.185546875,380,-22.941851872205735,0.018809564,-0.0018123388290405273,,
,,,80000,,,508705.90625,0.0003,0.2,-0.07138185198127758,0.9295755624771118,1406836.9025390625,0.22080078125,390,-22.896617406606673,0.022620205,0.0004215240478515625,66686.91766757965,1000.0
1000.0,54451.84491587654,40,81920,696,117,,,,,,,,,,,,,
1000.0,54851.536023313245,41,83968,701,119,757853.625,0.0003,0.2,-0.07675347528420388,0.9275840520858765,1300222.8435546875,0.244677734375,400,-22.85365777015686,0.026376106,3.916025161743164e-05,,
,,,85000,,,759472.75,0.0003,0.2,-0.0738249092915794,0.9263185858726501,1428424.752734375,0.2384765625,410,-22.827571761608123,0.023901248,3.898143768310547e-05,66963.74998703002,1000.0
1000.0,54985.4001319186,42,86016,735,116,,,,,,,,,,,,,
1000.0,55247.28709239773,43,88064,740,118,380407.875,0.0003,0.2,-0.07625358829682227,0.9237621426582336,829475.3396484375,0.2728515625,420,-22.788093507289886,0.026991004,2.3245811462402344e-06,,
,,,90000,,,729721.5625,0.0003,0.2,-0.07371735329506919,0.9203615784645081,1236043.9185546874,0.233984375,430,-22.73176297545433,0.023554798,-9.179115295410156e-06,61056.63071060181,1000.0
1000.0,55448.23129477778,44,90112,775,116,,,,,,,,,,,,,
1000.0,55734.79917864131,45,92160,780,118,606143.5,0.0003,0.2,-0.08052937200991436,0.9192634224891663,1216841.6681640625,0.262255859375,440,-22.693275356292723,0.026765687,1.8894672393798828e-05,,
1000.0,56116.880793478726,46,94208,784,120,693346.375,0.0003,0.2,-0.0734761916421121,0.9196746349334717,1341595.107421875,0.22421875,450,-22.6942768573761,0.021314908,-0.0017571449279785156,,
,,,95000,,,707783.0,0.0003,0.2,-0.06666981608141213,0.9176322221755981,1401238.375,0.215087890625,460,-22.67299502491951,0.021989802,0.00019168853759765625,59555.02575416565,1000.0
1000.0,56441.018953906256,47,96256,820,117,,,,,,,,,,,,,
1000.0,56533.97340403062,48,98304,824,119,637726.5,0.0003,0.2,-0.06894443787168711,0.9158540368080139,1360831.596875,0.223681640625,470,-22.64070932865143,0.024347454,0.00012612342834472656,,
,,,100000,,,574141.875,0.0003,0.2,-0.0759793450095458,0.914889395236969,1055788.481640625,0.26689453125,480,-22.613353395462035,0.027675115,2.6464462280273438e-05,62204.50581359863,1000.0
1000.0,56892.254281120004,49,100352,861,116,,,,,,,,,,,,,
1000.0,57582.73146819,50,102400,865,118,753986.125,0.0003,0.2,-0.08008229973784182,0.9139881134033203,1471882.96796875,0.26044921875,490,-22.593354201316835,0.025000334,-8.940696716308594e-06,,
