rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length
5.47,46,-4.07755387,536,2937,63,0.0003,-7.215407848358154,2.4336965084075928,2836,0.4306219220161438,-16.136917114257812,,
5.52,47,-4.00991542,540,2964,63,0.0003,-7.837102890014648,2.613469362258911,2863,0.4271645247936249,-16.02684783935547,,
5.57,47,-4.0996191600000005,544,2994,63,0.0003,-7.2648234367370605,2.5137100219726562,2893,0.42336589097976685,-16.349849700927734,,
5.64,47,-4.1383220099999996,548,3017,63,0.0003,-7.846623420715332,2.0264923572540283,2916,0.42046937346458435,-16.468273162841797,,
5.69,48,-4.2075420900000005,552,3039,63,0.0003,-7.325810432434082,1.869556188583374,2938,0.4177221655845642,-16.598670959472656,,
5.63,48,-4.127198740000001,556,3060,63,0.0003,-7.769867420196533,2.6314547061920166,2959,0.4151345193386078,-16.367483139038086,,
5.62,48,-4.0656640600000005,560,3082,63,0.0003,-8.044260025024414,2.6580209732055664,2981,0.4124661087989807,-15.968812942504883,,
5.54,49,-4.0577508,564,3103,63,0.0003,-7.71103048324585,2.6133434772491455,3002,0.4099816083908081,-15.996124267578125,,
5.59,49,-4.07937843,568,3129,63,0.0003,-6.951455116271973,2.1612300872802734,3028,0.4069491922855377,-16.465747833251953,,
5.62,49,-4.16984,572,3149,63,0.0003,-6.824032783508301,1.683229923248291,3048,0.4046228229999542,-16.457462310791016,,
5.66,50,-4.17600421,576,3174,63,0.0003,-7.227411270141602,2.247502088546753,3073,0.4017283320426941,-16.661602020263672,,
5.74,50,-4.27434696,580,3203,63,0.0003,-6.612336158752441,1.4544167518615723,3102,0.39837226271629333,-17.064220428466797,,
5.82,51,-4.25456677,584,3227,63,0.0003,-6.57285737991333,2.19102144241333,3126,0.39559245109558105,-17.155139923095703,,
5.8,51,-4.291901649999999,588,3252,63,0.0003,-6.590120315551758,2.407050132751465,3151,0.3927057683467865,-17.17217254638672,,
5.79,51,-4.20348035,592,3282,63,0.0003,-6.238969802856445,1.4937225580215454,3181,0.3892556428909302,-17.669361114501953,,
5.76,52,-4.08403809,596,3302,63,0.0003,-6.303969860076904,1.5369858741760254,3201,0.38697513937950134,-17.599933624267578,,
5.7,52,-3.9599905799999995,600,3325,63,0.0003,-6.641749382019043,2.0327634811401367,3224,0.3843652606010437,-17.565750122070312,,
5.71,52,-4.0006974,604,3342,63,0.0003,-6.878419876098633,1.8715319633483887,3241,0.38244175910949707,-18.198442459106445,,
5.72,53,-3.973688,608,3362,63,0.0003,-6.775138854980469,1.9564733505249023,3261,0.38018548488616943,-18.196434020996094,,
5.69,53,-3.9453391699999996,612,3382,63,0.0003,-6.192486763000488,1.6180058717727661,3281,0.37794116139411926,-18.36402130126953,,
5.68,53,-3.9309896799999997,616,3405,63,0.0003,-6.473428726196289,1.2531644105911255,3304,0.375355988740921,-18.411746978759766,,
5.67,54,-3.9028733499999997,620,3423,63,0.0003,-6.462209701538086,1.3570442199707031,3322,0.37334275245666504,-18.507484436035156,,
5.66,54,-3.8502352199999996,624,3445,63,0.0003,-6.175890922546387,1.4304744005203247,3344,0.3709028959274292,-18.630386352539062,,
5.74,54,-3.82320798,628,3472,63,0.0003,-5.779836654663086,1.2717094421386719,3371,0.36793363094329834,-18.597532272338867,,
5.78,55,-3.84531465,632,3494,63,0.0003,-5.779156684875488,1.407456398010254,3393,0.365536093711853,-18.69845962524414,,
5.88,55,-3.8886224599999997,636,3525,63,0.0003,-5.693881034851074,1.357393503189087,3424,0.36220860481262207,-18.884048461914062,,
5.83,56,-3.9951293299999997,640,3547,63,0.0003,-6.005847454071045,1.1915240287780762,3446,0.3598845303058624,-18.72343635559082,,
5.77,56,-3.8474038100000003,644,3571,63,0.0003,-5.614115238189697,1.298058032989502,3470,0.35738489031791687,-18.892107009887695,,
5.76,56,-3.77714789,648,3593,63,0.0003,-5.757867336273193,1.3622819185256958,3492,0.35511133074760437,-18.656177520751953,,
5.81,57,-3.7865528900000003,652,3620,63,0.0003,-5.139404773712158,1.1411330699920654,3519,0.35235080122947693,-18.96989631652832,,
5.84,57,-3.78649374,656,3644,63,0.0003,-5.531627655029297,1.0542974472045898,3543,0.34990036487579346,-19.150108337402344,,
5.9,57,-3.8232413,660,3672,63,0.0003,-5.362717628479004,1.1193904876708984,3571,0.34701812267303467,-19.616188049316406,,
5.87,58,-3.79066805,664,3690,63,0.0003,-5.333274841308594,0.9495662450790405,3589,0.34516993165016174,-19.933349609375,,
5.86,58,-3.68766207,668,3715,63,0.0003,-5.191685676574707,0.9797450304031372,3614,0.34261050820350647,-20.283126831054688,,
5.85,58,-3.642793449999999,672,3734,63,0.0003,-5.223995208740234,1.346738338470459,3633,0.340671569108963,-20.079185485839844,,
5.8,59,-3.672598489999999,676,3754,63,0.0003,-5.098236083984375,1.1790260076522827,3653,0.33863934874534607,-20.513032913208008,,
5.7,59,-3.49550328,680,3773,63,0.0003,-5.380274772644043,1.3527806997299194,3672,0.33670860528945923,-20.529964447021484,,
5.71,59,-3.5271760899999998,684,3798,63,0.0003,-5.0586748123168945,0.7436692118644714,3697,0.3341769278049469,-20.77617073059082,,
5.7,60,-3.49622476,688,3822,63,0.0003,-5.305080413818359,0.8504417538642883,3721,0.33177319169044495,-20.583946228027344,,
5.65,60,-3.4875552499999998,692,3847,63,0.0003,-5.494997978210449,0.9067766666412354,3746,0.32931485772132874,-20.45289421081543,,
5.64,60,-3.53184953,696,3866,63,0.0003,-4.856189250946045,0.7774385809898376,3765,0.32748743891716003,-20.449148178100586,,
5.64,61,-3.5696668600000003,700,3889,63,0.0003,-5.0614423751831055,0.9294052124023438,3788,0.3253176212310791,-20.24884605407715,,
5.69,61,-3.5258923200000005,704,3911,63,0.0003,-5.467351913452148,0.9276041984558105,3810,0.3232569694519043,-20.519105911254883,,
5.66,61,-3.5638857,708,3928,63,0.0003,-4.8601884841918945,0.9662450551986694,3827,0.32167312502861023,-20.58241081237793,,
5.73,62,-3.553144200000001,712,3955,63,0.0003,-4.507769584655762,0.8585472106933594,3854,0.31916654109954834,-20.811716079711914,,
5.75,62,-3.4635448599999994,716,3980,63,0.0003,-4.699786186218262,0.7421950101852417,3879,0.3168585002422333,-21.082731246948242,,
5.83,63,-3.46789148,720,4006,63,0.0003,-4.4511494636535645,0.9207826852798462,3905,0.31445741653442383,-21.24605941772461,,
5.81,63,-3.41250892,724,4026,63,0.0003,-4.615942001342773,0.7725611329078674,3925,0.31261080503463745,-21.478233337402344,,
5.81,63,-3.40169305,728,4053,63,0.0003,-4.078868865966797,0.7858909368515015,3952,0.3101279139518738,-21.708099365234375,,
5.82,64,-3.40635494,732,4076,63,0.0003,-4.721587657928467,0.6526844501495361,3975,0.3080179989337921,-21.998918533325195,,
5.68,64,-3.302896960000001,736,4093,63,0.0003,-4.32139778137207,0.6770461797714233,3992,0.3064538538455963,-22.103870391845703,,
5.75,64,-3.1848680799999998,740,4122,63,0.0003,-4.565823554992676,0.7104672789573669,4021,0.3037921190261841,-22.476781845092773,,
5.76,65,-3.222376239999999,744,4147,63,0.0003,-4.206113815307617,0.8537194728851318,4046,0.30150723457336426,-22.586177825927734,,
5.74,65,-3.25340461,748,4167,63,0.0003,-4.500327110290527,0.6784436106681824,4066,0.29969003796577454,-22.60793685913086,,
5.7,65,-3.262840630000001,752,4190,63,0.0003,-4.027368545532227,0.752730667591095,4089,0.2976168692111969,-22.697017669677734,,
5.73,66,-3.28789458,756,4217,63,0.0003,-4.649980068206787,0.6393702030181885,4116,0.29520517587661743,-22.786989212036133,,
5.68,66,-3.25548132,760,4240,63,0.0003,-4.028622150421143,0.7021185159683228,4139,0.29317089915275574,-22.885860443115234,,
5.78,67,-3.2911848000000004,764,4268,63,0.0003,-4.414731025695801,0.6121928691864014,4167,0.29071468114852905,-22.972003936767578,,
5.74,67,-3.3442935,768,4289,63,0.0003,-4.1060662269592285,0.55274897813797,4188,0.2888941168785095,-23.148427963256836,,
5.8,67,-3.3506910500000004,772,4314,63,0.0003,-4.247518539428711,0.6148631572723389,4213,0.2867439091205597,-23.432880401611328,,
5.83,68,-3.296170820000001,776,4337,63,0.0003,-4.168689250946045,0.6177388429641724,4236,0.28478771448135376,-23.3074951171875,,
6.02,68,-3.39864161,780,4375,63,0.0003,-4.002568244934082,0.7381861209869385,4274,0.28159162402153015,-23.53211212158203,,
