time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,73000,,,,-307.1532512207031,0.001,276.49638857269287,72633,1000.0,9319.64407339096
,,74000,,,,-307.62838671875,0.001,272.95408988189695,73633,1000.0,9320.098170185089
648,1016,74733,590.95,5502.730535819999,73,,,,,,
,,75000,,,,-309.1878433837891,0.001,276.1954721298218,74633,1000.0,9319.904166698456
,,76000,,,,-310.4023586425781,0.001,285.8454634552002,75633,1000.0,9319.867513847352
,,77000,,,,-312.0006499633789,0.001,267.24347636413574,76633,1000.0,9320.142785930633
,,78000,,,,-314.07136968994143,0.001,254.36770294952393,77633,1000.0,9320.462631320954
652,1078,78733,626.96,5838.798962380001,72,,,,,,
,,79000,,,,-315.74488745117185,0.001,244.25144175720214,78633,1000.0,9320.282812786103
,,80000,,,,-318.36634075927736,0.001,235.85902159118652,79633,1000.0,9319.698151683808
,,81000,,,,-319.7289956665039,0.001,249.54114128875733,80633,1000.0,9319.561972904205
,,82000,,,,-322.0767127075195,0.001,241.83197631835938,81633,1000.0,9318.882021903992
656,1142,82733,664.6,6190.045036670001,72,,,,,,
,,83000,,,,-323.3332584838867,0.001,234.71027422332764,82633,1000.0,9318.607689476014
,,84000,,,,-324.145850402832,0.001,249.68703004455566,83633,1000.0,9319.078688812257
,,85000,,,,-327.0297716674805,0.001,276.3143515930176,84633,1000.0,9318.75698852539
,,86000,,,,-329.25279046630857,0.001,262.76883127593993,85633,1000.0,9319.634637355804
660,1206,86733,702.55,6544.150216530001,71,,,,,,
,,87000,,,,-329.440749206543,0.001,267.1347598953247,86633,1000.0,9319.548344993591
,,88000,,,,-331.6159058227539,0.001,266.43920468902587,87633,1000.0,9322.42945947647
,,89000,,,,-332.75285559082033,0.001,290.9025135269165,88633,1000.0,9319.877967548371
,,90000,,,,-334.132104309082,0.001,281.0781226425171,89633,1000.0,9319.310547447205
664,1274,90733,735.17,6848.622998070001,71,,,,,,
,,91000,,,,-336.9436167602539,0.001,255.99981704711914,90633,1000.0,9322.319039344788
,,92000,,,,-338.6049627685547,0.001,236.82128104400635,91633,1000.0,9323.491037368774
,,93000,,,,-339.8520433959961,0.001,243.72450494384765,92633,1000.0,9319.834143543243
,,94000,,,,-341.84973907470703,0.001,261.77369696807864,93633,1000.0,9320.646212863921
668,1343,94733,773.13,7202.930582100001,70,,,,,,
,,95000,,,,-342.55173040771484,0.001,307.17672636413573,94633,1000.0,9323.187332820893
,,96000,,,,-343.41063928222655,0.001,297.5831721572876,95633,1000.0,9320.153372859955
,,97000,,,,-344.39921197509767,0.001,249.36393914794922,96633,1000.0,9319.870732688903
,,98000,,,,-345.7157498779297,0.001,240.29268849182128,97633,1000.0,9318.974230098724
672,1414,98733,811.0,7556.36129639,69,,,,,,
