time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
3508,42,676,82,5.19,3.99502906,0.0003,-18.176864624023438,3407,2.8222591876983643,-11.619046211242676,0.3657287061214447,,
3528,43,680,81,5.12,3.95106118,0.0003,-18.79258918762207,3427,3.0306272506713867,-10.714603424072266,0.36356332898139954,,
3548,43,684,81,5.07,3.9010776500000004,0.0003,-18.775653839111328,3447,3.2306933403015137,-10.762763023376465,0.3613940179347992,,
3567,43,688,81,5.05,3.88014684,0.0003,-19.248249053955078,3466,2.4757132530212402,-9.939866065979004,0.359346866607666,,
3585,43,692,81,4.94,3.75925534,0.0003,-19.383777618408203,3484,2.819518566131592,-10.74384880065918,0.3574034869670868,,
3612,44,696,81,4.98,3.7647253600000004,0.0003,-19.33209991455078,3511,2.787525177001953,-10.414894104003906,0.35449469089508057,,
3632,44,700,81,4.98,3.77433811,0.0003,-19.268478393554688,3531,2.8922924995422363,-11.601092338562012,0.35236647725105286,,
3649,44,704,81,4.92,3.75667693,0.0003,-19.45829200744629,3548,2.621607780456543,-10.657844543457031,0.35058099031448364,,
3665,44,708,81,4.86,3.70087176,0.0003,-19.52039337158203,3564,2.785520315170288,-10.233835220336914,0.3489123582839966,,
3684,45,712,81,4.83,3.7065027,0.0003,-19.683788299560547,3583,2.688366174697876,-10.848731994628906,0.3469335734844208,,
3705,45,716,81,4.89,3.8014425200000006,0.0003,-19.804519653320312,3604,2.4756791591644287,-10.593498229980469,0.34475210309028625,,
3721,45,720,81,4.87,3.8301896899999996,0.0003,-19.95601463317871,3620,2.197679042816162,-10.587034225463867,0.3430989980697632,,
3741,45,724,81,4.89,3.91390076,0.0003,-19.888282775878906,3640,2.7781591415405273,-10.763019561767578,0.3410443067550659,,
3763,46,728,81,4.92,3.97732216,0.0003,-20.231250762939453,3662,1.9616492986679077,-10.267882347106934,0.33879420161247253,,
3791,46,732,81,4.97,4.048941419999999,0.0003,-19.655702590942383,3690,3.022801399230957,-10.203001976013184,0.3359720706939697,,
3814,46,736,81,5.06,4.11237126,0.0003,-19.222780227661133,3713,2.2683019638061523,-10.631120681762695,0.3337145745754242,,
3830,46,740,81,5.01,4.08619557,0.0003,-19.275747299194336,3729,2.3540449142456055,-10.071447372436523,0.33218610286712646,,
3846,47,744,81,4.91,3.983668370000001,0.0003,-18.9993839263916,3745,2.2309532165527344,-10.092607498168945,0.33068937063217163,,
3869,47,748,81,4.98,4.013981340000001,0.0003,-19.472915649414062,3768,2.423084259033203,-10.50760269165039,0.3285333514213562,,
3898,47,752,81,5.06,4.0773568099999995,0.0003,-20.120275497436523,3797,2.1702489852905273,-9.454237937927246,0.325784832239151,,
3913,47,756,81,4.99,4.02610002,0.0003,-20.664783477783203,3812,2.015263557434082,-9.790519714355469,0.32436785101890564,,
3933,48,760,81,4.97,4.03997247,0.0003,-20.511524200439453,3832,2.2932381629943848,-10.038534164428711,0.32246530055999756,,
3960,48,764,81,5.06,4.12427161,0.0003,-21.151037216186523,3859,2.0931336879730225,-9.442070007324219,0.3199068605899811,,
3986,48,768,81,5.15,4.1667023599999995,0.0003,-21.035324096679688,3885,1.9949557781219482,-9.271464347839355,0.31744810938835144,,
4002,49,772,81,5.1,4.14323183,0.0003,-21.46814727783203,3901,1.5123803615570068,-8.992097854614258,0.3159352242946625,,
4025,49,776,81,5.17,4.2041749600000005,0.0003,-21.52875518798828,3924,1.7135697603225708,-8.904508590698242,0.3137527108192444,,
4041,49,780,81,5.13,4.183707979999999,0.0003,-21.87196922302246,3940,1.4562588930130005,-9.115413665771484,0.3122415840625763,,
4066,49,784,81,5.18,4.20890453,0.0003,-22.014102935791016,3965,2.0540683269500732,-10.002738952636719,0.309872567653656,,
4082,50,788,81,5.15,4.17059381,0.0003,-22.295108795166016,3981,1.6121212244033813,-8.971948623657227,0.308358758687973,,
4110,50,792,81,5.25,4.30230939,0.0003,-22.34119415283203,4009,1.4564824104309082,-9.143095970153809,0.3057136535644531,,
4132,50,796,81,5.2,4.32060423,0.0003,-22.504552841186523,4031,1.6740955114364624,-9.655152320861816,0.30365902185440063,,
4152,50,800,81,5.2,4.29972505,0.0003,-21.79159164428711,4051,1.741133213043213,-8.86137580871582,0.30182528495788574,,
4172,51,804,81,5.23,4.31192756,0.0003,-21.900894165039062,4071,1.479584813117981,-8.657158851623535,0.3000221252441406,,
4199,51,808,81,5.34,4.384392620000001,0.0003,-21.65948486328125,4098,1.8585361242294312,-9.041116714477539,0.29764601588249207,,
4219,51,812,81,5.35,4.39587243,0.0003,-21.79192352294922,4118,2.0092382431030273,-8.915244102478027,0.29592588543891907,,
4236,52,816,81,5.31,4.31729714,0.0003,-21.925827026367188,4135,1.3866381645202637,-8.985282897949219,0.2944782078266144,,
4259,52,820,81,5.38,4.325252979999999,0.0003,-21.809432983398438,4158,1.6092405319213867,-9.083651542663574,0.29252511262893677,,
4275,52,824,81,5.34,4.25238186,0.0003,-22.210731506347656,4174,2.0400443077087402,-8.793081283569336,0.29116585850715637,,
4302,52,828,81,5.39,4.299431869999999,0.0003,-22.40943145751953,4201,1.4879605770111084,-9.035503387451172,0.28886255621910095,,
4321,53,832,81,5.3,4.15545977,0.0003,-22.459810256958008,4220,1.8471441268920898,-8.499849319458008,0.28724002838134766,,
4341,53,836,81,5.27,4.1246896600000005,0.0003,-22.673585891723633,4240,1.6978819370269775,-8.814146041870117,0.2855475842952728,,
4364,53,840,81,5.34,4.14923701,0.0003,-22.250404357910156,4263,1.5705845355987549,-8.777338027954102,0.2836221158504486,,
