time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
28421,189.31533055,0.001,113,28296,-59.06998513669384,250,94.13,724,9.59910967398663,,
28812,190.45902483999998,0.001,113,28683,-57.91673108364673,253,94.82,728,7.388610366811144,,
29154,189.60834528000004,0.001,113,29035,-59.9855509671298,256,94.74,732,11.7826351550088,,
29491,188.71634622999997,0.001,113,29372,-60.06981756520826,259,94.62,736,10.262602702309104,,
29832,188.04039223,0.001,113,29719,-59.31872443265693,262,94.45,740,11.1519446825159,,
30000,,0.001,,29966,-60.70115583370893,,,,7.337151067597525,77.85,146.85415179133415
30149,186.72205943,0.001,112,30044,-61.0123162880922,267,94.03,744,12.17823290060728,,
30515,186.06535414,0.001,112,30390,-60.63683557510376,270,94.03,748,6.658661061839053,,
30888,185.52040885000005,0.001,113,30768,-59.7308289071788,273,94.07,752,7.476778323833759,,
31282,185.33354438000006,0.001,113,31155,-61.29403637825175,276,94.29,756,13.3492480414979,,
31672,185.40673621,0.001,113,31548,-61.21788192749023,280,94.51,760,9.506480618715287,,
32065,185.81423359999997,0.001,113,31939,-62.354534225463865,283,94.68,764,9.460047364234924,,
32453,186.49375999999995,0.001,113,32329,-62.18728041648865,286,94.74,768,14.63586022927589,,
32500,,0.001,,32426,-61.826393750249125,,,,8.796074966794437,97.9,204.01145166158676
32844,187.05008804000005,0.001,112,32719,-61.97608940124512,291,94.81,772,8.116816402673722,,
33234,187.56286801000005,0.001,112,33108,-62.6895698706309,294,94.85,776,10.955247089266777,,
33624,188.23538664999995,0.001,112,33499,-62.368068227962574,298,94.94,780,5.528782070899497,,
34018,188.72277019999999,0.001,112,33890,-62.72015953063965,301,94.94,784,8.354917037366617,,
34408,188.99698306000002,0.001,112,34282,-63.21231412887573,304,94.99,788,7.945454338977211,,
34802,189.32867579,0.001,112,34677,-63.7002203805106,308,95.1,792,6.012477637553702,,
35000,,0.001,,34873,-63.79429190499442,,,,7.231642583195044,98.25,199.86661788225175
35195,189.68218340999994,0.001,112,35071,-63.41679763793945,314,95.17,796,8.834990710327306,,
35579,189.92631791,0.001,112,35454,-63.85191671053568,317,95.17,800,12.57216070095698,,
35960,189.8953866,0.001,112,35840,-64.20179255803426,320,95.06,804,13.004858779907227,,
36340,189.93831993,0.001,112,36219,-64.61958962298453,323,94.94,808,11.631945138228566,,
36724,190.01536003999993,0.001,112,36602,-65.39931162198384,326,94.85,812,7.304578650742769,,
37106,190.31011546999994,0.001,112,36985,-63.93880875905355,330,94.77,816,6.9378499591473455,,
37482,190.25680125999995,0.001,112,37362,-65.47108197212219,333,94.55,820,6.055740299324195,,
37500,,0.001,,37455,-64.6236573924189,,,,8.330100536346436,95.0,197.5059121608734
37860,190.29243334999998,0.001,111,37738,-64.66028814112886,338,94.39,824,11.266164547653608,,
38239,190.58804688,0.001,111,38118,-64.52715007464091,341,94.27,828,9.045852023676822,,
38617,192.25237992999996,0.001,112,38496,-64.71079111099243,344,94.63,832,5.929779294878244,,
38997,194.16383971999997,0.001,112,38876,-64.28641804059346,347,95.06,836,10.554683644324541,,
39384,195.36206389,0.001,112,39258,-65.69915620485942,351,95.52,840,8.115300221989552,,
39760,197.16268118999997,0.001,112,39640,-64.72228588528104,354,96.11,844,7.379094163576762,,
40000,,0.001,,39923,-65.63022216161092,,,,10.740787482753243,94.0,188.97834466993808
40138,197.80483421999995,0.001,111,40021,-64.93663702205735,359,96.23,848,9.250634462249522,,
40520,198.33216098999998,0.001,111,40401,-65.00716876983643,362,96.32,852,9.163314893073643,,
40895,198.19570331000003,0.001,111,40773,-65.16675625676694,365,96.13,856,8.02743847011238,,
41285,198.12277321,0.001,111,41161,-64.36557466156628,368,96.13,860,8.677866010033355,,
41675,197.77033082000003,0.001,111,41548,-65.39943183898926,372,96.1,864,6.730192708246635,,
42057,197.22285174999996,0.001,112,41930,-65.41701312775308,375,96.04,868,5.74747746862391,,
42388,195.68144718999997,0.001,112,42266,-65.9987932020618,378,95.44,872,13.083066213515497,,
42500,,0.001,,42453,-65.4619549461033,,,,10.652334915555041,89.15,177.3449633181095
42723,194.1096114,0.001,111,42605,-65.66093338367551,383,94.89,876,11.242034278636755,,
43078,193.06972412000002,0.001,111,42957,-65.38040203518338,386,94.54,880,5.464383379618327,,
43457,192.40863663000005,0.001,111,43333,-64.52311397734142,389,94.39,884,4.883859057987437,,
43830,191.94775023000003,0.001,111,43711,-64.65359560648601,392,94.22,888,8.42406633219768,,
44212,191.67305218999994,0.001,111,44091,-65.67697369322485,395,94.1,892,5.488310534544666,,
44603,191.44867766,0.001,111,44481,-66.13043360807458,398,94.08,896,6.900937513871626,,
44985,191.27099159000002,0.001,111,44865,-64.27583337337413,401,94.06,900,8.130978246952624,,
45000,,0.001,,44958,-65.2159109724329,,,,5.74715869657455,95.5,201.38959768116473
45339,190.66835844999997,0.001,111,45218,-65.81507054497214,407,93.79,904,5.199561017401078,,
45719,190.85405545999998,0.001,111,45598,-64.92203561464946,410,93.79,908,6.445454893614117,,
46098,190.87098728,0.001,111,45976,-66.0722889105479,413,93.74,912,7.427893380114907,,
46482,190.94296976,0.001,111,46357,-64.87986000378926,416,93.76,916,6.588996055225532,,
46856,190.71729992000002,0.001,111,46743,-64.74691772460938,420,93.74,920,6.889674239409597,,
47175,189.0348844,0.001,111,47067,-65.32022705078126,422,93.15,924,6.042984990426052,,
47499,187.42493548000004,0.001,111,47392,-64.72124146252143,425,92.6,928,5.383554126009529,,
47500,,0.001,,47472,-65.379958152771,,,,9.513128501176833,79.4,149.2003554522991
47822,185.61031009000007,0.001,111,47715,-66.16859455597707,429,92.05,932,9.556659746773635,,
48173,184.5002171,0.001,111,48054,-64.4112019105391,432,91.76,936,5.3179236170889315,,
48559,184.40360612,0.001,111,48436,-64.30356844266255,435,91.75,940,7.024466003869709,,
48941,184.23880067,0.001,111,48822,-63.80621829562717,438,91.81,944,2.802538812160492,,
49331,184.49472686,0.001,111,49209,-64.52055877685547,441,91.93,948,6.561665303636305,,
49727,184.67264328000002,0.001,111,49600,-65.11430433684704,445,92.07,952,6.571700133899651,,
50000,,0.001,,49897,-65.22159997622173,,,,8.881621970343836,98.6,201.6192574173212
50122,185.09562931,0.001,111,49997,-64.18499198913574,450,92.27,956,6.693258695602417,,
