time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
153600,75,360,324.59537914,68.05,426,0.0003,0.016580932,740,0.935602605342865,0.2,-22.948555493354796,176.4674530029297,0.1296875,0.8255864530801773,420.61644015312197,-0.042359397525433454,,
155000,,,,,,0.0003,0.017785504,750,0.9353231191635132,0.2,-22.95110317468643,168.97337341308594,0.144287109375,0.8471489548683167,387.04666051864626,-0.04505282286845613,55.05,281.39615594893695
155648,76,359,323.57741932,67.36,433,,,,,,,,,,,,,
157696,77,359,313.78776049000004,65.26,438,0.0003,0.017476536,760,0.9349082112312317,0.2,-22.94474654197693,175.48532104492188,0.14150390625,0.8563486486673355,343.5582308769226,-0.044206291690352374,,
159744,78,359,324.30196573,67.03,443,0.0003,0.017914997,770,0.9343536496162415,0.2,-22.934249031543732,132.94866943359375,0.1353515625,0.8728354126214981,345.22548246383667,-0.043293774488847706,,
160000,,,,,,0.0003,0.016971603,780,0.9324330687522888,0.2,-22.91244358420372,120.96564483642578,0.138134765625,0.8552521616220474,373.20457196235657,-0.04387527318904176,65.6,338.3231681525707
161792,79,358,326.12561238,67.73,451,,,,,,,,,,,,,
163840,80,358,319.45313728,66.34,456,0.0003,0.01647525,790,0.9316734075546265,0.2,-22.886853778362273,114.5626449584961,0.130126953125,0.8737280964851379,381.2113658428192,-0.04200477272388525,,
165000,,,,,,0.0003,0.016746782,800,0.9303386211395264,0.2,-22.866063392162324,106.5071029663086,0.14765625,0.8911112919449806,309.8469562768936,-0.043951214823755434,66.6,345.90839393734933
165888,81,357,314.65945451000005,65.48,464,,,,,,,,,,,,,
167936,82,357,320.44739395,66.59,470,0.0003,0.01737614,810,0.9301588535308838,0.2,-22.85441037416458,168.4954833984375,0.140966796875,0.8766654431819916,351.35731463432313,-0.046248851279960944,,
169984,83,356,325.69938964,67.33,476,0.0003,0.015186565,820,0.9285698533058167,0.2,-22.837247931957243,115.36524963378906,0.11328125,0.8545752167701721,405.9387394428253,-0.041089184433803896,,
170000,,,,,,0.0003,0.017155502,830,0.9278464913368225,0.2,-22.815872371196747,119.0932846069336,0.13720703125,0.8913596346974373,294.6031806945801,-0.04406242594122887,66.15,344.1216351665556
172032,84,355,330.75773968,68.72,484,,,,,,,,,,,,,
174080,85,355,334.26957746,69.75,490,0.0003,0.016263612,840,0.9275555610656738,0.2,-22.804127669334413,198.75486755371094,0.1265625,0.8734821379184723,396.9516775608063,-0.04279142628074624,,
175000,,,,,,0.0003,0.016419012,850,0.9254973530769348,0.2,-22.783037370443346,224.12484741210938,0.11953125,0.7993116676807404,522.2239168167114,-0.04011502562498208,68.7,358.1607786655426
176128,86,353,342.51226695,71.72,498,,,,,,,,,,,,,
178176,87,352,345.14831151,72.12,505,0.0003,0.016477332,860,0.9253560304641724,0.2,-22.760881853103637,119.87442016601562,0.12021484375,0.8732025176286697,382.6257402420044,-0.04014474505675025,,
180000,,,,,,0.0003,0.017259117,870,0.9253095984458923,0.2,-22.76222594976425,96.4149169921875,0.144970703125,0.8874856233596802,348.012002325058,-0.04607326988771092,68.5,355.73234225958583
180224,88,350,342.94826277,72.55,513,,,,,,,,,,,,,
182272,89,350,334.65110852000004,70.2,519,0.0003,0.017167285,880,0.925455629825592,0.2,-22.761978578567504,106.68389892578125,0.1380859375,0.8749701231718063,397.5194167137146,-0.04240721050882712,,
184320,90,351,342.97696013999996,71.83,524,0.0003,0.016746985,890,0.925598680973053,0.2,-22.763531076908112,167.16343688964844,0.128369140625,0.8386838585138321,492.28418164253236,-0.041037590763880874,,
185000,,,,,,0.0003,0.015552415,900,0.9256317019462585,0.2,-22.763822597265243,97.97669219970703,0.120703125,0.8387870937585831,418.4857091426849,-0.040744543739128856,64.95,335.5483321812004
186368,91,350,346.34290081000006,71.67,531,,,,,,,,,,,,,
188416,92,351,349.37646664000005,71.6,536,0.0003,0.018074702,910,0.9237349033355713,0.2,-22.746048134565353,119.52266693115234,0.13994140625,0.90474484115839,288.3380120038986,-0.04489742294535972,,
190000,,,,,,0.0003,0.018759716,920,0.9230896234512329,0.2,-22.723160099983215,183.6042022705078,0.14736328125,0.8909799084067345,367.59142861366274,-0.04396502947201952,70.15,361.1197763774544
190464,93,349,346.3102079599999,71.45,544,,,,,,,,,,,,,
192512,94,349,337.70021587,70.46,550,0.0003,0.014757441,930,0.9217322468757629,0.2,-22.703661555051802,192.1868438720703,0.116943359375,0.8112553209066391,550.6489914894104,-0.04045673282817006,,
