time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
165,9412,22.02,37.523831959999995,56,436,9299,0.7458777007731524,0.001,-15.949900193647904,,
165,9501,22.0,37.4910167,57,440,9388,0.9218497988970383,0.001,-15.787599722544352,,
165,9590,22.02,37.513064719999996,57,444,9476,0.8275144696235657,0.001,-15.954274611039596,,
165,9678,22.01,37.49978591,58,448,9565,0.7028325728394769,0.001,-16.310788761485707,,
165,9766,22.0,37.46892493,58,452,9653,0.7062881886959076,0.001,-15.97723744132302,,
165,9854,22.0,37.46930846000001,59,456,9741,0.6246825592084364,0.001,-15.868969397111373,,
165,9941,22.0,37.47439338,59,460,9828,0.5767375642345065,0.001,-15.747792504050516,,
,10000,,,,,9896,0.4966142773628235,0.001,-15.687339385350546,22.15,37.80243047177792
164,10031,22.01,37.47199539,60,464,9918,0.6112800335342233,0.001,-16.178368048234418,,
164,10120,22.02,37.487318869999996,61,468,10006,0.5427847030487928,0.001,-15.757783889770508,,
164,10210,22.06,37.54451433999999,61,472,10096,0.6107070622119036,0.001,-16.13621425628662,,
164,10301,22.09,37.58498496,62,476,10187,0.6249068807000699,0.001,-15.934565284035422,,
164,10389,22.09,37.58390987999999,63,480,10276,0.9170116809281436,0.001,-15.772979996421121,,
164,10477,22.09,37.583009579999995,63,484,10364,0.8524959328628722,0.001,-15.83488299629905,,
164,10565,22.1,37.58691666,64,488,10453,0.5328377932310104,0.001,-16.08431911468506,,
164,10655,22.14,37.64199309,64,492,10542,0.9191058485404305,0.001,-15.93463397026062,,
164,10743,22.14,37.63934953,65,496,10630,0.5545549839735031,0.001,-15.71273118799383,,
164,10830,22.14,37.63800014000001,65,500,10718,0.780422085807437,0.001,-15.913421370766379,,
164,10919,22.15,37.661298529999996,66,504,10806,0.697739991274747,0.001,-15.829031597484242,,
164,11009,22.15,37.66685919,66,508,10895,0.8036614824896273,0.001,-16.13256125016646,,
165,11096,22.11,37.613542159999994,67,512,10983,0.586033055728132,0.001,-15.675224044106223,,
164,11186,22.12,37.62452085999999,67,516,11072,0.8538809635422446,0.001,-16.327514475042168,,
164,11276,22.15,37.660886770000005,68,520,11163,1.0589471355728481,0.001,-15.636951013044877,,
164,11366,22.17,37.693876419999995,68,524,11252,0.5425229682163759,0.001,-15.237542152404785,,
164,11455,22.19,37.71621545000001,69,528,11342,0.6242370740933851,0.001,-15.630199692466043,,
164,11543,22.19,37.71629882,70,532,11431,0.6061306388481803,0.001,-16.024137930436567,,
164,11633,22.21,37.740424049999994,70,536,11519,0.48021791162698163,0.001,-16.133980404246937,,
164,11721,22.2,37.71626705,71,540,11608,0.6561314016580582,0.001,-15.909734899347479,,
164,11811,22.21,37.7308624,71,544,11698,0.8940774850223375,0.001,-15.519243796666464,,
164,11900,22.22,37.75453387999999,72,548,11786,0.4765888127413663,0.001,-15.646139404990457,,
164,11990,22.24,37.79330783999999,72,552,11876,0.6247253824364055,0.001,-15.83270619132302,,
164,12080,22.26,37.81673214999999,73,556,11966,0.5787929621609774,0.001,-16.182034925981,,
164,12168,22.27,37.823117780000004,73,560,12055,0.5440203967419538,0.001,-15.293269157409668,,
164,12254,22.23,37.77196756,74,564,12142,0.7553638260472905,0.001,-15.415618029507725,,
164,12342,22.22,37.75469476999999,74,568,12229,0.6207080415704034,0.001,-15.14664311842485,,
164,12432,22.22,37.760963569999994,75,572,12318,0.5686683240144149,0.001,-15.375394741694132,,
,12500,,,,,12407,0.5836711142744336,0.001,-15.367318725585937,22.15,37.80246131122112
164,12521,22.2,37.72684238,76,576,,,,,,
164,12612,22.23,37.765275179999996,76,580,12498,0.4828800003636967,0.001,-15.674982937899502,,
164,12700,22.23,37.761922299999995,77,584,12588,0.7170176298721976,0.001,-15.987271467844645,,
164,12788,22.23,37.766530089999996,77,588,12675,0.6600881774317134,0.001,-15.620282953435725,,
164,12877,22.22,37.76143092999999,78,592,12764,0.5612887821414254,0.001,-15.29230733351274,,
164,12964,22.21,37.75243173999999,78,596,12851,0.5094424757090482,0.001,-15.565367265181107,,
164,13054,22.24,37.79018755999999,79,600,12940,0.5577005432410673,0.001,-15.342811671170322,,
164,13141,22.22,37.75454459,79,604,13029,0.48981074311516504,0.001,-15.471572529185902,,
164,13231,22.22,37.766831859999996,80,608,13117,0.8651782274246216,0.001,-15.713318477977406,,
164,13320,22.24,37.80442519999999,80,612,13206,0.7793428735299543,0.001,-15.830740235068582,,
164,13407,22.21,37.78245147,81,616,13294,0.7880838757211511,0.001,-15.881132732738148,,
164,13496,22.2,37.77390808999999,82,620,13383,0.724854659775029,0.001,-15.420678052035244,,
164,13586,22.2,37.78142167000001,82,624,13473,0.6229790963909843,0.001,-15.796636494723233,,
164,13673,22.18,37.76409407,83,628,13561,0.6387934897627149,0.001,-16.275380516052245,,
164,13763,22.2,37.79566971,83,632,13649,0.6088641665198586,0.001,-16.285937222567473,,
164,13851,22.18,37.78061202,84,636,13738,0.5495436205105348,0.001,-15.914306380532004,,
164,13940,22.19,37.81620732,84,640,13826,0.9095697958361019,0.001,-15.795088507912375,,
164,14028,22.17,37.80123971,85,644,13914,0.751301299958002,0.001,-15.602689569646662,,
164,14117,22.17,37.80809513,85,648,14004,0.6603809283538298,0.001,-16.03356292031028,,
164,14205,22.15,37.776556209999995,86,652,14092,0.7043470171364871,0.001,-15.98272687738592,,
164,14294,22.14,37.787226649999994,87,656,14181,0.7380214888941158,0.001,-15.861710548400879,,
164,14384,22.16,37.834606869999995,87,660,14271,0.6212321597596874,0.001,-15.933317617936568,,
164,14474,22.2,37.906836289999994,88,664,14360,0.701874791280083,0.001,-15.552735805511475,,
164,14562,22.2,37.91817098,88,668,14449,0.6484075730497186,0.001,-16.035198558460582,,
164,14651,22.19,37.91283566,89,672,14538,0.5764990137381987,0.001,-15.45957088470459,,
164,14736,22.15,37.869841349999994,89,676,14624,0.5805118503895673,0.001,-16.180223551663484,,
164,14825,22.13,37.855711649999996,90,680,14712,0.6496636772697623,0.001,-16.44383127039129,,
164,14913,22.13,37.86791183,90,684,14801,0.5236487077041105,0.001,-15.83550028367476,,
,15000,,,,,14888,0.5096017826687206,0.001,-15.891770362854004,22.05,37.89948900341987
163,15002,22.14,37.891262929999996,91,688,,,,,,
164,15091,22.14,37.894358520000004,92,692,14977,0.6377233659679239,0.001,-15.61190128326416,,
164,15178,22.14,37.90688601,92,696,15066,0.7203595665368167,0.001,-15.62624367800626,,
164,15266,22.12,37.88856567,93,700,15153,0.5637767843224786,0.001,-15.48829832944003,,
164,15354,22.13,37.901553209999996,93,704,15241,0.5363674624399706,0.001,-15.944015849720348,,
164,15442,22.11,37.86886631,93,708,15328,0.5168831050395966,0.001,-15.79898652163419,,
164,15531,22.11,37.85900392,94,712,15418,0.5084907249970869,0.001,-15.688493381847035,,
164,15618,22.11,37.84985788,94,716,15505,0.6904800073667006,0.001,-15.852398005398838,,
164,15706,22.1,37.84902429,95,720,15593,0.5602363889867609,0.001,-15.880079702897506,,
164,15793,22.07,37.809601459999996,96,724,15681,0.5249301831830632,0.001,-16.153054584156383,,
164,15882,22.09,37.839696669999995,96,728,15769,0.5108278890450796,0.001,-15.837033748626709,,
164,15970,22.07,37.81665043,97,732,15856,0.5404602289199829,0.001,-16.165197805924848,,
164,16057,22.06,37.79821314,97,736,15944,0.4932811070572246,0.001,-15.667070042003285,,
164,16144,22.04,37.767786570000005,98,740,16031,1.02486798573624,0.001,-15.881480303677646,,
164,16233,22.05,37.78615205,98,744,16121,0.5989781631075818,0.001,-16.087179617448285,,
164,16321,22.04,37.76463786,99,748,16208,0.6573727286997295,0.001,-15.88690220225941,,
164,16409,22.04,37.76567355,99,752,16296,0.7186477360400286,0.001,-15.836822509765625,,
164,16498,22.04,37.75553881,100,756,16384,0.6222004849802364,0.001,-16.108140685341574,,
164,16587,22.03,37.736591049999994,100,760,16474,0.4669457416642796,0.001,-16.285060969266024,,
