time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
,,700000,,,,0.001,699604,-111.93275272566387,9.152780001163483,438.95,1274.968964910507
7123,298.84,701833,824.2561429899998,98,2544,0.001,700734,-111.76963067562022,8.191720934307321,,
,,702500,,,,0.001,702083,-111.62193280801006,7.640615670250616,367.6,1079.014127895236
7153,304.54,703361,840.5323435999999,98,2548,0.001,702907,-112.0584892911533,9.647365059884109,,
,,705000,,,,0.001,703980,-111.74454652502182,7.441461491457959,375.75,924.4755415767431
7182,315.38,705435,854.1055666899998,98,2552,0.001,704980,-111.65766374206542,9.681038116335868,,
7194,310.57,706652,862.44148309,98,2556,0.001,706252,-111.28912038110488,7.1840236892913305,,
7201,304.56,707308,844.4929126699999,98,2560,0.001,707173,-112.02873992919922,5.0741371015707655,,
,,707500,,,,0.001,707250,-111.08458491734096,7.159161838089547,350.95,1014.1952308297157
7219,302.84,708299,839.2047512600002,98,2564,0.001,707886,-111.09609806137597,6.624632792039351,,
7229,301.98,709389,834.7196451499999,98,2568,0.001,708954,-110.58659761715559,10.105055480316038,,
,,710000,,,,0.001,709888,-110.5772114093487,9.02606442029872,321.35,1006.5146479964257
7249,301.44,710551,834.84724189,98,2572,0.001,710226,-110.53619109385113,7.476577870591858,,
7260,301.87,711764,842.59411327,98,2576,0.001,711398,-110.8496925354004,7.9602514375339855,,
,,712500,,,,0.001,712383,-111.34307254767566,10.845752311195751,303.9,887.3110884249211
7281,297.28,713069,831.40166946,97,2580,0.001,712706,-111.43180611692829,10.39948486285313,,
7291,299.16,714349,839.32387164,97,2584,0.001,713976,-111.50252693349665,11.1734604672489,,
,,715000,,,,0.001,714250,-111.46458240147055,10.48729887756988,375.45,662.7068439781666
7324,320.74,717357,858.7161910000001,97,2588,0.001,716258,-110.8773299605758,9.330605930555265,,
,,717500,,,,0.001,717258,-110.71665434265137,10.67972300374508,285.8,918.5511097192764
7349,324.44,718588,875.0668221100001,97,2592,0.001,718211,-110.74295155898385,8.263465196459597,,
7361,326.01,719923,881.7609738799999,97,2596,0.001,719558,-110.81958260743514,9.33459085599603,,
,,720000,,,,0.001,719824,-110.87287271829476,12.642041411166801,355.55,1129.4878885298967
7383,322.68,721059,874.1942872,97,2600,0.001,720653,-110.64011705838718,9.564223284904774,,
7394,318.65,722257,871.5580872300001,97,2604,0.001,721804,-110.27132697472206,11.064337422297552,,
,,722500,,,,0.001,722158,-110.8240638776014,9.539148558667824,298.3,895.6834792762995
