time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
1800000,,,,,,0.39457622170448303,0.74912109375,81537.5625,-0.05522470901778433,0.0003,199191.32124023436,8780,1.1026841,-7.936796370148659,0.0,0.2,1000.0,81954.93320007324
1800192,1000.0,162,879,11063,77437.84526585,,,,,,,,,,,,,
1802240,1000.0,162,880,11067,77468.34078905001,0.3945459723472595,0.76630859375,177690.203125,-0.05972466428647749,0.0003,314836.6407226563,8790,1.0803773,-7.946811443567276,0.0,0.2,,
1804288,1000.0,162,881,11071,77509.37213488002,0.39436548948287964,0.805322265625,119457.421875,-0.03377491072751582,0.0003,259261.89086914062,8800,1.4971721,-7.9414209350943565,1.0728836059570312e-06,0.2,,
1805000,,,,,,0.39411062002182007,0.808740234375,59659.46875,-0.041501148662064224,0.0003,180496.89904785156,8810,1.7361109,-7.934174093604088,0.0004349946975708008,0.2,1000.0,83253.68493947983
1806336,1000.0,162,882,11093,77451.41002721,,,,,,,,,,,,,
1808384,1000.0,162,883,11096,77478.96994253999,0.39332315325737,0.809130859375,114682.59375,-0.04289987025258597,0.0003,210332.4671142578,8820,1.7299271,-7.913288168609142,0.0002162456512451172,0.2,,
1810000,,,,,,0.3927251100540161,0.764404296875,82768.5546875,-0.07104723252996337,0.0003,249517.12412109374,8830,1.1763766,-7.8802453264594075,0.0,0.2,1000.0,79870.9578745842
1810432,1000.0,162,884,11118,77361.49874208,,,,,,,,,,,,,
1812480,1000.0,162,885,11122,77698.03906899,0.39264819025993347,0.77021484375,89689.1640625,-0.04596055615111254,0.0003,220806.57556152344,8840,1.2086599,-7.863296696543694,5.960464477539063e-08,0.2,,
