train/n_updates,time/iterations,train/learning_rate,train/std,train/entropy_loss,train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
,15000,,,,,75000,151.71136949,740,,422.78,,101,,
15099,15100,0.0007,0.24363185465335846,-0.037238240242004395,0.368770033121109,75500,158.25850948000001,742,0.07379847764968872,432.03,0.6792759895324707,101,,
15199,15200,0.0007,0.24211357533931732,0.014754414558410645,0.06968234479427338,76000,158.25850948000001,745,-23.92597007751465,432.03,0.3236715495586395,101,,
15299,15300,0.0007,0.2414150983095169,0.03951740264892578,0.18983863294124603,76500,165.03490207,748,0.21633118391036987,440.46,0.12216322869062424,102,,
15399,15400,0.0007,0.23998071253299713,0.08754491806030273,0.9328517317771912,77000,165.03490207,751,-20.12884521484375,440.46,2.6953649520874023,102,,
15499,15500,0.0007,0.2380531132221222,0.14984643459320068,-2.6901254653930664,77500,171.6650414,753,-47.20504379272461,448.5,1.4129294157028198,102,,
15599,15600,0.0007,0.23549801111221313,0.24294674396514893,0.11702652275562286,78000,171.6650414,756,0.6862666308879852,448.5,0.03898639604449272,103,,
15699,15700,0.0007,0.2340242564678192,0.2918407917022705,-0.1607283353805542,78500,178.89424646000003,759,-5.465518951416016,458.03,0.3493809103965759,103,,
15799,15800,0.0007,0.23249803483486176,0.3433494567871094,-0.6227501034736633,79000,178.89424646000003,761,-4.439830780029297,458.03,3.7057607173919678,103,,
15899,15900,0.0007,0.23022547364234924,0.42314624786376953,0.20747168362140656,79500,184.60349541000002,764,-11.022388458251953,465.63,0.6153852939605713,103,,
15999,,0.0007,0.22840167582035065,0.4842991828918457,-0.9166362881660461,80000,,,0.378597617149353,,0.40551289916038513,,724.2730056077241,1000.0
,16000,,,,,80000,184.60349541000002,791,,465.63,,101,,
16099,16100,0.0007,0.2260180413722992,0.5700060129165649,-0.7724339365959167,80500,191.85643229000001,794,-3.243192672729492,475.01,0.4369606673717499,101,,
16199,16200,0.0007,0.22497735917568207,0.602760910987854,-1.1081669330596924,81000,191.85643229000001,797,-0.19157838821411133,475.01,0.6490181684494019,101,,
16299,16300,0.0007,0.22290897369384766,0.6819217205047607,2.2979378700256348,81500,197.39189137999998,800,-2.190234661102295,483.46,3.749849796295166,101,,
16399,16400,0.0007,0.22183701395988464,0.7162058353424072,-3.4112701416015625,82000,197.39189137999998,804,-39.4076042175293,483.46,5.695168972015381,101,,
16499,16500,0.0007,0.22137944400310516,0.7322981357574463,-0.4687892496585846,82500,203.39828294999998,806,-13.519043922424316,492.93,0.19503508508205414,102,,
16599,16600,0.0007,0.2196822464466095,0.7949080467224121,-0.6609699726104736,83000,203.39828294999998,809,-18.036338806152344,492.93,0.3980860710144043,102,,
16699,16700,0.0007,0.2172371745109558,0.8856294751167297,0.17591717839241028,83500,211.67179814,813,0.8097809851169586,492.93,0.06803838163614273,102,,
16799,16800,0.0007,0.21541014313697815,0.9485589861869812,-1.7437266111373901,84000,211.67179814,816,-0.04152941703796387,492.93,0.8043354153633118,102,,
16899,16900,0.0007,0.21380344033241272,1.0104683637619019,-2.5810725688934326,84500,218.96991370000003,819,0.017983853816986084,501.57,1.9182814359664917,103,,
