train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
157400,100.0,54.89896011352539,1510,1576,104,157600,0.001,0.08554886184632778,-41.29565609,,
157800,,55.037121276855466,,,,158000,0.001,0.08981197785586119,,-44.641943500000004,100.0
,100.0,,1514,1580,104,158000,,,-41.40886734,,
158200,100.0,54.92722541809082,1517,1584,104,158400,0.001,0.09777190793305636,-41.13160602,,
158300,,54.88003684997559,,,,158500,0.001,0.0862953433394432,,-45.43825135,100.0
158600,100.0,54.791719665527346,1521,1588,104,158800,0.001,0.08935609858483076,-41.04904453,,
158800,,54.77180610656738,,,,159000,0.001,0.08341973684728146,,-43.64981975,100.0
159000,100.0,54.77847900390625,1525,1592,104,159200,0.001,0.10529323466122151,-40.68548359999999,,
159300,,54.70805618286133,,,,159500,0.001,0.09840351738035678,,-39.9089617,100.0
159400,100.0,54.69866188049316,1529,1596,104,159600,0.001,0.09412748005241156,-40.66087804,,
159800,,54.80237518310547,,,,160000,0.001,0.1046009610965848,,-42.60096895,100.0
,100.0,,1533,1600,104,160000,,,-40.6988137,,
160200,100.0,54.70145133972168,1536,1604,104,160400,0.001,0.08927972652018071,-40.45958692000001,,
160300,,54.611447143554685,,,,160500,0.001,0.08881947621703148,,-40.566829,100.0
160600,100.0,54.67213035583496,1540,1608,104,160800,0.001,0.09534918572753667,-40.29352262,,
160800,,54.53993644714355,,,,161000,0.001,0.09585898000746966,,-42.29564195,100.0
161000,100.0,54.523362426757814,1544,1612,104,161200,0.001,0.08891865573823451,-40.20916472,,
161300,,54.57602409362793,,,,161500,0.001,0.08922146573662758,,-41.1146265,100.0
161400,100.0,54.59455596923828,1549,1616,104,161600,0.001,0.09653949178755283,-40.093752869999996,,
161800,,54.65145362854004,,,,162000,0.001,0.11091478917747737,,-41.11681064999999,100.0
,100.0,,1553,1620,104,162000,,,-39.969021090000005,,
162200,100.0,54.41263038635254,1555,1624,104,162400,0.001,0.08840421985834837,-39.9201111,,
162300,,54.372005767822266,,,,162500,0.001,0.07939461443573237,,-41.772827050000004,100.0
162600,100.0,54.50326782226563,1559,1628,104,162800,0.001,0.09570520915091038,-39.9877251,,
162800,,54.42894538879395,,,,163000,0.001,0.08971034955233335,,-40.53004985,100.0
163000,100.0,54.340284729003905,1564,1632,104,163200,0.001,0.08767102610319853,-40.038940849999996,,
163300,,54.35135055541992,,,,163500,0.001,0.10281385473906994,,-43.544380800000006,100.0
163400,100.0,54.29981140136719,1568,1636,104,163600,0.001,0.08230401709675789,-40.276194929999996,,
163800,,54.31789924621582,,,,164000,0.001,0.0785601643100381,,-43.58538345,100.0
,100.0,,1573,1640,104,164000,,,-40.29677564,,
164200,100.0,54.192452087402344,1575,1644,104,164400,0.001,0.07819979831576347,-40.04233477,,
164300,,54.23561637878418,,,,164500,0.001,0.07834512017667293,,-41.58879915,100.0
164600,100.0,54.2344970703125,1579,1648,104,164800,0.001,0.10445831064134836,-39.77904068,,
164800,,54.07171272277832,,,,165000,0.001,0.07698821973055602,,-43.248971499999996,100.0
165000,100.0,54.20822113037109,1584,1652,104,165200,0.001,0.08044698998332024,-39.938581479999996,,
165300,,54.048851852416995,,,,165500,0.001,0.08530585501343012,,-42.287676649999995,100.0
165400,100.0,54.010759887695315,1588,1656,104,165600,0.001,0.09461179368197918,-40.01521598,,
165800,,53.99623542785645,,,,166000,0.001,0.08271010160446167,,-43.012327799999994,100.0
,100.0,,1592,1660,104,166000,,,-39.987325930000004,,
166200,100.0,54.060333251953125,1595,1664,104,166400,0.001,0.08176756232976913,-39.81749645,,
166300,,53.864814834594725,,,,166500,0.001,0.0811674028635025,,-42.6213976,100.0
166600,100.0,53.88903205871582,1599,1668,104,166800,0.001,0.07326040204614401,-39.66455354,,
166800,,53.988517150878906,,,,167000,0.001,0.06613287575542927,,-41.998582500000005,100.0
167000,100.0,53.80349494934082,1603,1672,104,167200,0.001,0.09071521431207658,-39.71849956,,
167300,,53.79220085144043,,,,167500,0.001,0.07069046948105097,,-40.51032905,100.0
167400,100.0,53.84527816772461,1608,1676,104,167600,0.001,0.07118305075913668,-39.70431876000001,,
