rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
990.9268321799999,50,-0.30740854144096375,0.20054034888744354,560218,560319,0.017914142459630966,11163,624,-85.48332214355469,993.58,0.0003,,
1002.9522897399999,50,-0.6720500588417053,0.20125165581703186,564218,564319,0.018605176359415054,11223,628,-86.30125427246094,993.58,0.0003,,
,,-0.03269416093826294,0.07739955186843872,564899,565000,0.018839646130800247,,,-86.50920104980469,,0.0003,1292.1949266240001,1000.0
1013.3652042100001,50,0.003702126443386078,0.26060396432876587,568218,568319,0.018825436010956764,11305,632,-87.64427185058594,993.58,0.0003,,
,,0.3763706386089325,0.2056882381439209,569899,570000,0.01954098604619503,,,-87.22711944580078,,0.0003,1182.3703630192206,1000.0
1029.19123115,50,0.09882958233356476,0.37431424856185913,572218,572319,0.019785145297646523,11390,636,-87.62108612060547,993.58,0.0003,,
,,-0.8844378590583801,0.227181077003479,574899,575000,0.02124696411192417,,,-87.31951904296875,,0.0003,1448.0315712857991,1000.0
1037.10536161,50,0.4224517047405243,0.3465133607387543,576218,576319,0.020844515413045883,11474,640,-88.43141174316406,993.58,0.0003,,
,,-0.012509644031524658,0.2750762403011322,579899,580000,0.020943086594343185,,,-89.56442260742188,,0.0003,1302.7193533526267,1000.0
1045.2575314,50,-0.4999203085899353,0.31447848677635193,580218,580319,0.019939934834837914,11555,644,-89.47846984863281,993.58,0.0003,,
1059.76671595,50,-0.4915812015533447,0.5973446369171143,584218,584319,0.021629812195897102,11614,648,-89.115478515625,993.58,0.0003,,
,,-0.2002996951341629,0.3495558500289917,584899,585000,0.02172570861876011,,,-90.65376281738281,,0.0003,1109.1481809469406,1000.0
1067.63073634,50,1.2716447114944458,0.4586130380630493,588218,588319,0.02198287658393383,11696,652,-91.3210678100586,993.58,0.0003,,
,,-0.8344479203224182,0.37726467847824097,589899,590000,0.022275026887655258,,,-90.33645629882812,,0.0003,1228.8369963414966,1000.0
1077.27428088,50,-0.9074761867523193,0.41352611780166626,592218,592319,0.02322232536971569,11777,656,-91.29414367675781,993.58,0.0003,,
