train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
13.501476098060609,673895,989.18,0.001,696,672852,3074.09373379,150,4484,-226.37750390625,,
13.560868982315064,675000,,0.001,,674852,,,,-226.73940634155272,1000.0,3169.961355942566
13.26651949930191,677895,989.18,0.001,700,676852,3075.407902929999,150,4513,-226.61641583251952,,
12.839091066360474,680000,,0.001,,679852,,,,-226.8709881286621,1000.0,3178.1135171197357
13.089813639640807,681895,994.05,0.001,704,680852,3093.2786365399998,150,4542,-227.0952178955078,,
12.68460491847992,685000,,0.001,,684852,,,,-227.38950677490234,1000.0,3183.188110611588
,685895,994.05,,708,,3097.2532448199995,150,4570,,,
12.954295201778411,689895,994.05,0.001,712,688852,3097.63948977,150,4590,-227.7262223815918,,
13.08805878162384,690000,,0.001,,689852,,,,-228.32393850708007,1000.0,3176.64134536325
12.839800166606903,693895,994.05,0.001,716,692852,3100.5216393100004,150,4619,-228.63209768676757,,
12.226044478178025,695000,,0.001,,694852,,,,-227.97454791259764,996.3,3248.1736107570587
12.242169372081756,697211,987.21,0.001,720,696852,3078.543484489999,150,4647,-228.62432180786132,,
11.979134605884552,700000,,0.001,,699168,,,,-228.82938717651368,1000.0,3169.82423501499
11.810142754077912,701211,987.21,0.001,724,700168,3080.9598486700006,150,4672,-228.858556640625,,
12.805317060470582,705000,,0.001,,704168,,,,-228.74710327148438,1000.0,3181.7320063741877
,705211,993.16,,728,,3102.5277944300005,150,4701,,,
12.153743703842164,709211,993.16,0.001,732,708168,3108.83894232,150,4721,-229.9990128479004,,
12.73469406080246,710000,,0.001,,709168,,,,-229.31216427612304,1000.0,3255.5002399065065
11.570427450180054,713211,993.16,0.001,736,712168,3114.0836123700005,150,4749,-229.7541932373047,,
11.747382489442826,715000,,0.001,,714168,,,,-229.9765167541504,1000.0,3205.215085022524
11.400417466640473,717211,993.16,0.001,740,716168,3118.1145524299995,150,4777,-229.97637438964844,,
11.727700767040252,720000,,0.001,,719168,,,,-231.03401196289062,1000.0,3253.7000781518173
11.26335534477234,721211,993.16,0.001,744,720168,3119.4021999699994,150,4806,-230.8657618713379,,
11.301106162548065,725000,,0.001,,724168,,,,-231.214903717041,1000.0,2973.4387877020986
,725211,993.16,,748,,3120.4982278199996,149,4834,,,
11.164004375457763,729211,993.16,0.001,752,728168,3123.4358638400004,150,4855,-231.29365328979492,,
11.042006337404251,730000,,0.001,,729168,,,,-231.34055685424804,1000.0,3301.528962889314
10.876838145256043,733211,993.16,0.001,756,732168,3125.0920927700004,150,4884,-231.85495928955078,,
10.815629643440246,735000,,0.001,,734168,,,,-232.12147540283203,902.1,2888.9149985730646
10.976265421867371,737211,993.16,0.001,760,736168,3125.5043950900003,150,4912,-232.79352011108398,,
11.397314836502074,740000,,0.001,,739168,,,,-232.74058959960936,1000.0,3270.4619884022045
10.994779371261597,741211,993.16,0.001,764,740168,3125.9679853800003,150,4940,-233.12829342651366,,
11.089166716337203,745000,,0.001,,744168,,,,-232.45437591552735,1000.0,3275.8910514539107
,745211,993.16,,768,,3126.79947568,149,4968,,,
12.047116015434264,749211,993.16,0.001,772,748168,3126.5115400099994,150,4989,-233.2106011657715,,
11.048467520236969,750000,,0.001,,749168,,,,-234.0145379333496,1000.0,3275.003123213281
10.880839375019074,753211,993.16,0.001,776,752168,3129.9641240399997,150,5017,-234.167998626709,,
10.975908949375153,755000,,0.001,,754168,,,,-234.33218252563478,902.3,2988.42965018861
11.798232252597808,757211,993.16,0.001,780,756168,3188.1055388300006,150,5045,-234.56174548339843,,
10.32546879029274,760000,,0.001,,759168,,,,-234.52772729492187,1000.0,2811.3040526896716
10.838514516830445,761211,993.16,0.001,784,760168,3179.94650406,150,5073,-234.54741549682618,,
11.41972213602066,765000,,0.001,,764168,,,,-234.8459937133789,1000.0,3136.604774436922
,765211,993.16,,788,,3181.6057706799998,149,5101,,,
11.799901488304139,769211,993.16,0.001,792,768168,3184.5601987,150,5121,-235.577166015625,,
12.593826436519622,770000,,0.001,,769168,,,,-235.22142135620118,1000.0,3282.10955017237
12.493413677215576,773211,993.16,0.001,796,772168,3186.1323355099994,150,5150,-235.69942486572265,,
12.361342135429382,775000,,0.001,,774168,,,,-235.40383010864258,1000.0,3264.1355116514487
11.709801939964294,777211,993.16,0.001,800,776168,3174.58677211,150,5178,-234.8292348022461,,
12.465228367328644,780000,,0.001,,779168,,,,-235.05257305908202,1000.0,3214.986442880612
13.899855957984924,781211,993.16,0.001,804,780168,3175.975613010001,150,5207,-235.6427007751465,,
12.955071910858154,785000,,0.001,,784168,,,,-235.33950579833984,1000.0,3206.418742583878
,785211,993.16,,808,,3175.4660602900003,149,5235,,,
12.8449205930233,789211,993.16,0.001,812,788168,3177.2386670099995,150,5255,-235.7432307434082,,
13.36667105603218,790000,,0.001,,789168,,,,-235.35437554931642,1000.0,3269.4842567906717
12.796539782047272,793211,993.16,0.001,816,792168,3180.1516802800006,150,5284,-236.16454751586915,,
12.785289512634277,795000,,0.001,,794168,,,,-235.74338818359374,1000.0,3016.981420728611
12.443162369251251,797211,1000.0,0.001,820,796168,3202.3916506699998,150,5312,-236.44901220703125,,
12.024174862384797,800000,,0.001,,799168,,,,-236.39600384521484,1000.0,3284.8374740174972
11.503154373645783,801211,1000.0,0.001,824,800168,3202.8640965300006,149,5341,-236.1536889038086,,
12.426921202659607,805000,,0.001,,804168,,,,-236.9041329345703,1000.0,3228.3532887496985
,805211,1000.0,,828,,3205.13870853,149,5370,,,
11.255944068431853,809211,1000.0,0.001,832,808168,3206.7801141499995,150,5390,-237.3824383239746,,
11.67510313129425,810000,,0.001,,809168,,,,-237.40016229248047,1000.0,3195.895303233573
11.482946212768555,813211,1000.0,0.001,836,812168,3207.40797012,150,5418,-237.46591076660155,,
11.174154816389084,815000,,0.001,,814168,,,,-237.34716549682616,1000.0,3231.248468611017
11.412375816583634,817211,1000.0,0.001,840,816168,3208.3477261400008,150,5446,-237.92564248657226,,
12.30998252773285,820000,,0.001,,819168,,,,-238.4187525024414,1000.0,3301.872794304695
11.364621238708496,821211,1000.0,0.001,844,820168,3211.6446975700005,150,5474,-237.5253579711914,,
10.531336022853852,825000,,0.001,,824168,,,,-238.5201073913574,1000.0,3244.2056213457604
,825211,1000.0,,848,,3215.9725339700003,149,5502,,,
10.49401577115059,829211,1000.0,0.001,852,828168,3217.72026642,150,5523,-239.21239123535156,,
10.916612573862075,830000,,0.001,,829168,,,,-238.84917611694337,1000.0,3290.342654903233
11.088949727296828,833211,1000.0,0.001,856,832168,3220.0609897000004,150,5553,-239.66247357177735,,
10.570920379161835,835000,,0.001,,834168,,,,-239.55525030517578,1000.0,3282.4395162412316
11.46295441198349,837211,1000.0,0.001,860,836168,3222.0570295,150,5581,-239.88901080322265,,
10.722817722797394,840000,,0.001,,839168,,,,-239.81579187011718,1000.0,3254.84747750964
10.471476869106294,841211,1000.0,0.001,864,840168,3222.7042772,149,5610,-239.8616382446289,,
10.445688765764237,845000,,0.001,,844168,,,,-240.37748626708984,1000.0,3334.878547836421
,845211,1000.0,,868,,3222.5350337299997,149,5638,,,
9.95643168735504,849211,1000.0,0.001,872,848168,3227.353896490001,150,5658,-241.9959502258301,,
10.34816062283516,850000,,0.001,,849168,,,,-241.93939813232421,1000.0,2674.193192154169
9.823243439912796,853211,1000.0,0.001,876,852168,3222.9261045699996,150,5687,-241.8673359375,,
10.310950295448304,855000,,0.001,,854168,,,,-241.9699243774414,944.5,3172.6943770371377
9.836706140995025,857211,1000.0,0.001,880,856168,3221.7877421000007,149,5715,-242.5395835876465,,
9.587719926595687,860000,,0.001,,859168,,,,-243.01467593383788,1000.0,3226.480607883446
10.01151656627655,861211,1000.0,0.001,884,860168,3231.80835569,149,5744,-243.38921197509765,,
9.691481822490692,865000,,0.001,,864168,,,,-243.81075390625,1000.0,3146.5244055247867
,865211,1000.0,,888,,3229.9722953200003,149,5773,,,
9.512839631557465,869211,1000.0,0.001,892,868168,3228.62509432,150,5793,-244.9990711669922,,
9.338601157665252,870000,,0.001,,869168,,,,-244.0637062072754,1000.0,3342.6321675531567
8.993449233293534,873211,1000.0,0.001,896,872168,3232.30470043,149,5823,-244.87457986450195,,
