time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
772,63.38711087000001,10874,14.0,55,194,0.23134865505354746,10770,-31.99877793448312,0.001,,
776,63.38702846,10930,14.0,56,194,0.17798455591712678,10826,-31.26990590776716,0.001,,
780,63.387294060000016,10986,14.0,56,194,0.31109158268996645,10882,-32.403179441179546,0.001,,
784,63.39063454000001,11042,14.0,56,194,0.5513201757733311,10938,-31.763447080339706,0.001,,
788,63.38827463,11098,14.0,56,194,0.3067700793700559,10994,-32.40779903956822,0.001,,
792,63.385864120000015,11154,14.0,57,194,0.5846590133649963,11050,-31.67810113089425,0.001,,
796,63.38831513,11210,14.0,57,194,0.17376870954675333,11106,-30.891575949532644,0.001,,
800,63.38636379000001,11266,14.0,57,194,0.6014304629393986,11162,-31.686693464006698,0.001,,
804,63.39066462000002,11322,14.0,58,194,0.10182560022388186,11218,-31.16804940359933,0.001,,
808,63.38984086000001,11378,14.0,58,194,1.0212123532380377,11274,-32.380803789411274,0.001,,
812,63.39418235,11434,14.0,58,194,0.15073406749538013,11330,-31.340310505458287,0.001,,
816,63.38651224000001,11490,14.0,59,194,0.29941893954362186,11386,-33.08784375871931,0.001,,
820,63.39532513000001,11546,14.0,59,194,0.1774891742638179,11442,-32.51829147338867,0.001,,
824,63.39635536000001,11602,14.0,59,194,0.12731395768267767,11498,-31.77143124171666,0.001,,
828,63.39443837000001,11658,14.0,59,194,0.24742672299700125,11554,-31.618045261928014,0.001,,
832,63.39708997999999,11714,14.0,60,194,0.1960305151130472,11610,-31.545297077723912,0.001,,
836,63.40384832000001,11770,14.0,60,194,0.10944026628775257,11666,-31.71978977748326,0.001,,
840,63.40230170000001,11826,14.0,60,194,0.5839656261461121,11722,-31.6803834097726,0.001,,
844,63.40356894000001,11882,14.0,61,194,0.1451570684356349,11778,-31.94851575578962,0.001,,
848,63.40600765999999,11938,14.0,61,194,0.33265403205794947,11834,-31.844970703125,0.001,,
852,63.405388190000004,11994,14.0,61,194,0.15476875858647482,11890,-32.04264940534319,0.001,,
856,63.403134359999996,12050,14.0,61,194,0.207216439768672,11946,-31.72447313581194,0.001,,
860,63.40286362,12106,14.0,62,194,0.10030161403119564,12002,-32.72378403799875,0.001,,
864,63.39777303999999,12162,14.0,62,194,0.231112769937941,12058,-31.135141917637416,0.001,,
868,63.396409659999996,12218,14.0,62,194,0.16114854080868618,12114,-31.756493432181223,0.001,,
872,63.40002676,12274,14.0,63,194,0.5596872786326068,12170,-31.619720186505997,0.001,,
876,63.39468048,12330,14.0,63,194,0.3733564205467701,12226,-32.50721686226981,0.001,,
880,63.39855746,12386,14.0,63,194,0.1910624826060874,12282,-32.09935706002371,0.001,,
884,63.39447468,12442,14.0,63,194,0.31360712168472155,12338,-32.03724070957729,0.001,,
888,63.394809919999986,12498,14.0,64,194,0.17161461019090243,12394,-32.22478512355259,0.001,,
892,63.39489202,12554,14.0,64,194,0.5497470742889813,12450,-32.025482177734375,0.001,,
896,63.38686886000001,12610,14.0,64,194,0.22717348539403506,12506,-32.65873391287668,0.001,,
900,63.38551461999999,12666,14.0,65,194,0.12419073762638229,12562,-31.378549303327286,0.001,,
904,63.383775320000005,12722,14.0,65,194,0.1315256468951702,12618,-32.12337902614048,0.001,,
908,63.38839573000001,12778,14.0,65,194,0.24574641776936396,12674,-31.594668797084264,0.001,,
912,63.38560718000001,12834,14.0,66,194,0.2941274531185627,12730,-32.60869680132185,0.001,,
916,63.38915212999999,12890,14.0,66,194,0.40283368953636717,12786,-32.68616758074079,0.001,,
920,63.38110492,12946,14.0,66,194,0.36802213825285435,12842,-31.76405852181571,0.001,,
924,63.38255189,13002,14.0,66,194,0.30331842441643986,12898,-33.15668324061802,0.001,,
928,63.38198285000001,13058,14.0,67,194,0.1725086657596486,12954,-31.601321629115514,0.001,,
932,63.37556436,13114,14.0,67,194,0.07695026376417705,13010,-32.28052765982492,0.001,,
936,63.36936677,13170,14.0,67,194,0.1404295145933117,13066,-32.01432418823242,0.001,,
940,63.37129162,13226,14.0,68,194,0.10482050345412322,13122,-31.333179201398575,0.001,,
944,63.37083097000001,13282,14.0,68,194,0.10253593112741198,13178,-31.94089780535017,0.001,,
948,63.36763563,13338,14.0,68,194,0.24484553986362048,13234,-32.73323222569057,0.001,,
952,63.36697559,13394,14.0,68,194,0.26379271570060936,13290,-32.18082700456892,0.001,,
956,63.36783792,13450,14.0,69,194,0.2957311701029539,13346,-31.881613322666713,0.001,,
960,63.36870538,13506,14.0,69,194,0.3344992958009243,13402,-31.556202752249582,0.001,,
