time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
102968,9240,16.36,1357,75,18.94399981,1.332231044769287,0.1384425163269043,102867,0.020485246554017067,-5.608860492706299,0.0003,,
103028,9244,16.3,1358,75,18.72923268,1.2573819160461426,-1.466435194015503,102927,0.02054133266210556,-5.7279229164123535,0.0003,,
103088,9248,16.33,1358,75,18.70935587,1.685093879699707,2.0409364700317383,102987,0.02042284980416298,-5.9617156982421875,0.0003,,
103163,9252,16.48,1359,75,18.734276900000005,1.297187089920044,-1.5037939548492432,103062,0.020413771271705627,-5.133328437805176,0.0003,,
103211,9256,16.33,1360,75,18.51268239,1.3681840896606445,0.7416828274726868,103110,0.0203392431139946,-5.782946586608887,0.0003,,
103290,9260,16.56,1361,75,18.767472210000005,1.332269310951233,-0.5359079837799072,103189,0.020350521430373192,-6.014933109283447,0.0003,,
103335,9264,16.18,1362,75,18.17262513,1.529294729232788,0.9117157459259033,103234,0.020467465743422508,-5.531105995178223,0.0003,,
103420,9268,16.53,1363,75,18.47615325,1.2818009853363037,-2.2264199256896973,103319,0.020517710596323013,-5.74851655960083,0.0003,,
103469,9272,16.4,1364,75,18.17753869,1.3035447597503662,3.0360734462738037,103368,0.02053491584956646,-6.138797760009766,0.0003,,
103534,9276,16.46,1365,75,18.55807045,1.3575763702392578,-0.6141417026519775,103433,0.020536476746201515,-5.892872333526611,0.0003,,
103612,9280,16.46,1366,75,18.35763965,1.2267217636108398,1.457427740097046,103511,0.020537985488772392,-5.513449668884277,0.0003,,
103676,9284,16.65,1366,75,18.62796828,1.6220182180404663,4.318803787231445,103575,0.020584771409630775,-5.735411643981934,0.0003,,
103740,9288,16.7,1367,75,18.626409159999994,1.1795003414154053,-1.3372035026550293,103639,0.0208137109875679,-6.053821563720703,0.0003,,
103811,9292,16.97,1368,75,18.96877967,1.3006443977355957,-2.8855602741241455,103710,0.020918358117341995,-5.605602264404297,0.0003,,
103879,9296,16.99,1369,75,19.18246799,1.4156627655029297,2.6821858882904053,103778,0.0207996629178524,-5.612817764282227,0.0003,,
103991,9300,17.26,1371,75,19.628690330000005,1.4909863471984863,-0.911681056022644,103890,0.020856373012065887,-5.955230712890625,0.0003,,
104050,9304,17.2,1371,75,19.70727567,1.229252576828003,0.926777184009552,103949,0.020877636969089508,-5.834102630615234,0.0003,,
104119,9308,17.06,1372,75,19.754878140000002,1.6285154819488525,-0.4963153600692749,104018,0.020937278866767883,-6.306872844696045,0.0003,,
104165,9312,16.77,1373,75,19.29465387,1.776977777481079,-0.9803935885429382,104064,0.020803526043891907,-5.814145088195801,0.0003,,
104232,9316,16.59,1374,75,19.18430529,1.4997992515563965,-1.2936174869537354,104131,0.0207902193069458,-5.590056419372559,0.0003,,
104297,9320,16.56,1375,75,18.91480352,1.3856260776519775,-1.93196702003479,104196,0.020694956183433533,-5.601860523223877,0.0003,,
104346,9324,16.33,1375,75,18.66305324,1.5753506422042847,-3.8338611125946045,104245,0.020729251205921173,-5.735112190246582,0.0003,,
104406,9328,16.37,1376,75,18.73211371,1.2382863759994507,-0.43516096472740173,104305,0.020673202350735664,-5.575273036956787,0.0003,,
104516,9332,16.69,1378,75,18.90110998,1.5325815677642822,4.583176612854004,104415,0.02072308398783207,-6.114136695861816,0.0003,,
104575,9336,16.75,1379,75,19.030735260000004,1.5668920278549194,1.0372092723846436,104474,0.020698735490441322,-6.063462257385254,0.0003,,
104630,9340,16.62,1379,75,18.886640590000003,1.6478217840194702,2.5799078941345215,104529,0.020803526043891907,-5.581756114959717,0.0003,,
104681,9344,16.53,1380,75,18.75721639,1.4479087591171265,2.2376537322998047,104580,0.020931079983711243,-5.799042701721191,0.0003,,
