rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,,56000,,,0.001,55028,1.622290510430932,-59.218251708984376,1000.0,1000.0
429.74,716,460,56127,429.74,121,,,,,,
,,,57000,,,0.001,56028,1.9291499321311711,-59.62794955444336,1000.0,1000.0
,,,58000,,,0.001,57028,2.119963043227792,-60.44398390197754,1000.0,1000.0
,,,59000,,,0.001,58028,1.5494582989141346,-60.907299575805666,1000.0,1000.0
,,,60000,,,0.001,59028,1.3909618341326713,-61.56721548461914,1000.0,1000.0
466.58,720,499,60127,466.58,120,,,,,,
,,,61000,,,0.001,60028,1.658024416729808,-62.13187976074219,1000.0,1000.0
,,,62000,,,0.001,61028,1.8604755654037,-62.833302215576175,1000.0,1000.0
,,,63000,,,0.001,62028,1.7201638365387917,-63.48497944641113,1000.0,1000.0
,,,64000,,,0.001,63028,1.8367128288298846,-63.79091918182373,1000.0,1000.0
502.68,724,539,64127,502.68,118,,,,,,
,,,65000,,,0.001,64028,1.5943154136240483,-64.34349887084961,1000.0,1000.0
,,,66000,,,0.001,65028,1.6226157684922218,-65.02147538757325,1000.0,1000.0
,,,67000,,,0.001,66028,1.2315863952562214,-65.66545442199707,1000.0,1000.0
,,,68000,,,0.001,67028,1.1699294081553817,-66.02961262512207,1000.0,1000.0
538.89,728,578,68127,538.89,117,,,,,,
,,,69000,,,0.001,68028,1.5956648196578025,-66.53360412597657,1000.0,1000.0
,,,70000,,,0.001,69028,1.3292335419729353,-67.22833644866944,1000.0,1000.0
,,,71000,,,0.001,70028,1.07464572930336,-68.03400202941894,1000.0,1000.0
,,,72000,,,0.001,71028,1.2157792922109365,-68.28268965911865,1000.0,1000.0
574.78,732,617,72127,574.78,116,,,,,,
,,,73000,,,0.001,72028,1.2752311006784438,-68.65454035949708,1000.0,1000.0
,,,74000,,,0.001,73028,1.4533493939936162,-69.19324827575683,1000.0,1000.0
,,,75000,,,0.001,74028,1.633869750700891,-69.53838581085205,1000.0,1000.0
,,,76000,,,0.001,75028,1.462653734087944,-69.99591410064697,1000.0,1000.0
611.02,736,659,76127,611.02,115,,,,,,
,,,77000,,,0.001,76028,1.4268478144779801,-70.56529916381837,1000.0,1000.0
,,,78000,,,0.001,77028,1.4274652837738395,-71.0512384338379,1000.0,1000.0
,,,79000,,,0.001,78028,1.2663100827634335,-71.49326266479493,1000.0,1000.0
,,,80000,,,0.001,79028,1.4789057271033526,-72.15075498962402,1000.0,1000.0
646.96,740,701,80127,646.96,114,,,,,,
,,,81000,,,0.001,80028,1.4690005836337805,-72.3105977935791,1000.0,1000.0
,,,82000,,,0.001,81028,1.423429577961564,-72.73722554016113,1000.0,1000.0
,,,83000,,,0.001,82028,1.6157430107593536,-73.24195111083985,1000.0,1000.0
,,,84000,,,0.001,83028,1.719288210451603,-73.48501429748535,1000.0,1000.0
682.36,744,745,84127,682.36,112,,,,,,
,,,85000,,,0.001,84028,1.3382919108644127,-74.21248963928223,1000.0,1000.0
,,,86000,,,0.001,85028,1.2149598942771553,-74.47800862121582,1000.0,1000.0
,,,87000,,,0.001,86028,1.3131757715567947,-75.0445785369873,1000.0,1000.0
,,,88000,,,0.001,87028,1.4972552026361228,-75.1362208404541,1000.0,1000.0
716.98,748,787,88127,716.98,111,,,,,,
