train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,208767,0.1747927622459829,216,984.64,2257,209767,-73.79274703979492,657.7952274200001,92,,
0.001,209767,0.1359529405273497,,,,210000,-73.7949176940918,,,935.7488240659237,1000.0
0.001,212767,0.15283670141547917,220,984.64,2306,213767,-73.84124694824219,657.67566266,92,,
0.001,214767,0.11757757635414601,,,,215000,-73.8523677368164,,,923.4451201975346,1000.0
0.001,216767,0.1408300854973495,224,984.64,2356,217767,-73.82091325378418,657.2468813500001,92,,
0.001,219767,0.15018343986570834,,,,220000,-73.83851454162598,,,916.8095166742802,1000.0
0.001,220767,0.12158881003037095,228,984.64,2405,221767,-73.83298431396484,656.6826104699999,92,,
0.001,224767,0.15530367025360464,,,,225000,-73.7782626953125,,,911.8569334745407,1000.0
,,,232,993.92,2454,225767,,662.3558993800001,91,,
0.001,228767,0.10838601043075323,236,993.92,2487,229767,-73.72391381835938,662.3423393700001,92,,
0.001,229767,0.09068800402060151,,,,230000,-73.74952618408203,,,936.4174143254756,1000.0
0.001,232767,0.09459663810580969,240,993.92,2537,233767,-73.66205369567871,661.7611503000002,92,,
0.001,234767,0.11747889222577214,,,,235000,-73.66544865417481,,,906.1679951786995,1000.0
0.001,236767,0.17004770751297474,244,993.92,2586,237767,-73.60896235656739,662.0985990000001,91,,
0.001,239767,0.1831370708309114,,,,240000,-73.60140742492676,,,902.9421302258968,1000.0
0.001,240767,0.08963785237073899,248,995.34,2635,241767,-73.64775268554688,663.3593144799999,91,,
0.001,244767,0.09085850388929248,,,,245000,-73.73984895324708,,,924.1640927255154,1000.0
,,,252,995.34,2685,245767,,663.54977571,91,,
0.001,248767,0.14098216219991447,256,995.34,2717,249767,-73.77645121765137,663.88206769,91,,
0.001,249767,0.11060052317380906,,,,250000,-73.79491941833496,,,923.9683105230331,1000.0
0.001,252767,0.1312373511828482,260,995.34,2766,253767,-73.88972955322265,664.0102971599999,91,,
0.001,254767,0.09322260357066989,,,,255000,-73.92171450805664,,,916.3776370346546,1000.0
0.001,256767,0.16465372222289443,264,995.34,2814,257767,-73.96538948059082,664.18765537,91,,
0.001,259767,0.07570614369958639,,,,260000,-73.98385069274903,,,946.1093681275845,1000.0
0.001,260767,0.09075504241138696,268,1000.0,2863,261767,-74.00129057312012,667.4025828900001,91,,
0.001,264767,0.10463721152767538,,,,265000,-74.086599319458,,,945.2141601741314,1000.0
,,,272,1000.0,2909,265767,,668.3894341899999,91,,
0.001,268767,0.09388241608813405,276,1000.0,2941,269767,-74.21299359130859,669.0155299900001,91,,
0.001,269767,0.06379077836312354,,,,270000,-74.26121885681152,,,955.3962836325169,1000.0
0.001,272767,0.11267541833221913,280,1000.0,2988,273767,-74.34483615112305,668.7701991700001,91,,
0.001,274986,0.7409564293920994,,,,275000,-74.31443488381126,,,876.7360816180706,1000.0
0.001,275986,0.09404961516708135,284,992.19,3029,276986,-74.32927336120605,662.9551754400001,91,,
0.001,279986,0.23420957831665873,,,,280000,-74.16737684631347,,,952.3790583074093,1000.0
,,,288,992.19,3079,280986,,662.7769729899999,91,,
0.001,283986,0.0814402966313064,292,992.19,3112,284986,-74.26317681884765,661.50016294,91,,
0.001,284986,0.09436544349230826,,,,285000,-74.24610794067382,,,929.6420218884945,1000.0
0.001,287986,0.09207966946065425,296,992.19,3161,288986,-74.28304914855957,661.62661604,91,,
0.001,289986,0.12715071084722876,,,,290000,-74.34984562683105,,,930.5483857393265,1000.0
0.001,291986,0.11909927365928888,300,992.19,3209,292986,-74.36540663146972,662.1280829699999,91,,
0.001,294986,0.10631880105659365,,,,295000,-74.36983618164062,,,966.2367747068405,1000.0
0.001,295986,0.10793761744536459,304,992.19,3258,296986,-74.39264520263671,662.1125300799999,91,,
0.001,299986,0.11656185138225555,,,,300000,-74.39367317199707,,,907.5792685210705,1000.0
,,,308,992.19,3308,300986,,661.45694506,90,,
0.001,303986,0.18925023788027465,312,992.19,3340,304986,-74.45582237243653,662.4277299199999,91,,
0.001,304986,0.06603569762222469,,,,305000,-74.49649572753906,,,954.965423566103,1000.0
0.001,307986,0.11813007898814976,316,992.19,3388,308986,-74.5985336303711,662.9774207600001,91,,
0.001,309986,0.07218612571246923,,,,310000,-74.62584440612792,,,916.3438775062561,1000.0
0.001,311986,0.24313117087446154,320,992.19,3436,312986,-74.65664572143555,663.0553547300001,91,,
