time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
592,61.242045420000004,8112,13.69,72,112,1.1179249836848333,8008,-29.986670902797155,0.001,,
596,61.188621399999995,8166,13.69,72,112,1.4302893451281957,8063,-31.984078543526785,0.001,,
600,61.134637789999985,8221,13.69,73,112,1.6495260851723808,8117,-29.542431695120676,0.001,,
604,61.194603390000005,8276,13.69,73,112,1.3333372686590468,8173,-30.464614868164062,0.001,,
608,61.29610484999999,8331,13.71,74,112,1.1018859871796198,8227,-30.575862884521484,0.001,,
612,61.200971200000005,8385,13.69,74,112,1.360059719819289,8281,-30.20359484354655,0.001,,
616,61.26209738999999,8438,13.68,74,112,1.316633064013261,8335,-30.079359372456867,0.001,,
620,61.15739127,8493,13.68,75,112,1.3292092638356345,8389,-30.156064169747488,0.001,,
624,61.212195460000004,8548,13.68,75,112,1.377771822305826,8444,-29.629510062081472,0.001,,
628,61.123635160000006,8602,13.66,76,112,1.3119159936904907,8499,-29.944032669067383,0.001,,
632,61.03632933000001,8655,13.64,76,112,1.2941725666706378,8552,-30.98899187360491,0.001,,
636,60.93814364,8710,13.63,77,112,1.1902658556188856,8607,-30.83412061418806,0.001,,
640,60.758456540000005,8762,13.59,77,112,1.7779911687740912,8659,-30.25343640645345,0.001,,
644,60.759587110000005,8817,13.59,78,112,1.7676077164136446,8713,-29.994911193847656,0.001,,
648,60.65988528000002,8872,13.58,78,112,1.9348386228084564,8769,-30.750852039882115,0.001,,
652,60.66593968,8926,13.57,79,112,1.5466008654662542,8823,-30.468755994524276,0.001,,
656,60.60699925,8981,13.57,79,112,9.174616992473602,8877,-30.380370821271622,0.001,,
660,60.65559522,9036,13.58,80,112,1.4532105922698975,8932,-30.242971420288086,0.001,,
664,60.648604930000005,9090,13.58,80,112,1.8263691480343158,8987,-30.06121571858724,0.001,,
668,60.742736650000005,9146,13.6,81,112,1.2567954318864005,9042,-31.28738866533552,0.001,,
672,60.75123544,9199,13.59,81,112,1.6484730060283954,9096,-31.750638689313615,0.001,,
676,60.559077959999996,9252,13.56,82,112,1.5478220811256995,9149,-30.06024964650472,0.001,,
680,60.64249105,9308,13.59,82,112,1.4202405171734946,9204,-30.66964885166713,0.001,,
684,60.65264965,9362,13.58,83,112,1.422503650188446,9258,-30.64702524457659,0.001,,
688,60.54897856,9417,13.58,83,112,2.56977869783129,9313,-29.566102981567383,0.001,,
692,60.74004042000001,9473,13.61,84,112,1.130220238651548,9369,-29.875152315412247,0.001,,
696,60.79403904,9528,13.62,84,112,1.5035577842167445,9424,-29.26581382751465,0.001,,
700,60.783155650000005,9583,13.62,85,112,1.6945261634313142,9479,-30.04427719116211,0.001,,
704,60.68115591000001,9637,13.61,85,112,1.2837148446303148,9533,-30.24650510152181,0.001,,
708,60.683819280000016,9691,13.6,86,112,1.8958524419711187,9587,-30.15211296081543,0.001,,
712,60.58782529999999,9744,13.59,86,112,1.1395071194722102,9641,-30.111419677734375,0.001,,
716,60.62939484999999,9799,13.61,87,112,1.005158931016922,9696,-31.612267902919225,0.001,,
720,60.63473026999999,9853,13.6,87,112,1.299516648054123,9749,-30.287543978009904,0.001,,
724,60.68305660999999,9909,13.61,88,112,1.372231193951198,9805,-29.87561879839216,0.001,,
728,60.66293426,9965,13.63,88,112,1.260876898254667,9861,-30.189531871250697,0.001,,
,,10000,,,,0.8644265211545504,9902,-30.927157265799387,0.001,13.5,61.03129260540008
732,60.65076196000001,10019,13.64,89,111,1.3407600751289954,9915,-30.14415995279948,0.001,,
736,60.70189045,10074,13.64,89,111,1.238799410206931,9970,-30.272769110543386,0.001,,
740,60.74224673,10128,13.66,90,111,1.3342637969897344,10024,-29.517155511038645,0.001,,
744,60.74562707000001,10182,13.65,90,111,0.9534813506262643,10079,-30.494435446602957,0.001,,
748,60.79647128,10237,13.65,91,111,1.2997079002005714,10133,-30.47332545689174,0.001,,
752,60.743052960000014,10291,13.65,91,111,1.3465818350131695,10187,-30.019262949625652,0.001,,
756,60.708871609999996,10344,13.63,92,111,1.021832593849727,10241,-30.576392310006277,0.001,,
760,60.663899869999995,10398,13.62,92,111,1.525847315788269,10295,-29.92339324951172,0.001,,
764,60.66047450999999,10453,13.63,93,111,1.486430904694966,10349,-29.137480327061244,0.001,,
768,60.61848942999998,10507,13.61,93,111,1.8300756769520896,10403,-32.01763670785086,0.001,,
772,60.61645355999999,10560,13.61,94,111,3.7900499956948415,10457,-28.94207681928362,0.001,,
776,60.813833779999996,10615,13.63,94,111,1.7330665503229414,10511,-30.25418336050851,0.001,,
780,60.776142580000005,10669,13.61,95,111,1.3597326599634612,10566,-29.95927483694894,0.001,,
784,60.86708658999999,10725,13.63,95,111,1.8930342239992959,10621,-30.579745156424387,0.001,,
788,60.972789510000005,10780,13.63,96,111,1.3776569536754064,10676,-29.64424651009696,0.001,,
792,60.81863782000001,10834,13.61,96,111,1.1255994989321783,10730,-32.24026135035923,0.001,,
796,60.812744350000024,10889,13.61,97,111,1.1948474666901998,10786,-30.76976994105748,0.001,,
800,60.87473758000001,10944,13.61,97,111,1.3657166404383523,10841,-30.620208467755997,0.001,,
804,60.927327219999995,10998,13.61,98,111,1.4629625540513258,10894,-30.060134615216935,0.001,,
808,60.97326403000001,11053,13.62,98,111,1.5425269433430262,10949,-30.31638090951102,0.001,,
812,61.07013711999999,11107,13.63,99,111,1.3372205908481891,11004,-31.717003413609095,0.001,,
816,61.12537801999999,11162,13.63,99,111,1.8676502321447646,11058,-30.43740463256836,0.001,,
820,61.227345820000004,11217,13.64,100,111,1.5568350894110543,11113,-30.684668132237025,0.001,,
824,61.17830606999999,11272,13.63,100,111,1.6336528829165868,11169,-30.32182284763881,0.001,,
828,61.241710229999995,11327,13.62,101,111,1.538424823965345,11223,-30.802234377179825,0.001,,
832,61.33979196,11382,13.63,101,111,1.2736741985593523,11279,-30.76685060773577,0.001,,
836,61.339793009999994,11437,13.63,102,111,1.2326298768703754,11333,-30.712738672892254,0.001,,
840,61.3824794,11492,13.64,102,111,1.3606945734757643,11388,-30.381354468209402,0.001,,
844,61.375700240000015,11547,13.65,103,111,1.7106638252735138,11444,-31.287521634783065,0.001,,
848,61.26873603000001,11602,13.65,103,111,1.4005374220701365,11498,-30.037005015781947,0.001,,
852,61.40937766,11658,13.67,104,111,2.2700372551168715,11554,-29.902401787894114,0.001,,
856,61.49969987,11713,13.69,104,111,1.5978207954993615,11609,-30.017459869384766,0.001,,
860,61.542691139999995,11768,13.7,105,111,1.6885990628174372,11664,-30.341841016496932,0.001,,
864,61.550939940000006,11822,13.69,105,111,1.1153384951444774,11718,-29.126806804112025,0.001,,
868,61.48924372,11877,13.7,106,111,1.1968469832624709,11773,-30.258829389299667,0.001,,
872,61.49687623,11930,13.7,106,111,1.3368192406801076,11826,-30.723985944475448,0.001,,
876,61.454268569999996,11984,13.69,107,111,1.2397092901743376,11880,-29.785826001848495,0.001,,
880,61.54143519,12040,13.71,107,111,1.1355285112346922,11936,-30.540841511317662,0.001,,
884,61.491024450000005,12095,13.7,108,111,1.0179411385740553,11992,-30.37619263785226,0.001,,
888,61.43714085,12149,13.69,108,112,1.265368985278266,12045,-30.13748414175851,0.001,,
892,61.49813952999999,12203,13.69,108,111,1.188040052141462,12099,-30.623533248901367,0.001,,
896,61.50330250999998,12258,13.69,109,111,1.4120330682822637,12154,-30.429975509643555,0.001,,
900,61.40832558,12311,13.67,109,111,1.224091160755891,12208,-30.303291048322404,0.001,,
904,61.21794295000001,12363,13.65,110,112,1.5773350298404694,12260,-30.52079745701381,0.001,,
908,61.267777290000005,12419,13.66,110,112,1.3718429505825043,12315,-29.60860960824149,0.001,,
912,61.25934607999999,12474,13.67,111,112,1.9723652175494604,12370,-30.90049716404506,0.001,,
916,61.25750527,12529,13.67,111,111,1.2601962302412306,12426,-30.60866900852748,0.001,,
920,61.26270995000001,12584,13.67,112,111,1.209502318075725,12480,-30.366485868181503,0.001,,
924,61.16213011999999,12638,13.66,112,111,1.376983140196119,12535,-31.43820026942662,0.001,,
928,61.07012199000002,12691,13.64,113,111,1.1128462094527025,12587,-30.960322697957356,0.001,,
932,61.11754193000001,12747,13.65,113,111,1.385163562638419,12643,-31.27196775163923,0.001,,
936,61.025947160000015,12804,13.67,114,111,2.4803657702037265,12699,-31.665216173444474,0.001,,
940,61.12273699,12862,13.7,114,111,6.2144724641527445,12758,-31.129540852137975,0.001,,
944,61.16964765000001,12919,13.72,115,111,5.098212138811747,12815,-31.21476173400879,0.001,,
948,61.142850440000004,12975,13.73,115,111,9.982045556817736,12871,-30.43427276611328,0.001,,
952,60.96713368,13031,13.73,116,111,15.572563605649131,12927,-30.655542373657227,0.001,,
956,60.818862779999996,13087,13.74,116,111,8.84209783588137,12983,-30.384151186261857,0.001,,
960,60.89473096,13145,13.77,117,111,2.9003175922802518,13041,-30.279429299490793,0.001,,
964,60.96667777999999,13201,13.79,118,111,6.002988142626626,13097,-30.397191183907644,0.001,,
968,61.120156619999996,13257,13.8,118,111,4.858462027141026,13153,-30.20577539716448,0.001,,
972,61.24516986999999,13313,13.83,118,111,3.8884036370686124,13209,-30.35780688694545,0.001,,
976,61.325157649999994,13369,13.85,119,111,2.404343238898686,13265,-29.820249557495117,0.001,,
980,61.260242559999995,13424,13.84,119,111,3.661607946668352,13320,-29.670848029000418,0.001,,
984,61.25366912999999,13479,13.84,120,111,2.7201815332685197,13375,-29.70950072152274,0.001,,
988,61.24754244999999,13533,13.84,120,111,2.751286405783433,13429,-31.199525515238445,0.001,,
992,61.25351283999999,13588,13.85,121,111,4.432949270520892,13485,-30.6254700251988,0.001,,
996,61.309810309999996,13644,13.86,122,111,4.055034330912998,13540,-30.865992954799108,0.001,,
1000,61.41429515,13699,13.88,122,111,4.055232435464859,13595,-30.228762217930385,0.001,,
1004,61.64831193,13754,13.91,122,111,2.8159345303262984,13650,-31.496338980538503,0.001,,
1008,61.654147600000016,13810,13.91,123,111,2.899731342281614,13706,-31.255689348493302,0.001,,
1012,61.719734720000005,13865,13.91,123,111,2.5652666858264377,13761,-30.01359966823033,0.001,,
1016,61.680133690000005,13920,13.91,124,111,2.747401876108987,13817,-30.75459725516183,0.001,,
1020,61.666852799999994,13975,13.91,125,111,2.515613547393254,13871,-30.602765492030553,0.001,,
1024,61.82911942,14031,13.93,125,111,2.889536278588431,13927,-30.063733782087052,0.001,,
