eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,46000,-53.80047709345818,,,,,,-0.011637886233802418,0.978661397472024,0.117919921875,-1.4964975755661727,0.5002402663230896,220,1.4212223291397095,0.2,0.0003,0.013651998,2.1874534163624046
50.0,47000,-53.80047709345818,,,,,,,,,,,,,,,,
,47104,,23,290,162,50.0,-56.19321938,,,,,,,,,,,
50.0,48000,-46.241840636730196,,,,,,-0.011655754016828723,0.983865350484848,0.15927734375,-1.3958888441324233,0.4762512445449829,230,0.718237042427063,0.2,0.0003,0.021434285,1.6357099121436476
50.0,49000,-46.241840636730196,,,,,,,,,,,,,,,,
,49152,,24,290,169,50.0,-52.8683761,,,,,,,,,,,
50.0,50000,-41.097582280635834,,,,,,-0.012578133802162484,0.9849795727059245,0.13994140625,-1.2769004002213478,0.4498867988586426,240,0.7011431455612183,0.2,0.0003,0.014850612,1.2001876020804048
50.0,51000,-41.097582280635834,,,,,,,,,,,,,,,,
,51200,,25,290,176,50.0,-49.008321020000004,,,,,,,,,,,
50.0,52000,-36.49661322385073,,,,,,-0.004161362480954267,0.9727124758064747,0.130712890625,-1.1808516666293145,0.4273468852043152,250,0.6137067079544067,0.2,0.0003,0.0155447805,1.2920749170705677
50.0,53000,-36.49661322385073,,,,,,,,,,,,,,,,
,53248,,26,290,183,50.0,-45.42502591,,,,,,,,,,,
50.0,54000,-32.360522189736365,,,,,,-0.010437805790570565,0.9760892372578382,0.15322265625,-1.0562939800322055,0.40197503566741943,260,0.6067221760749817,0.2,0.0003,0.01291913,1.092169387638569
50.0,55000,-32.360522189736365,,,,,,,,,,,,,,,,
,55296,,27,290,190,50.0,-42.843028799999985,,,,,,,,,,,
50.0,56000,-33.84649395644665,,,,,,-0.008289490884635597,0.9804157316684723,0.147119140625,-0.9367952141910791,0.37973272800445557,270,0.3008972704410553,0.2,0.0003,0.0117084365,0.7335942718200386
50.0,57000,-33.84649395644665,,,,,,,,,,,,,,,,
,57344,,28,290,197,50.0,-40.16598762,,,,,,,,,,,
50.0,58000,-34.343335528671744,,,,,,-0.008401025550847407,0.9713248442858458,0.152685546875,-0.8252328522503376,0.35869818925857544,280,0.3184410333633423,0.2,0.0003,0.015306832,0.8022352986969054
50.0,59000,-34.343335528671744,,,,,,,,,,,,,,,,
,59392,,29,289,204,50.0,-39.05651476,,,,,,,,,,,
50.0,60000,-35.61263594776392,,,,,,-0.012850278810947201,0.9726952984929085,0.15244140625,-0.7244755839928985,0.34271156787872314,290,0.3850656747817993,0.2,0.0003,0.01427654,0.825624197628349
50.0,61000,-35.61263594776392,,,,,,,,,,,,,,,,
,61440,,30,289,212,50.0,-38.324983689999996,,,,,,,,,,,
50.0,62000,-31.244871266186237,,,,,,-0.01363397883833386,0.9723028503358364,0.19560546875,-0.6291857896372676,0.3272821605205536,300,0.214784175157547,0.2,0.0003,0.013686949,0.6156204177998006
50.0,63000,-31.244871266186237,,,,,,,,,,,,,,,,
,63488,,31,289,219,50.0,-37.51776287999999,,,,,,,,,,,
50.0,64000,-27.268961130827666,,,,,,-0.013802486125496217,0.9709960278123617,0.221875,-0.5346371289342642,0.3121264576911926,310,0.3087093234062195,0.2,0.0003,0.01686509,0.5641056131571531
50.0,65000,-27.268961130827666,,,,,,,,,,,,,,,,
