time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
258,268.27060433,44292,636,171,120.69,0.001,-112.15556480144632,33.082240006019326,44095,,
260,263.09007133,44666,640,171,118.08,0.001,-111.34253184000652,43.104633893722145,44473,,
,,45000,,,,0.001,-112.17428062331508,43.54932728895904,44814,102.05,241.99901791214944
264,264.37249843,45131,644,170,117.41,0.001,-112.07220238905687,30.612367199017452,44918,,
266,267.56333542000004,45552,648,170,117.12,0.001,-113.12042942753544,34.87816911224925,45363,,
268,271.85384296000007,45957,652,170,118.03,0.001,-113.15165878295899,39.23321088790894,45764,,
270,268.24807143,46277,656,170,116.0,0.001,-114.05630381514386,38.657689141064154,46116,,
272,262.69323149,46650,660,171,113.37,0.001,-115.0940234375,43.95558152054296,46476,,
274,260.03436666,47080,664,171,111.61,0.001,-115.08704336065995,41.11928137903628,46881,,
,,47500,,,,0.001,-116.29030836674205,38.06309934284376,47347,116.35,280.705978935957
279,258.78417354,47552,668,170,110.31,,,,,,
281,257.36270695,48025,672,170,109.38,0.001,-117.63848508637527,42.861008521838066,47817,,
283,253.76722182,48409,676,170,107.99,0.001,-117.71317083185369,42.53360040260084,48214,,
285,252.85977844,48875,680,170,107.32,0.001,-118.42875333692207,30.454576140544454,48672,,
288,253.74367797000002,49318,684,171,107.5,0.001,-119.35983120953595,34.7293904710699,49117,,
291,253.98103977,49822,688,171,107.54,0.001,-120.52596007800493,34.161013681380474,49606,,
,,50000,,,,0.001,-119.98621207789371,43.738340991476306,49847,118.2,285.25712302327156
295,253.87306458000003,50322,692,170,107.37,0.001,-120.1049936266913,44.570154604704484,50101,,
298,254.16491374000006,50815,696,170,107.56,0.001,-120.51642029860923,40.339491705609184,50601,,
300,254.84551620000005,51325,700,170,107.86,0.001,-121.62460472470238,40.1521664717066,51109,,
303,255.70637900999998,51837,704,170,108.33,0.001,-124.18296247912991,34.753151222229,51617,,
306,258.50757776,52324,708,170,109.4,0.001,-123.89579785664877,40.28144493103027,52109,,
,,52500,,,,0.001,-125.1297839936756,44.22518014532375,52361,122.05,291.61176878511907
310,259.63188181000004,52828,712,170,109.97,0.001,-124.29337911894827,37.34418754723236,52614,,
313,260.52382434,53326,716,170,110.5,0.001,-125.3021261496622,42.14410591900833,53109,,
316,262.32434534000004,53845,720,170,111.22,0.001,-124.69816875457764,43.37665222585201,53622,,
319,264.46448433999996,54364,724,170,111.96,0.001,-126.3515880878155,48.44665781901433,54147,,
321,268.74058055,54861,728,170,113.42,0.001,-125.82403035317698,48.08232802729453,54647,,
,,55000,,,,0.001,-126.22482693579889,50.78119936297017,54895,125.45,307.12165374159815
326,273.47183436,55365,732,169,114.99,0.001,-127.09865128993988,42.266563370471864,55148,,
328,275.85060945999993,55870,736,169,115.78,0.001,-127.481196641922,36.60135034876546,55654,,
331,279.68021830999993,56374,740,170,117.08,0.001,-129.1009919643402,40.364069288091144,56159,,
334,281.45172146,56878,744,170,117.47,0.001,-128.50064425998264,40.19750603418502,56662,,
336,284.62338641,57389,748,170,118.37,0.001,-130.71680673452525,37.605824928875116,57176,,
,,57500,,,,0.001,-130.74587750044026,34.178219958049496,57299,121.95,315.2340396285057
341,287.96653256999997,57877,752,169,119.2,0.001,-130.50249768866868,57.072214095318905,57663,,
343,294.19342228,58370,756,169,120.93,0.001,-131.42449138203605,26.07511107389592,58156,,
346,298.98638798999997,58864,760,169,122.14,0.001,-130.60914127410405,33.5783198523143,58651,,
349,301.02942292999995,59342,764,169,122.62,0.001,-132.31489334106445,37.20059411665972,59130,,
351,302.22622852,59826,768,170,122.74,0.001,-132.40041338811156,36.62689223171266,59614,,
,,60000,,,,0.001,-132.57375666300456,33.74964366471472,59857,130.2,352.38941484093664
356,303.90393921000003,60324,772,169,122.99,0.001,-133.1884889602661,31.81052988395095,60115,,
358,307.39701563,60807,776,169,123.98,0.001,-133.17532322770458,33.5240262696723,60597,,
360,308.19127992,61280,780,169,124.05,0.001,-133.60269410731428,40.06021892014196,61073,,
363,309.75277041000004,61754,784,169,124.36,0.001,-133.52309583028156,37.87991131146749,61547,,
366,309.50293662,62225,788,170,124.03,0.001,-134.00831298828126,35.809257380167644,62017,,
,,62500,,,,0.001,-135.06803480245298,37.48335639096923,62369,121.45,313.0088970184326
370,309.7157966,62700,792,169,123.78,0.001,-133.98068262319094,28.793395404973307,62490,,
372,309.89104110000005,63176,796,169,123.61,0.001,-134.8301867167155,44.33749674956004,62968,,
375,308.53940888,63643,800,169,123.18,0.001,-134.02304063763535,29.592816763338835,63437,,
377,307.50962522000003,64115,804,169,122.78,0.001,-132.76328593286974,46.18085621143209,63905,,
380,307.50016822000003,64603,808,169,122.79,0.001,-133.84584638807507,33.33918056337852,64389,,
,,65000,,,,0.001,-135.07260808637065,35.431323196411135,64887,125.25,328.6263109266758
384,307.96790517,65104,812,169,122.76,,,,,,
387,309.31021639000005,65616,816,169,122.9,0.001,-134.89716565608978,41.108070999383926,65397,,
389,309.33981711,66120,820,169,122.75,0.001,-134.97058067947137,39.334851714653695,65905,,
392,309.99293327,66635,824,169,122.71,0.001,-134.29216170310974,32.56969755142927,66417,,
394,310.31091932,67143,828,170,122.82,0.001,-134.85748375786676,44.595680157343544,66922,,
,,67500,,,,0.001,-135.08691372088532,26.77663064714688,67319,128.5,326.05312993526456
399,311.01495024,67661,832,169,122.96,0.001,-135.9191620349884,27.176746182143688,67447,,
402,310.91842467000004,68189,836,169,123.19,0.001,-134.9015681708037,23.0817978275356,67965,,
405,311.10481747,68710,840,169,123.36,0.001,-134.5512510172526,21.87124708811442,68502,,
408,311.3638048,69231,844,169,123.53,0.001,-134.7282983689081,36.94144206576877,69011,,
411,311.72592274,69829,848,169,124.4,0.001,-134.49914575933101,27.86159813797081,69600,,
,,70000,,,,0.001,-133.95371788135472,33.04901688390498,69739,169.05,448.818621724844
417,316.31377494000003,70493,852,168,126.16,0.001,-134.60926322566652,25.46147978480269,70260,,
420,317.09238865,71093,856,169,127.23,0.001,-133.52092654463175,30.11132436213286,70854,,
423,317.16935214999995,71664,860,169,128.0,0.001,-133.77468531681941,32.42103521953258,71428,,
426,318.27167646,72253,864,169,129.11,0.001,-132.40530481472823,42.96070380644365,72021,,
,,72500,,,,0.001,-133.15085135565863,27.767055151345847,72306,151.85,354.56938170194627
432,319.32372594000003,72850,868,168,130.24,0.001,-134.01474119977254,28.686646163824832,72619,,
434,317.22815858,73354,872,168,130.3,0.001,-129.81316314697267,23.24939697265625,73098,,
438,319.37351644,73997,876,168,131.9,0.001,-133.60483776683537,21.848765735085127,73742,,
441,321.73555596,74615,880,168,133.35,0.001,-132.67507422597785,32.40702111424964,74375,,
,,75000,,,,0.001,-131.72649813369966,29.03919994327384,74805,136.4,350.2701138675213
446,324.24471812,75145,884,168,133.91,0.001,-132.0193784309156,36.714347626223706,74937,,
449,326.47733748999997,75682,888,168,134.57,0.001,-132.12783591978013,26.20144382095337,75453,,
452,328.46442737999996,76226,892,168,135.26,0.001,-131.57178824288505,20.97641906057085,75995,,
455,328.60488078000003,76732,896,168,135.56,0.001,-130.00570842197962,24.644988191979273,76513,,
457,331.97828797,77292,900,168,136.49,0.001,-131.94451693021335,32.93904027938843,77060,,
,,77500,,,,0.001,-130.66742808783232,24.914531430201745,77336,130.95,319.5794251292944
462,332.52149088,77797,904,168,136.82,0.001,-130.7917850494385,19.66945597330729,77585,,
465,333.15695971,78301,908,168,136.98,0.001,-130.75779133458292,28.461739074799322,78098,,
468,333.23934406,78808,912,168,137.04,0.001,-130.2193332672119,28.27819402678674,78582,,
471,334.68876499,79471,916,168,138.55,0.001,-129.7450274843158,24.52400131153881,79137,,
,,80000,,,,0.001,-129.20954267284537,24.27962294050083,79870,141.7,355.5429418742657
477,337.63160038,80119,920,167,139.99,,,,,,
481,339.73633142,80795,924,167,141.6,0.001,-129.36647088843657,22.657488866285846,80482,,
488,347.20431936,82191,928,168,150.48,0.001,-130.46954040527345,25.863264143004898,81912,,
,,82500,,,,0.001,-130.73930349349976,21.998757584289933,82260,180.4,399.42811089158056
495,349.14376332999996,82861,932,167,152.0,0.001,-130.03684577941894,24.91766281288211,82558,,
498,351.81885463,83416,936,167,152.27,0.001,-131.52085200718471,23.07636276653835,83178,,
504,358.60140354000004,84470,940,167,157.6,0.001,-131.08151339017428,24.853494394742526,84256,,
,,85000,,,,0.001,-131.35134065654916,26.526888676092657,84664,476.3,689.1259844452143
516,364.00078318,85421,944,165,161.9,0.001,-131.4645123635569,20.046148120880126,85133,,
519,364.78048768,85944,948,165,161.15,0.001,-130.2960420373368,21.47414812100988,85711,,
523,364.86259681999996,86736,952,165,162.43,0.001,-131.6011993408203,23.712631986341403,86397,,
527,367.23961252000004,87302,956,165,162.09,0.001,-131.38455487323063,28.70970827533353,87055,,
,,87500,,,,0.001,-132.2671127319336,24.44258706600635,87366,176.7,550.5765607863665
533,374.60639325000005,87975,960,164,163.11,0.001,-132.49220128213204,23.850821062036463,87728,,
536,376.84487629999995,88547,964,164,162.94,0.001,-131.93313846340428,30.124407545312657,88308,,
539,379.09370444,89115,968,165,162.65,0.001,-132.36460318932166,26.391004128609936,88844,,
543,388.05417538000006,89780,972,165,164.26,0.001,-133.12879750698428,18.488358739056164,89532,,
,,90000,,,,0.001,-132.81870083692598,27.262584651600232,89855,120.7,308.3888358831406
548,388.73364807999997,90329,976,164,163.32,0.001,-132.6988639831543,19.73231394474323,90125,,
551,395.53338342,91028,980,165,164.13,0.001,-134.16380523353496,22.971667168591473,90754,,
555,397.3110733799999,91611,984,165,164.66,0.001,-133.59334984803812,28.60094603208395,91363,,
558,405.54439381,92356,988,165,166.74,0.001,-133.42489474752674,29.794361689816352,92074,,
,,92500,,,,0.001,-134.07032044728598,27.55561318496863,92266,193.85,557.2993217855692
565,417.45780877000004,93206,992,164,169.8,0.001,-135.1224645199983,28.653768731402113,92931,,
569,426.0171054,93930,996,164,171.98,0.001,-135.03744763341444,29.279914777854394,93683,,
573,428.00530137000004,94540,1000,164,172.48,0.001,-136.93568983532134,25.668742022794834,94269,,
,,95000,,,,0.001,-137.00339020404618,27.106346526096775,94833,230.0,730.9508092433214
580,443.87390507000003,95423,1004,164,176.26,0.001,-136.31869824164735,35.71551362991333,95058,,
585,453.87205134000004,96183,1008,164,178.82,0.001,-136.67660268147787,31.07654567086017,95911,,
588,464.32507484999996,96956,1012,164,181.48,0.001,-138.05906598592543,22.339765386483105,96660,,
,,97500,,,,0.001,-139.32729389511536,25.869556932671127,97279,192.6,589.702422168851
596,473.96007876,97765,1016,163,182.94,0.001,-138.02915889195035,29.52204328518735,97488,,
600,483.11282874000005,98564,1020,164,184.45,0.001,-139.17110863510445,28.39803126880101,98304,,
604,489.7079567900001,99314,1024,164,185.19,0.001,-139.68935255570844,26.79058371952602,99024,,
,,100000,,,,0.001,-140.52693699428013,28.486613574780915,99652,249.9,782.2674434661865
612,492.9979065599999,100110,1028,163,179.19,0.001,-139.90632273738547,22.203779077708496,99919,,
617,510.8451149999999,101182,1032,163,183.21,0.001,-140.58753918289045,21.795553259893296,100760,,
623,530.5163652900001,102255,1036,163,188.39,0.001,-141.85887743632,35.364328156577216,101956,,
,,102500,,,,0.001,-142.20894505427435,29.296947013818475,102165,296.25,970.2494934052229
633,545.03992388,103277,1040,163,188.07,0.001,-142.05456106012517,39.48708658651872,102970,,
638,562.4123915900001,104366,1044,163,189.45,0.001,-143.3725816621555,37.07718168982404,103824,,
,,105000,,,,0.001,-144.45716483376242,32.394263224168256,104909,508.8,1584.0960415244103
652,579.45371203,105330,1048,161,193.86,,,,,,
658,600.37940533,106513,1052,161,197.77,0.001,-146.3401380266462,20.507798800791118,106048,,
,,107500,,,,0.001,-147.5535570111191,32.05559661932159,107150,285.65,967.0779696673155
670,630.33541194,107932,1056,161,206.3,0.001,-148.16568420798916,21.48159071442428,107464,,
,,110000,,,,0.001,-150.9712769673133,35.0730260254825,109764,684.7,2061.547930428386
693,675.13507266,110184,1060,158,222.09,,,,,,
700,696.3172903099999,111408,1064,159,228.61,0.001,-152.99709880401485,33.511289576771844,110983,,
706,712.82996577,112433,1068,159,233.18,0.001,-154.15482389009915,20.78042764745207,112043,,
,,112500,,,,0.001,-155.27697926839193,31.3170148007075,112343,282.4,945.5202765226364
717,730.2805577200002,113556,1072,158,237.76,0.001,-154.0934689925021,27.528077050343455,113206,,
723,756.18425919,114812,1076,158,244.83,0.001,-156.7436815834985,28.983724111406673,114429,,
,,115000,,,,0.001,-157.258509733239,36.04041302651675,114722,299.35,996.0880841553211
733,774.71255052,116024,1080,158,249.96,0.001,-157.9909447683415,24.017052657144113,115613,,
739,792.8298194200001,117071,1084,158,254.6,0.001,-159.66062194824218,22.21606529281434,116679,,
,,117500,,,,0.001,-160.19890690481427,31.686815287103716,116981,469.95,1546.7448229789734
756,854.7080054799997,119740,1088,158,273.84,0.001,-163.53936651575634,41.420245604081586,118650,,
,,120000,,,,0.001,-164.2198264770508,35.54967732334137,119650,344.45,1146.9857885360718
771,871.02636365,121007,1092,156,278.01,0.001,-165.0462437191525,36.98418485151755,120566,,
778,888.6238873699999,122200,1096,156,282.7,0.001,-167.10390357147875,28.910194837918844,121815,,
,,122500,,,,0.001,-167.85606884134228,40.08437454649307,122343,346.25,1177.9592575013637
790,913.94357423,123435,1100,156,288.95,0.001,-168.6149783344389,33.31184526820168,123081,,
,,125000,,,,0.001,-170.56275534122548,38.986152666680354,124321,597.75,2000.4334941267966
807,939.53431905,125022,1104,154,295.99,,,,,,
815,957.2883001499999,126232,1108,154,300.49,0.001,-171.73893232469436,35.60550182825559,125799,,
821,970.3165162299998,127323,1112,154,303.67,0.001,-173.06793338437623,38.52326487586612,126932,,
,,127500,,,,0.001,-172.82394704182943,41.38389139714035,127233,303.0,1025.1337675362824
833,991.7362181599998,128677,1116,154,309.12,0.001,-173.86792507781286,40.56346400397785,128265,,
