time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
,201000,,,,,0.001,200385,-450.8768677368164,474.9125259475708,1000.0,9319.248159217834
,202000,,,,,0.001,201385,-450.66933026123047,540.9810344161988,1000.0,9319.833598327637
,203000,,,,,0.001,202385,-450.3104672851563,603.2557498550415,1000.0,9316.673722362519
,204000,,,,,0.001,203385,-449.76179296875,513.694757446289,1000.0,9316.497888469696
2565,204480,896.03,8347.95314177,948,79,,,,,,
,205000,,,,,0.001,204385,-450.97027331542967,454.52475838470457,1000.0,9315.903592014312
,206000,,,,,0.001,205385,-450.3861107788086,445.19191122436524,1000.0,9319.016165542602
,207000,,,,,0.001,206385,-451.30454272460935,470.18151847839357,1000.0,9319.488862609864
,208000,,,,,0.001,207385,-452.3005520019531,462.4857281341553,1000.0,9319.750914096832
2613,208480,896.03,8347.93791517,952,79,,,,,,
,209000,,,,,0.001,208385,-452.56330206298827,443.10950020217894,1000.0,9319.3016787529
,210000,,,,,0.001,209385,-453.77398309326173,449.52382219696045,1000.0,9318.911300849915
,211000,,,,,0.001,210385,-454.71623608398437,433.8084850616455,1000.0,9320.083658313752
,212000,,,,,0.001,211385,-454.8337794189453,539.4613945007325,1000.0,9318.152633666992
2660,212480,905.4,8435.4601974,956,79,,,,,,
,213000,,,,,0.001,212385,-456.02765240478516,483.7878463897705,1000.0,9319.78961277008
,214000,,,,,0.001,213385,-455.78371044921874,456.6154836044312,1000.0,9319.865461158752
,215000,,,,,0.001,214385,-455.9298563232422,372.95604597091676,1000.0,9319.86303434372
,216000,,,,,0.001,215385,-456.1909588623047,476.39997650909424,1000.0,9319.83471069336
2708,216480,905.4,8435.475022429997,960,79,,,,,,
,217000,,,,,0.001,216385,-455.3098497314453,443.1770107498169,1000.0,9319.219766807557
,218000,,,,,0.001,217385,-455.5590587158203,677.4027288742066,1000.0,9319.35838022232
,219000,,,,,0.001,218385,-454.90854791259767,853.881744392395,1000.0,9308.137971687316
,220000,,,,,0.001,219385,-454.0287908325195,931.6900338439941,1000.0,9316.529032516479
2752,220480,914.71,8522.23159892,964,80,,,,,,
,221000,,,,,0.001,220385,-452.25198614501954,992.9347442779541,1000.0,9319.417511844635
,222000,,,,,0.001,221385,-452.0987696533203,825.8133036880494,1000.0,9318.361777877808
,223000,,,,,0.001,222385,-451.8558748168945,717.8763563079834,1000.0,9318.909807491302
,224000,,,,,0.001,223385,-454.19937982177737,570.2197043838501,1000.0,9319.996320915223
2802,224480,914.71,8522.17444965,968,80,,,,,,
,225000,,,,,0.001,224385,-454.03863610839846,608.1918860855103,1000.0,9319.734583187103
,226000,,,,,0.001,225385,-454.6080308227539,634.319421180725,1000.0,9319.628377914429
,227000,,,,,0.001,226385,-455.41967456054687,610.1720732192994,1000.0,9314.569717025757
,228000,,,,,0.001,227385,-457.31127990722655,532.6701923484802,1000.0,9319.50512151718
2849,228480,915.04,8525.359792689998,972,80,,,,,,
,229000,,,,,0.001,228449,-459.82429122924805,416.02444410324097,1000.0,9317.488992786408
,230000,,,,,0.001,229449,-460.26248028564453,557.1123500862121,1000.0,9318.12725019455
,231000,,,,,0.001,230449,-462.2487925415039,429.3786201896668,1000.0,9317.615409374237
2886,231544,905.68,8437.97634793,976,80,,,,,,
,232000,,,,,0.001,231449,-462.9346323852539,504.0706477851868,1000.0,9318.757381343841
,233000,,,,,0.001,232449,-465.5080464477539,564.5376037063598,1000.0,9319.194238567352
,234000,,,,,0.001,233449,-467.0976989746094,383.71726543426513,1000.0,9318.611545181275
