time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
95000,,,,,,460,0.8216835409402847,0.17041015625,-0.04561029498872813,0.2,40.497234457731246,-8.020113952457905,0.0003,0.015375525,0.6578006148338318,16.932348251342773,147.3,103.34098106883467
96256,47,320,-37.61169535,300,71.89,,,,,,,,,,,,,
98304,48,324,-32.4021609,302,62.53,470,0.9039237052202225,0.233642578125,-0.053259729236015116,0.2,29.053393810987473,-7.961847692728043,0.0003,0.020179952,0.6533282995223999,8.475423812866211,,
100000,,,,,,480,0.8256147056818008,0.183935546875,-0.04813968238595408,0.2,36.32336036860943,-7.896277168393135,0.0003,0.017444963,0.6471579074859619,16.551013946533203,305.0,220.0481496008113
100352,49,332,-37.00940957,302,73.64,,,,,,,,,,,,,
102400,50,336,-41.6588461,304,84.5,490,0.8895694017410278,0.291259765625,-0.05433986581047066,0.2,15.698694787919521,-7.817130264639855,0.0003,0.028105993,0.6402615904808044,4.369354724884033,,
104448,51,340,-45.05052074000001,306,93.02,500,0.8643343448638916,0.22666015625,-0.04636887050291989,0.2,24.147692207992076,-7.722837398946285,0.0003,0.021587301,0.6323658227920532,8.841010093688965,,
105000,,,,,,510,0.8625944703817368,0.253271484375,-0.05002705630613491,0.2,24.734469217061996,-7.603535130620003,0.0003,0.022953074,0.6225613355636597,12.602256774902344,194.7,136.531379169086
106496,52,347,-49.73175718,306,104.74,,,,,,,,,,,,,
108544,53,351,-54.07007111000001,308,117.15,520,0.8926414772868156,0.31708984375,-0.0594485431240173,0.2,19.419056171178816,-7.486522686481476,0.0003,0.029005397,0.6141695976257324,9.582693099975586,,
110000,,,,,,530,0.8428113758563995,0.221923828125,-0.05061288217548281,0.2,23.79969948530197,-7.3973553568124775,0.0003,0.021188367,0.6068596243858337,9.63945484161377,421.4,300.49686803203076
110592,54,360,-57.37298044,306,129.14,,,,,,,,,,,,,
112640,55,365,-57.21091435,308,131.91,540,0.7919441759586334,0.202587890625,-0.047950862610014154,0.2,25.665130493044852,-7.3167183756828305,0.0003,0.019280352,0.6019167900085449,9.136378288269043,,
114688,56,369,-51.12611272000001,310,122.87,550,0.8747329860925674,0.321923828125,-0.05773018455656711,0.2,13.657552610337735,-7.195516732335091,0.0003,0.03198736,0.592205286026001,7.281822681427002,,
115000,,,,,,560,0.8862887769937515,0.33896484375,-0.056292830128222705,0.2,15.106077775359154,-7.1145962327718735,0.0003,0.033831183,0.5869449377059937,4.509709358215332,264.2,188.27357270866634
116736,57,376,-51.752973680000004,310,132.73,,,,,,,,,,,,,
118784,58,380,-51.01330552,312,138.13,570,0.8574979454278946,0.336474609375,-0.05644170421001036,0.2,16.792398294806482,-7.024869103729725,0.0003,0.0299959,0.5793465375900269,5.2671051025390625,,
120000,,,,,,580,0.8627312481403351,0.291845703125,-0.05574397004384082,0.2,15.348763735592366,-6.910561026632786,0.0003,0.026300894,0.5712960362434387,5.741434574127197,299.3,217.11102406084538
120832,59,387,-41.82436769,311,121.52,,,,,,,,,,,,,
122880,60,392,-40.31988741,313,122.03,590,0.046499013900756836,0.230615234375,-0.05668043600162491,0.2,22.821346098184584,-6.8115632206201555,0.0003,0.02183522,0.5644427537918091,5.382016181945801,,
124928,61,396,-33.812448020000005,314,111.79,600,0.8173452466726303,0.390283203125,-0.053842645947588606,0.2,7.131882242113352,-6.691778999567032,0.0003,0.042615667,0.556866466999054,2.3996126651763916,,
125000,,,,,,610,0.6978893876075745,0.265234375,-0.05963574629276991,0.2,15.339810106158257,-6.60361406058073,0.0003,0.02657086,0.5507410764694214,7.37652063369751,396.9,296.9916836213321
126976,62,405,-32.61830182,313,111.03,,,,,,,,,,,,,
129024,63,409,-29.85407265,315,111.17,620,0.9087892323732376,0.4013671875,-0.06270765926747117,0.2,5.257085821777582,-6.469482505321503,0.0003,0.046028398,0.5404680967330933,2.1580803394317627,,
