rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
6.45,10,424,162,6.45,1669,0.001,1555,-3.4030341148376464,0.112082262608138,,
7.48,10,428,163,7.48,1784,0.001,1654,-3.7824351354078813,0.14562420772258625,,
8.67,11,432,161,8.67,1915,0.001,1785,-3.8408963521321615,0.2122809261083603,,
,,,,,2000,0.001,1889,-4.051141902020103,0.1955274379788301,33.7,33.7
9.99,12,436,159,9.99,2059,0.001,1924,-4.153436594539219,0.21914005087954658,,
11.68,13,440,160,11.68,2240,0.001,2093,-4.4683706977150655,0.27809639156542043,,
13.99,15,444,160,13.99,2483,0.001,2325,-5.009981498122215,0.2332609969836015,,
16.05,16,448,159,16.05,2701,0.001,2554,-5.5535397365175445,0.2433356028376964,,
18.0,18,452,159,18.0,2908,0.001,2754,-6.023895226992094,0.265827008164846,,
,,,,,3000,0.001,2859,-6.175660095214844,0.2795727679133415,54.1,54.1
20.06,19,456,158,20.06,3126,0.001,2970,-6.47691351791908,0.2714895561598895,,
22.35,21,460,157,22.35,3367,0.001,3199,-7.013541408947536,0.24803460611585984,,
25.0,23,464,157,25.0,3644,0.001,3473,-7.565187767573765,0.3045845060071475,,
27.48,24,468,157,27.48,3904,0.001,3753,-8.23276937007904,0.33537514321506023,,
,,,,,4000,0.001,3874,-8.38097643171038,0.3847545053863871,64.1,64.1
29.97,26,472,156,29.97,4165,0.001,4016,-8.671126474652972,0.3328618016363918,,
31.93,28,476,155,31.93,4373,0.001,4218,-9.070146964146542,0.3127712289301249,,
33.99,29,480,155,33.99,4595,0.001,4436,-9.521069015775408,0.33474858369339594,,
36.04,31,484,154,36.04,4821,0.001,4672,-9.837261256049661,0.513306357733467,,
,,,,,5000,0.001,4897,-10.325753650149784,0.3765625866254171,52.4,52.4
37.75,32,488,154,37.75,5047,,,,,,
39.11,34,492,153,39.11,5256,0.001,5106,-10.762465476989746,0.44637531632522365,,
40.73,35,496,153,40.73,5467,0.001,5313,-11.05851334791917,0.4017449143127753,,
42.78,37,500,153,42.78,5705,0.001,5553,-11.361811814484772,0.5091525549238378,,
44.7,38,504,153,44.7,5928,0.001,5777,-11.693145292776602,0.3775860479584447,,
,,,,,6000,0.001,5879,-12.020022773742676,0.44166702285408976,52.3,52.3
46.63,40,508,152,46.63,6150,0.001,5988,-12.1256215484054,0.5378541538008937,,
48.73,42,512,152,48.73,6386,0.001,6230,-12.51900863647461,0.4722578589772356,,
50.75,43,516,151,50.75,6617,0.001,6464,-12.955600602286202,0.5682888561859727,,
53.06,45,520,151,53.06,6878,0.001,6720,-13.167122807996027,0.47961900317878053,,
,,,,,7000,0.001,6884,-13.623580473440665,0.45321129824755324,61.9,61.9
54.3,47,524,150,54.3,7099,0.001,6944,-13.589694531758626,0.4730543168882529,,
55.45,48,528,150,55.45,7329,0.001,7173,-13.787728595733643,0.42100467630585686,,
56.69,50,532,150,56.69,7584,0.001,7424,-14.14589306967599,0.4218334535402911,,
57.83,51,536,151,57.83,7842,0.001,7675,-14.963093295241848,0.31320074589839625,,
,,,,,8000,0.001,7873,-15.125527739524841,0.5271775173453185,59.7,59.7
58.48,54,540,149,58.48,8088,0.001,7929,-14.903564214706421,0.4446574194090707,,
58.83,55,544,150,58.83,8366,0.001,8179,-15.435969689313103,0.5074313919552985,,
60.07,58,548,150,60.07,8708,0.001,8493,-15.79509080780877,0.3785644176684014,,
,,,,,9000,0.001,8860,-16.591944590481845,0.5715672148222273,61.8,61.8
61.15,60,552,148,61.15,9023,,,,,,
62.46,62,556,149,62.46,9372,0.001,9137,-16.837805485725404,0.3888245087582618,,
62.67,64,560,148,62.67,9634,0.001,9459,-17.404187715970554,0.518800748177828,,
