rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
66.25,68,355,139264,323.02350279,392,0.9576941132545471,670,0.8080994337797165,0.0003,0.11484375,0.016187975,0.2,-23.366984593868256,-0.040676035001524724,493.5943427562714,143.1347198486328,,
,,,140000,,,0.9565134644508362,680,0.8295079618692398,0.0003,0.14677734375,0.017673135,0.2,-23.35116986632347,-0.0474194870388601,483.949312877655,242.13311767578125,338.6727513998747,64.1
66.1,69,361,141312,321.30954333,390,,,,,,,,,,,,,
64.6,70,366,143360,314.28987581999996,391,0.9556834101676941,690,0.7699854820966721,0.0003,0.104345703125,0.01327039,0.2,-23.332705909013747,-0.04006065188150387,617.4898108482361,233.14988708496094,,
,,,145000,,,0.9550801515579224,700,0.810586079955101,0.0003,0.11884765625,0.017496675,0.2,-23.320788264274597,-0.04123614588170312,507.3080467224121,169.02011108398438,336.13410675525665,63.35
67.17,71,372,145408,326.61520911,390,,,,,,,,,,,,,
67.25,72,377,147456,329.40061199,390,0.9546865820884705,710,0.8116584867238998,0.0003,0.12724609375,0.016327504,0.2,-23.312626391649246,-0.04214466289267875,476.0365972518921,301.92034912109375,,
68.39,73,382,149504,333.60639275,391,0.9542213082313538,720,0.8196529746055603,0.0003,0.116650390625,0.015871974,0.2,-23.303411000967024,-0.04116622859437484,510.6568562507629,108.20987701416016,,
,,,150000,,,0.9535083770751953,730,0.8100350946187973,0.0003,0.1240234375,0.015926223,0.2,-23.292751455307005,-0.041118307400029155,507.3999562740326,173.43051147460938,282.08509957194326,53.85
69.34,74,388,151552,337.90956546,390,,,,,,,,,,,,,
66.96,75,392,153600,324.59527343,391,0.9537001252174377,740,0.8064181208610535,0.0003,0.1359375,0.01626949,0.2,-23.286892503499985,-0.04554372481070459,424.95499567985536,121.83892059326172,,
,,,155000,,,0.9543224573135376,750,0.8689115643501282,0.0003,0.132666015625,0.017760254,0.2,-23.295806449651717,-0.04471366145298816,338.2108862400055,137.6721954345703,297.63829213380814,57.6
66.61,76,398,155648,322.50526321999996,390,,,,,,,,,,,,,
66.18,77,403,157696,320.92080787,390,0.9534258246421814,760,0.8463996797800064,0.0003,0.125,0.016052026,0.2,-23.291044580936433,-0.042306656407890844,432.6504245758057,228.47471618652344,,
66.6,78,408,159744,324.97199491,391,0.9529383182525635,770,0.8389318883419037,0.0003,0.118359375,0.015311586,0.2,-23.277755397558213,-0.0422799358406337,448.91457052230834,102.50538635253906,,
,,,160000,,,0.9518827795982361,780,0.8512548208236694,0.0003,0.132080078125,0.015394657,0.2,-23.263736528158187,-0.04568878967547789,412.3279085636139,142.79161071777344,319.89370949044826,62.65
67.32,79,414,161792,329.20326912999997,390,,,,,,,,,,,,,
67.73,80,419,163840,329.6988348400001,390,0.950991690158844,790,0.8636715561151505,0.0003,0.1396484375,0.017440192,0.2,-23.245005333423613,-0.04444998506223783,371.92821111679075,72.81079864501953,,
,,,165000,,,0.9507675170898438,800,0.8179131895303726,0.0003,0.105078125,0.01468863,0.2,-23.235032504796983,-0.038809014100115745,491.3334494113922,154.35198974609375,289.2273829102516,55.4
68.72,81,425,165888,335.54515771999996,389,,,,,,,,,,,,,
70.76,82,430,167936,344.1652556500001,390,0.9494139552116394,810,0.8368396759033203,0.0003,0.1208984375,0.015358072,0.2,-23.21955727338791,-0.04136450235673692,469.64802660942075,205.33453369140625,,
68.76,83,434,169984,337.58228966,390,0.9489149451255798,820,0.8232818096876144,0.0003,0.11162109375,0.015304668,0.2,-23.20670140981674,-0.03836119099578354,463.1612909793854,143.98326110839844,,
,,,170000,,,0.9497347474098206,830,0.8398018777370453,0.0003,0.10859375,0.014894057,0.2,-23.206366264820097,-0.036244603971135804,495.85200061798093,169.01394653320312,284.0253530040383,55.15
68.46,84,441,172032,337.33502064,389,,,,,,,,,,,,,
67.43,85,445,174080,330.50255238000005,390,0.9493879675865173,840,0.8650185465812683,0.0003,0.142578125,0.017714497,0.2,-23.212398159503937,-0.04424119441828225,390.9365644454956,162.02171325683594,,
,,,175000,,,0.9495301842689514,850,0.8256705552339554,0.0003,0.10537109375,0.014118882,0.2,-23.209642976522446,-0.036006928951246665,512.5125461101532,151.8482208251953,265.1615043282509,51.8
68.36,86,451,176128,335.13038159,389,,,,,,,,,,,,,
