time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/explained_variance,train/std,eval/mean_reward,eval/mean_ep_length
1143,229376,200,45.12033918,38.07,112,0.428564453125,-13.594788736104965,16.405689239501953,0.2,-0.07884910472785123,41.228339177370074,0.045490675,0.0003,1110,0.6085494756698608,0.7525126934051514,,
,230000,,,,,0.395068359375,-13.556681007146835,15.10802936553955,0.2,-0.0741379280691035,47.43737437725067,0.040744644,0.0003,1120,0.5659495890140533,0.7498598098754883,67.42897833716124,53.0
1154,231424,200,45.742366960000005,38.44,113,,,,,,,,,,,,,
1164,233472,200,43.66872839,38.41,114,0.3953125,-13.532432308793068,33.919647216796875,0.2,-0.07391798315511551,58.71928750872612,0.03949751,0.0003,1130,0.5099312663078308,0.7487152814865112,,
,235000,,,,,0.39052734375,-13.519497057795524,24.516162872314453,0.2,-0.07586619596986566,43.913867455720904,0.045778833,0.0003,1140,0.5771881341934204,0.7472949028015137,86.40984591841698,67.2
1178,235520,199,46.584377159999995,41.39,115,,,,,,,,,,,,,
1189,237568,199,47.350767149999996,40.85,116,0.405810546875,-13.503581929206849,19.710046768188477,0.2,-0.07879654683056288,40.53387112617493,0.040963024,0.0003,1150,0.6196105182170868,0.7471498847007751,,
1198,239616,199,43.53536339,37.83,117,0.39091796875,-13.464295729994774,17.790477752685547,0.2,-0.07713579852716065,52.98110821843147,0.042535856,0.0003,1160,0.5993832051753998,0.7443035840988159,,
,240000,,,,,0.414453125,-13.42484720647335,16.5864315032959,0.2,-0.07551832874887623,39.29358637332916,0.04694508,0.0003,1170,0.6463194787502289,0.7399086952209473,69.07237742953002,49.3
1208,241664,199,39.833667029999994,35.22,118,,,,,,,,,,,,,
1218,243712,200,43.474447739999995,38.02,119,0.420068359375,-13.376618549227715,14.491172790527344,0.2,-0.07612394383468199,41.747056341171266,0.044516645,0.0003,1180,0.6280718743801117,0.7391337156295776,,
,245000,,,,,0.41318359375,-13.328773158788682,18.326936721801758,0.2,-0.07895756794605405,38.12040973901749,0.045692526,0.0003,1190,0.6673970818519592,0.7346018552780151,67.80018109828234,52.4
1230,245760,199,47.917845359999994,41.49,120,,,,,,,,,,,,,
