time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
401591,118,3385,294.32,-326.43849429,1768,401459,-50.003594716389976,6.461246172587077,0.001,,
402747,118,3391,285.49,-316.90053236000006,1772,402578,-49.25481875610352,5.937207114815712,0.001,,
403004,118,3392,277.09,-308.02491092,1776,402824,-49.65756368637085,5.048341904917071,0.001,,
405000,,,,,,403983,-49.2723586730957,5.720128098487854,0.001,1000.0,652.3977606173605
405072,118,3408,286.81,-318.7318103199999,1780,,,,,,
406256,118,3418,296.61,-329.25397628999997,1784,406130,-49.16738743935862,5.750532231023235,0.001,,
407438,118,3424,297.35,-330.54134723000004,1788,407333,-49.301309944152834,5.648214123249054,0.001,,
408571,119,3425,297.98,-331.14119833999996,1792,407482,-49.342781339372905,6.374976873397827,0.001,,
410000,,,,,,409578,-49.432658363342284,6.166991921305656,0.001,1000.0,547.0553841851463
410667,119,3444,288.45,-320.14245195,1796,,,,,,
412004,119,3454,300.45,-333.00474950000006,1800,411606,-49.65424700164795,6.0391286662817,0.001,,
413132,119,3460,300.46,-332.96836121,1804,412999,-49.57995356750488,6.497292929053307,0.001,,
414253,119,3466,299.27,-331.66299252,1808,414132,-49.77284288406372,6.235033964808983,0.001,,
415000,,,,,,414181,-49.822669982910156,6.415699860628913,0.001,905.2,633.6295080203563
416301,119,3482,316.74,-350.7300236800001,1812,415212,-49.426615476608276,6.835296254004201,0.001,,
418327,119,3498,321.63,-356.33585315999994,1816,418220,-49.75804061889649,6.533811702013016,0.001,,
419485,119,3501,322.37,-356.94677903999997,1820,418396,-49.311880929129465,6.938313680035727,0.001,,
420000,,,,,,419442,-50.8239387512207,4.804977893829346,0.001,1000.0,554.5589926292189
420545,119,3521,322.36,-356.81136978999996,1824,420442,-49.97246047210693,6.730968877077102,0.001,,
421616,119,3523,302.69,-334.98466551000007,1828,420527,-49.343738873799644,7.763511637846629,0.001,,
423676,119,3534,302.72,-334.82171330000006,1832,422587,-49.93531316121419,7.534382381746846,0.001,,
424814,119,3544,293.52,-324.12213674,1836,424675,-50.098257064819336,4.919502298037211,0.001,,
425000,,,,,,424860,-49.76699973796976,6.251999633354053,0.001,1000.0,539.7715839212294
425076,119,3555,283.25,-312.73471768,1840,,,,,,
425398,119,3557,258.68,-286.07390693,1844,425163,-50.1762815622183,5.451598177982282,0.001,,
427444,119,3565,278.4,-307.55619010000004,1848,426355,-50.51581859588623,7.9589452892541885,0.001,,
428593,119,3575,286.73,-317.04127002,1852,428474,-50.21609799194336,6.415358239889145,0.001,,
429813,119,3582,288.18,-318.84139161999997,1856,429709,-50.34116357421875,6.804876362681389,0.001,,
430000,,,,,,429844,-49.53135299682617,5.990214667822185,0.001,1000.0,572.1627823698102
430933,119,3594,296.87,-328.61219166,1860,,,,,,
431187,119,3599,297.57,-329.35145371,1864,431053,-50.91838449590347,6.037971152006275,0.001,,
432346,120,3602,307.55,-340.48482259,1868,431257,-50.488607788085936,6.640951296178306,0.001,,
432496,119,3607,297.49,-329.5351324199999,1872,432374,-51.00671641031901,7.293485964337985,0.001,,
432674,119,3608,296.7,-328.56170252,1876,432548,-50.57381293887184,8.593790145147414,0.001,,
433834,120,3610,287.62,-318.79419737999996,1880,432745,-49.939558469332184,6.91455798678928,0.001,,
435000,,,,,,434785,-50.01081733703613,6.994852281752086,0.001,1000.0,479.3040535357635
435874,120,3631,296.18,-328.3348431,1884,,,,,,
436967,119,3641,295.29,-326.6744295100001,1888,436858,-50.84769710540772,7.574509649276734,0.001,,
437185,120,3642,286.14,-316.8191077800001,1892,437042,-50.15472758900035,7.3767163681261465,0.001,,
438342,120,3649,276.75,-306.47132261999997,1896,438205,-50.447903533935545,7.158474167466164,0.001,,
440000,,,,,,439253,-50.80403379821777,7.327223629117012,0.001,1000.0,593.1603862803429
442342,120,3683,303.38,-335.93570060999997,1900,441253,-50.86205871582031,6.866329133749008,0.001,,
443510,119,3696,303.78,-336.51981518,1904,443368,-50.77454007466634,7.13051366401931,0.001,,
