train/ent_coef,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.04850565642118454,-352.71539306640625,14960,962.81,0.0003,15.824721336364746,-0.7055538892745972,1360,70,1047411,1047310,4909.153763400001,,
0.049452558159828186,-341.05584716796875,,,0.0003,30.338207244873047,-0.7744528651237488,,,1050000,1049899,,5336.871057435079,980.5
0.0491376630961895,-340.59527587890625,15017,962.81,0.0003,21.317968368530273,-1.189899206161499,1364,70,1051411,1051310,4921.29043127,,
0.04724688082933426,-338.65679931640625,,,0.0003,44.63801574707031,0.08359694480895996,,,1055000,1054899,,4363.3639526055795,901.2
0.04876036196947098,-345.31597900390625,15073,962.81,0.0003,34.55625534057617,1.2349097728729248,1368,70,1055411,1055310,4932.45135342,,
0.049605511128902435,-349.353271484375,15112,959.21,0.0003,22.568866729736328,1.0105600357055664,1372,70,1059051,1058950,4921.89777769,,
0.049517542123794556,-345.9855041503906,,,0.0003,18.969226837158203,0.5550634860992432,,,1060000,1059899,,4816.084275227971,909.4
0.05075278878211975,-352.83599853515625,15169,967.92,0.0003,19.942882537841797,-0.48943647742271423,1376,70,1063051,1062950,4970.72131167,,
0.05040573328733444,-346.8388977050781,,,0.0003,18.288326263427734,-0.992926836013794,,,1065000,1064899,,4703.740716745355,895.6
0.0498872846364975,-353.1344299316406,15225,967.92,0.0003,51.1412467956543,0.27512216567993164,1380,70,1067051,1066950,4979.4070557800005,,
0.05181480199098587,-364.89141845703125,,,0.0003,22.4744873046875,0.6530527472496033,,,1070000,1069899,,4514.471236733795,920.0
0.05164124071598053,-345.57159423828125,15282,967.92,0.0003,24.315813064575195,-2.1816248893737793,1384,70,1071051,1070950,4990.056866139999,,
0.05115016549825668,-356.27069091796875,,,0.0003,28.844093322753906,0.6729263067245483,,,1075000,1074899,,4844.369176311605,902.4
0.05114656686782837,-356.58795166015625,15339,970.12,0.0003,16.857492446899414,-0.6704098582267761,1388,70,1075051,1074950,5013.4974616,,
0.052100908011198044,-346.7833557128906,15382,970.12,0.0003,26.14373016357422,-0.5500389337539673,1392,70,1079051,1078950,5018.99268862,,
0.0537869855761528,-353.0455322265625,,,0.0003,18.67510223388672,-0.6930208206176758,,,1080000,1079899,,5316.481057260884,965.1
0.052811577916145325,-366.8165283203125,15439,970.12,0.0003,24.765005111694336,-0.026917099952697754,1396,70,1083051,1082950,4984.84324355,,
0.05228012427687645,-354.31329345703125,,,0.0003,26.75830078125,-2.1392314434051514,,,1085000,1084899,,5543.486398006603,1000.0
0.053197406232357025,-348.0346374511719,15498,970.12,0.0003,24.067630767822266,-0.9823298454284668,1400,70,1087051,1086950,4990.505902519999,,
0.05361136794090271,-368.9849548339844,,,0.0003,30.972557067871094,1.9036972522735596,,,1090000,1089899,,4663.831065315835,975.4
0.05379992350935936,-345.021728515625,15544,963.15,0.0003,19.279142379760742,-0.31119659543037415,1404,70,1090073,1089972,4961.39303022,,
