rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
,,220000,,,,0.042208597,623342.125,1195931.9724609375,0.326220703125,0.8600026965141296,1070,-0.07832992113253567,-21.550593191385268,0.0003,0.2,-1.0728836059570312e-06,1000.0,73874.12779712677
69391.53162027,133,221184,1653,1000.0,108,,,,,,,,,,,,,
69709.90725511001,134,223232,1657,1000.0,109,0.04414166,637125.5,1308085.26953125,0.342236328125,0.8573499321937561,1080,-0.07612779125920496,-21.49424613118172,0.0003,0.2,2.980232238769531e-07,,
,,225000,,,,0.046948366,568522.125,1165199.037109375,0.360546875,0.8569285869598389,1090,-0.08038741014897824,-21.47625567317009,0.0003,0.2,0.0004139542579650879,1000.0,75679.63926658631
69791.18116233,133,225280,1685,1000.0,110,,,,,,,,,,,,,
69788.67153062,134,227328,1689,1000.0,111,0.052783675,771245.9375,1437986.924609375,0.36015625,0.855129063129425,1100,-0.08105291135725565,-21.448019790649415,0.0003,0.2,1.1920928955078125e-07,,
69891.09508573,135,229376,1693,1000.0,112,0.047702312,527763.875,1034965.9533203125,0.3623046875,0.8538346290588379,1110,-0.0816522855689982,-21.42040737271309,0.0003,0.2,2.384185791015625e-07,,
,,230000,,,,0.04557671,549342.125,1099517.0693359375,0.362255859375,0.8535279035568237,1120,-0.08204605511855334,-21.403966510295866,0.0003,0.2,-1.1920928955078125e-07,1000.0,74268.35044155121
69902.24420810999,134,231424,1720,1000.0,113,,,,,,,,,,,,,
69891.8540355,135,233472,1724,1000.0,114,0.04711429,521020.5625,1121303.2802734375,0.36162109375,0.8529404401779175,1130,-0.08506900175707414,-21.39865661263466,0.0003,0.2,-7.152557373046875e-07,,
,,235000,,,,0.049439143,550304.25,1147757.923046875,0.359521484375,0.8520308136940002,1140,-0.07497249380394351,-21.375543600320817,0.0003,0.2,5.960464477539063e-08,1000.0,77222.09503269196
70049.13106415,134,235520,1751,1000.0,115,,,,,,,,,,,,,
70214.94285396,135,237568,1756,1000.0,116,0.043979555,635975.875,1239469.9869140624,0.32509765625,0.8522620797157288,1150,-0.07508482153352816,-21.374717003107072,0.0003,0.2,5.960464477539063e-08,,
70268.98132069,136,239616,1760,1000.0,117,0.047885053,610214.4375,1255175.5046875,0.350048828125,0.8512663841247559,1160,-0.0729117809329182,-21.35789515376091,0.0003,0.2,-1.1205673217773438e-05,,
,,240000,,,,0.04359389,578996.4375,1163872.78984375,0.339501953125,0.8503048419952393,1170,-0.07450442824047059,-21.339802473783493,0.0003,0.2,4.231929779052734e-06,1000.0,79768.4726366043
70440.65987754,135,241664,1789,1000.0,118,,,,,,,,,,,,,
