rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
939.47,556,5851,12.048200324296952,0.001,516947,2297.1166203499997,-170.5958265991211,88,517947,,
,,,11.161581817626953,0.001,519947,,-170.3954976501465,,520000,1000.0,2572.7288083994763
939.47,560,5897,11.672301179170608,0.001,520947,2301.88104094,-170.693930267334,88,521947,,
,,,10.997496576309205,0.001,524947,,-171.01478573608398,,525000,966.4,2327.7072709266095
939.47,564,5940,,,,2306.61108663,,88,525947,,
946.34,568,5973,11.083409111738204,0.001,528947,2326.84088544,-171.170439453125,88,529947,,
,,,11.17297237920761,0.001,529947,,-170.89065185546875,,530000,1000.0,2745.477973276237
945.95,572,6016,11.025433785915375,0.001,532792,2327.7945362699998,-171.57687167358398,88,533792,,
,,,11.487208745002746,0.001,534943,,-171.69342965698243,,535000,1000.0,2610.4693216135724
937.61,576,6058,10.912734302997588,0.001,535943,2310.3521682,-172.30132373046874,88,536943,,
,,,11.184879292011262,0.001,539943,,-172.47259423828126,,540000,929.1,2415.0900383489557
945.63,580,6102,,,,2336.2844261400005,,88,540943,,
929.62,584,6127,12.031524508953094,0.001,543182,2264.1173476400004,-172.4161614074707,88,543342,,
,,,12.624394682645798,0.001,544342,,-173.0227152404785,,545000,952.2,2225.599239207711
936.75,588,6168,11.239592863559723,0.001,546342,2279.57921232,-173.040521484375,88,547148,,
,,,11.013661425352096,0.001,549148,,-173.362098236084,,550000,1000.0,2739.2358764555306
936.75,592,6208,11.476903478860855,0.001,550148,2320.0935457699998,-173.40934744262697,88,551148,,
,,,12.719093029737472,0.001,554148,,-173.0895633239746,,555000,872.6,2260.7670227834956
942.0,596,6252,,,,2332.84267016,,88,555148,,
942.0,600,6284,12.385677882909775,0.001,558148,2331.7746208500002,-173.3216260986328,88,559148,,
,,,13.259916990756988,0.001,559148,,-173.6930589904785,,560000,1000.0,2518.755019863375
924.42,604,6327,11.306618227481842,0.001,561248,2286.20267938,-173.86744735717772,88,561390,,
,,,12.293609475135803,0.001,564390,,-174.05536904907225,,565000,950.9,2332.146982965246
930.27,608,6373,,,,2298.4380621100004,,88,565390,,
925.85,612,6404,14.091678919315338,0.001,567886,2293.08448394,-173.0734183959961,88,568881,,
,,,13.334913894176482,0.001,569881,,-173.38464700317382,,570000,892.0,2336.4200609579448
925.85,616,6450,13.36293154001236,0.001,571881,2295.97585755,-173.46776300048828,88,572881,,
,,,12.818055552005768,0.001,574881,,-173.14568811035156,,575000,1000.0,2688.267761654034
925.85,620,6497,12.620212792873383,0.001,575881,2348.41617634,-173.64475985717775,88,576881,,
,,,13.483791753053666,0.001,579386,,-173.91259957885742,,580000,855.2,2314.8051438814027
921.87,624,6536,,,,2339.49684917,,88,580386,,
920.53,628,6568,14.268360799789429,0.001,583252,2336.1194213400004,-174.32185974121094,88,584252,,
,,,15.584241435050965,0.001,584252,,-174.41821691894532,,585000,744.9,1911.068432207033
930.16,632,6612,14.47969132566452,0.001,587252,2360.79255514,-174.4501018371582,88,588252,,
,,,15.413034915447236,0.001,589252,,-174.5347008972168,,590000,1000.0,2213.322679950297
936.66,636,6655,15.426819977760315,0.001,591252,2381.60621426,-174.35248516845704,88,592252,,
,,,14.518913427352905,0.001,594252,,-174.91887112426758,,595000,899.3,2127.472924871091
933.92,640,6695,15.582100212097169,0.001,595252,2379.66325614,-174.24127786254883,88,595819,,
924.23,644,6722,16.60816651916504,0.001,598819,2353.09519885,-176.9238952331543,89,598850,,
,,,17.767726244926454,0.001,599850,,-177.01234170532226,,600000,1000.0,1017.0786073583062
915.79,648,6760,17.411403625965118,0.001,601850,2268.38304716,-177.44654858398437,89,602006,,
,,,16.733153227329254,0.001,604006,,-177.21051498413087,,605000,1000.0,1820.1276022407037
915.79,652,6800,15.818081642627716,0.001,605006,2207.6663656799997,-177.0202731323242,89,606006,,
913.03,656,6826,14.213155435734107,0.001,608250,2143.20138523,-175.31538228519628,89,609250,,
,,,15.491261528491973,0.001,609250,,-175.5473637084961,,610000,864.7,1886.6483400997981
912.24,660,6866,14.687731580547867,0.001,612171,2142.41852147,-174.52399653559146,89,613171,,
,,,15.414428253173828,0.001,614171,,-174.34604901123046,,615000,963.2,2530.929258462961
912.24,664,6908,14.786604202270508,0.001,616171,2146.1174959200002,-174.3941385192871,89,617171,,
,,,14.05702116151736,0.001,619637,,-173.75176798939194,,620000,941.5,2233.815767950006
906.9,668,6947,,,,2131.23252221,,89,620637,,
908.45,672,6976,14.829743748188019,0.001,623637,2136.9758179,-174.27156640625,89,624637,,
,,,15.297457015514373,0.001,624637,,-174.5754130859375,,625000,884.0,2381.9204520777334
916.94,676,7019,13.725593468666077,0.001,627637,2157.0378404000003,-174.3149387207031,89,628637,,
,,,14.257956160068511,0.001,629637,,-174.21936721801757,,630000,1000.0,2658.510850744654
916.94,680,7063,13.626393683433532,0.001,631637,2159.05880398,-173.9687121887207,89,632637,,
,,,13.915854000091553,0.001,634637,,-174.74262313842775,,635000,920.0,2471.251291196141
932.95,684,7106,12.117594827651978,0.001,635637,2236.94709412,-174.8214094848633,89,636637,,
,,,11.992406844139099,0.001,639209,,-175.5302706298828,,640000,871.0,2208.479509566282
930.61,688,7145,,,,2237.17503848,,89,640209,,
930.61,692,7175,11.660612037181854,0.001,643209,2236.4362878599995,-176.1583825378418,89,644209,,
