time/fps,time/time_elapsed,train/actor_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
116,250,15.623456916809083,584,29200,50.0,29050,0.053712068349123,0.001,-6.263454239999999,,
116,251,15.709281730651856,588,29400,50.0,29250,0.06566801890730858,0.001,-6.2351319499999995,,
,,15.668759002685547,,29500,,29350,0.0550523716956377,0.001,,50.0,-6.3481244
116,254,15.735708427429199,592,29600,50.0,29450,0.055613092482089996,0.001,-6.20349976,,
116,255,15.770035133361816,596,29800,50.0,29650,0.056192484945058824,0.001,-6.11363393,,
,,15.81976318359375,,30000,,29850,0.05338000662624836,0.001,,50.0,-6.1550612
116,257,,600,30000,50.0,,,,-6.135603279999999,,
116,258,15.808441925048829,604,30200,50.0,30050,0.04563791800290346,0.001,-6.132734139999999,,
117,259,15.89995906829834,608,30400,50.0,30250,0.05550460979342461,0.001,-6.08043631,,
,,15.950495262145996,,30500,,30350,0.0506132011115551,0.001,,50.0,-6.200626300000001
116,262,15.959123954772949,612,30600,50.0,30450,0.08459228672087192,0.001,-6.027587729999999,,
116,263,16.029848442077636,616,30800,50.0,30650,0.09373512543737889,0.001,-6.11279809,,
,,16.024339981079102,,31000,,30850,0.07953107446432113,0.001,,50.0,-6.14884485
116,265,,620,31000,50.0,,,,-6.13242774,,
116,267,16.092974700927734,624,31200,50.0,31050,0.05488733232021332,0.001,-6.11619757,,
116,268,16.148576698303224,628,31400,50.0,31250,0.05405622869729996,0.001,-6.174784170000001,,
,,16.201856002807617,,31500,,31350,0.053347154334187505,0.001,,50.0,-6.045373349999999
116,271,16.22174575805664,632,31600,50.0,31450,0.056141860485076904,0.001,-6.076160810000001,,
116,272,16.25317710876465,636,31800,50.0,31650,0.05005574986338615,0.001,-5.977426770000001,,
,,16.27050277709961,,32000,,31850,0.054113419353961946,0.001,,50.0,-6.30750805
116,274,,640,32000,50.0,,,,-5.947061570000001,,
116,276,16.27601173400879,644,32200,50.0,32050,0.07429316788911819,0.001,-5.966817820000001,,
116,277,16.357557983398436,648,32400,50.0,32250,0.05458339028060436,0.001,-6.0144106,,
,,16.39012924194336,,32500,,32350,0.0625981380790472,0.001,,50.0,-6.267479750000001
116,280,16.429519958496094,652,32600,50.0,32450,0.052947217896580696,0.001,-6.134649729999999,,
116,281,16.443212776184083,656,32800,50.0,32650,0.05170933526009321,0.001,-6.106698259999999,,
,,16.511825942993163,,33000,,32850,0.06309779487550259,0.001,,50.0,-5.998267749999999
116,284,,660,33000,50.0,,,,-6.056134299999999,,
116,285,16.56525764465332,664,33200,50.0,33050,0.08086621038615703,0.001,-6.090659720000001,,
116,287,16.605272903442383,668,33400,50.0,33250,0.06338607229292392,0.001,-6.08519369,,
,,16.571992263793945,,33500,,33350,0.0609859174489975,0.001,,50.0,-5.9517723
116,289,16.616012268066406,672,33600,50.0,33450,0.07082577422261238,0.001,-6.08703979,,
116,290,16.680924530029298,676,33800,50.0,33650,0.05296540580689907,0.001,-6.064619580000001,,
,,16.72147850036621,,34000,,33850,0.05112919241189957,0.001,,50.0,-6.17037775
115,293,,680,34000,50.0,,,,-6.039700200000002,,
116,294,16.74582717895508,684,34200,50.0,34050,0.06658279590308666,0.001,-6.20648674,,
116,295,16.838899383544923,688,34400,50.0,34250,0.04853529285639525,0.001,-6.187599520000001,,
,,16.807147598266603,,34500,,34350,0.06510225929319859,0.001,,50.0,-6.33337995
116,297,16.865460891723632,692,34600,50.0,34450,0.06060409799218178,0.001,-6.179928739999998,,
116,298,16.8965739440918,696,34800,50.0,34650,0.05356521286070347,0.001,-6.263725089999998,,
,,16.945069274902345,,35000,,34850,0.05050954677164555,0.001,,50.0,-6.53114195
116,301,,700,35000,50.0,,,,-6.204487059999999,,
116,302,16.966186981201172,704,35200,50.0,35050,0.06055693320930004,0.001,-6.324449500000001,,
116,303,16.955735626220704,708,35400,50.0,35250,0.0640276738256216,0.001,-6.2331673300000014,,
,,17.059758758544923,,35500,,35350,0.052847591936588285,0.001,,50.0,-6.103006550000001
116,306,17.01613265991211,712,35600,50.0,35450,0.0525332859903574,0.001,-6.18464596,,
116,307,17.052740478515624,716,35800,50.0,35650,0.05952738083899021,0.001,-6.168638080000003,,
,,17.13502082824707,,36000,,35850,0.05027295798063278,0.001,,50.0,-6.070283550000001
116,310,,720,36000,50.0,,,,-6.144680270000001,,
116,311,17.18361747741699,724,36200,50.0,36050,0.058870619758963585,0.001,-6.073341319999998,,
116,313,17.2344344329834,728,36400,50.0,36250,0.0689265125989914,0.001,-5.95349751,,
,,17.189445419311525,,36500,,36350,0.061197057217359546,0.001,,50.0,-6.224560049999999
116,315,17.21824523925781,732,36600,50.0,36450,0.05052044738084078,0.001,-5.992709920000001,,
116,316,17.270946044921875,736,36800,50.0,36650,0.09900716215372085,0.001,-5.939562640000002,,
,,17.31454086303711,,37000,,36850,0.053312962278723716,0.001,,50.0,-6.01817855
115,319,,740,37000,50.0,,,,-5.9198385,,
115,320,17.358617935180664,744,37200,50.0,37050,0.05928879223763943,0.001,-5.838527269999999,,
116,322,17.37757293701172,748,37400,50.0,37250,0.06278476752340793,0.001,-5.850669259999998,,
,,17.38352149963379,,37500,,37350,0.05075756020843983,0.001,,50.0,-6.233204300000001
115,324,17.40519920349121,752,37600,50.0,37450,0.058037767708301546,0.001,-5.71372921,,
115,326,17.47277519226074,756,37800,50.0,37650,0.06662355259060859,0.001,-5.68980532,,
,,17.48133918762207,,38000,,37850,0.05667727597057819,0.001,,50.0,-6.2356833499999995
115,328,,760,38000,50.0,,,,-5.76867746,,
115,330,17.52729118347168,764,38200,50.0,38050,0.08517136260867118,0.001,-5.659404700000001,,
115,331,17.573688201904297,768,38400,50.0,38250,0.06232488229870796,0.001,-5.65194328,,
,,17.577960968017578,,38500,,38350,0.053336114063858985,0.001,,50.0,-6.0033496
115,333,17.578035049438476,772,38600,50.0,38450,0.04936579246073961,0.001,-5.603253869999999,,
115,335,17.6412264251709,776,38800,50.0,38650,0.05075016129761934,0.001,-5.5735772599999995,,
,,17.650296096801757,,39000,,38850,0.05975197575986385,0.001,,50.0,-6.1655549
115,337,,780,39000,50.0,,,,-5.5575966900000005,,
115,339,17.721793212890624,784,39200,50.0,39050,0.05362208303064108,0.001,-5.52227403,,
115,340,17.70274528503418,788,39400,50.0,39250,0.08149838544428349,0.001,-5.43905982,,
,,17.69104751586914,,39500,,39350,0.054510722756385806,0.001,,50.0,-5.99839625
